systemName;route;banner;groupName;roots
deustl;L1;;;deust.l001
deustl;L2;;Seehausen;deust.l002
deustl;L2;;Havelberg;deust.l002hav
deustl;L3;;;deust.l003
deustl;L4;;;deust.l004
deustl;L5;;;deust.l005
deustl;L6;;;deust.l006
deustl;L7;;;deust.l007
deustl;L8;;;deust.l008
deustl;L9;;Osterburg;deust.l009
deustl;L9;;Sandau;deust.l009san
deustl;L10;;;deust.l010
deustl;L11;;;deust.l011
deustl;L12;;;deust.l012
deustl;L13;;;deust.l013
deustl;L14;;;deust.l014
deustl;L15;;;deust.l015
deustl;L16;;;deust.l016
deustl;L17;;;deust.l017
deustl;L18;;;deust.l018
deustl;L19;;;deust.l019
deustl;L20;;;deust.l020
deustl;L21;;;deust.l021
deustl;L22;;;deust.l022
deustl;L23;;;deust.l023
deustl;L24;;;deust.l024
deustl;L25;;;deust.l025
deustl;L26;;;deust.l026
deustl;L27;;;deust.l027
deustl;L28;;;deust.l028
deustl;L29;;;deust.l029
deustl;L30;;;deust.l030
deustl;L31;;;deust.l031
deustl;L32;;;deust.l032
deustl;L33;;;deust.l033
deustl;L34;;;deust.l034
deustl;L35;;;deust.l035
deustl;L37;;;deust.l037
deustl;L38;;;deust.l038
deustl;L39;;;deust.l039
deustl;L40;;;deust.l040
deustl;L41;;;deust.l041
deustl;L42;;;deust.l042
deustl;L43;;;deust.l043
deustl;L44;;(Main);deust.l044
deustl;L44;;Groß Ammersleben;deust.l044gro
deustl;L45;;;deust.l045
deustl;L46;;;deust.l046
deustl;L47;;;deust.l047
deustl;L48;;;deust.l048
deustl;L49;;;deust.l049
deustl;L50;;Magdeburg;deust.l050
deustl;L50;;Könnern;deust.l050kon
deustl;L51;;Schönebeck;deust.l051
deustl;L51;;Zerbst;deust.l051zer
deustl;L52;;;deust.l052
deustl;L53;;;deust.l053
deustl;L54;;;deust.l054
deustl;L55;;;deust.l055
deustl;L56;;;deust.l056
deustl;L57;;;deust.l057
deustl;L60;;;deust.l060
deustl;L63;;;deust.l063
deustl;L64;;;deust.l064
deustl;L65;;;deust.l065
deustl;L66;;;deust.l066
deustl;L68;;;deust.l068
deustl;L69;;;deust.l069
deustl;L70;;;deust.l070
deustl;L71;;;deust.l071
deustl;L72;;;deust.l072
deustl;L73;;;deust.l073
deustl;L74;;;deust.l074
deustl;L75;;;deust.l075
deustl;L76;;;deust.l076
deustl;L90;;;deust.l090
