systemName;route;banner;groupName;roots
deuthl;L1019;;;deuth.l1019
deuthl;L1021;;Großensee;deuth.l1021gro
deuthl;L1021;;Gerstungen;deuth.l1021
deuthl;L1021;;Stedtfeld;deuth.l1021ste
deuthl;L1021;;Hötzelsroda;deuth.l1021hot
deuthl;L1040;;Sondershausen;deuth.l1040
deuthl;L1040;;Kelbra Talsperre;deuth.l1040kel
deuthl;L1093;;Gefell;deuth.l1093
deuthl;L1093;;Spielmes;deuth.l1093spi
deuthl;L1217;;;deuth.l1217
deuthl;L2117;;;deuth.l2117
deuthl;L2309;;;deuth.l2309
deuthl;L2310;;;deuth.l2310
deuthl;L2326;;;deuth.l2326
deuthl;L3002;;;deuth.l3002
deuthl;L3095;;;deuth.l3095
