systemName;region;route;banner;abbrev;city;root;altRouteNames
deutr;DEU-BW;BBMR;;;Bertha Benz Momorial Route;deubw.bbmr;
deutr;DEU-BY;DtAlpStr;;;Deutsche Alpenstraße (Füssen);deuby.dtalpstr;
deutr;AUT;DtAlpStr;;Wal;Deutsche Alpenstraße (Walchental);aut.dtalpstrwal;
deutr;DEU-BY;DtAlpStr;;Wal;Deutsche Alpenstraße (Walchental);deuby.dtalpstrwal;
deutr;AUT;DtAlpStr;;;Deutsche Alpenstraße (Achenpass);aut.dtalpstr;
deutr;DEU-BY;DtAlpStr;;Mie;Deutsche Alpenstraße (Miesbach;deuby.dtalpstrmie;
deutr;DEU-BY;RomStr;;Wur;Romantische Straße (Würzburg);deuby.romstrwur;
deutr;DEU-BW;RomStr;;;Romantische Straße (Tauberbischofsheim);deubw.romstr;
deutr;DEU-BY;RomStr;;Rot;Romantische Straße (Röttingen);deuby.romstrrot;
deutr;DEU-BW;RomStr;;Cre;Romantische Straße (Creglingen);deubw.romstrcre;
deutr;DEU-BY;RomStr;;;Romantische Straße (Augsburg);deuby.romstr;
deutr;DEU-BW;WeinStrTau;;;Weinstraße Taubertal (Tauberbischofsheim (Main));deubw.weinstrtau;
deutr;DEU-BY;WeinStrTau;;Rot;Weinstraße Taubertal (Röttingen);deuby.weinstrtaurot;
deutr;DEU-BW;WeinStrTau;;Cre;Weinstraße Taubertal (Creglingen);deubw.weinstrtaucre;
deutr;DEU-BY;WeinStrTau;;;Weinstraße Taubertal (Rothenburg);deuby.weinstrtau;
deutr;DEU-BW;WeinStrTau;;Nie;Weinstraße Taubertal (Niederstetten);deubw.weinstrtaunie;
deutr;DEU-BW;WeinStrTau;;Tau;Weinstraße Taubertal (Tauberbischofsheim (branch));deubw.weinstrtautau;
