system;region;route;banner;abbrev;city;fileroot;AltRouteNames
espa;ESP-MD;A1;;;;espmd.a001;
espa;ESP-CL;A1;;;Burgos;espcl.a001;
espa;ESP-PV;A1;;Arm;Arminon;esppv.a001arm;
espa;ESP-CL;A1;;Peu;La Puebla de Arganzon;espcl.a001peu;
espa;ESP-PV;A1;;;Vitoria-Gasteiz;esppv.a001;
espa;ESP-NC;A1;;;;espnc.a001;
espa;ESP-CL;AP1;;;;espcl.ap001;
espa;ESP-PV;AP1;;Arm;Arminon;esppv.ap001arm;
espa;ESP-PV;AP1;;;Bergara;esppv.ap001;
espa;ESP-MD;A2;;;;espmd.a002;
espa;ESP-CM;A2;;;;espcm.a002;
espa;ESP-CL;A2;;;;espcl.a002;
espa;ESP-AR;A2;;;Zaragoza;espar.a002;
espa;ESP-AR;A2;;Fra;Fraga;espar.a002fra;
espa;ESP-CT;A2;;;Lleida;espct.a002;
espa;ESP-CT;A2;;Gir;Girona;espct.a002gir;
espa;ESP-MD;R2;;;;espmd.r002;
espa;ESP-CM;R2;;;;espcm.r002;
espa;ESP-AR;AP2;;;;espar.ap002;
espa;ESP-CT;AP2;;;;espct.ap002;
espa;ESP-MD;A3;;;;espmd.a003;
espa;ESP-CM;A3;;;;espcm.a003;
espa;ESP-VC;A3;;;;espvc.a003;
espa;ESP-MD;R3;;;;espmd.r003;
espa;ESP-MD;A4;;;Madrid;espmd.a004;
espa;ESP-CM;A4;;Ses;Sesena;espcm.a004ses;
espa;ESP-MD;A4;;Ara;Aranjuez;espmd.a004ara;
espa;ESP-CM;A4;;;Manzanares;espcm.a004;
espa;ESP-AN;A4;;;Sevilla;espan.a004;
espa;ESP-AN;AP4;;;;espan.ap004;
espa;ESP-AN;A4;;Jer;Jerez de la Frontera;espan.a004jer;
espa;ESP-MD;R4;;;Paria;espmd.r004;
espa;ESP-CM;R4;;Ses;Sesena;espcm.r004ses;
espa;ESP-MD;R4;;Ara;Aranjuez;espmd.r004ara;
espa;ESP-CM;R4;;;Ocana;espcm.r004;
espa;ESP-MD;A5;;;;espmd.a005;
espa;ESP-CM;A5;;;;espcm.a005;
espa;ESP-EX;A5;;;;espex.a005;
espa;ESP-MD;R5;;;;espmd.r005;
espa;ESP-MD;A6;;;;espmd.a006;
espa;ESP-MD;AP6;;;;espmd.ap006;
espa;ESP-CL;AP6;;;;espcl.ap006;
espa;ESP-CL;A6;;;;espcl.a006;
espa;ESP-GA;A6;;;;espga.a006;
espa;ESP-AN;A7;;;;espan.a007;
espa;ESP-MC;A7;;;;espmc.a007;
espa;ESP-VC;A7;;Elc;Elche;espvc.a007elc;
espa;ESP-VC;A7;;;Valencia;espvc.a007;
espa;ESP-CT;A7;;;;espct.a007;
espa;ESP-CT;AP7;;;;espct.ap007;
espa;ESP-VC;AP7;;Cas;Castellon la Plana;espvc.ap007cas;
espa;ESP-VC;AP7;;;Alicante;espvc.ap007;
espa;ESP-VC;AP7;;Tor;Torrevieja;espvc.ap007tor;
espa;ESP-MC;AP7;;;Cartagena;espmc.ap007;
espa;ESP-AN;AP7;;Pul;Pulpi;espan.ap007pul;
espa;ESP-AN;AP7;;;Marbella;espan.ap007;
espa;ESP-PV;A8;;;;esppv.a008;
espa;ESP-CB;A8;;;;espcb.a008;
espa;ESP-AS;A8;;;;espas.a008;
espa;ESP-GA;A8;;;;espga.a008;
espa;ESP-PV;AP8;;;;esppv.ap008;
espa;ESP-GA;AP9;;;;espga.ap009;
espa;ESP-GA;AP9;;Fer;Ferrol;espga.ap009fer;
espa;ESP-GA;AP9;;Vig;Vigo;espga.ap009vig;
espa;ESP-NC;A10;;;;espnc.a010;
espa;ESP-CL;A11;;Bur;Burgo de Osma;espcl.a011bur;
espa;ESP-CL;A11;;Ara;Aranda de Duero;espcl.a011ara;
espa;ESP-CL;A11;;Val;Valladolid;espcl.a011val;
espa;ESP-CL;A11;;;Zamora;espcl.a011;
espa;ESP-NC;A12;;;;espnc.a012;
espa;ESP-RI;A12;;Log;Logrono;espri.a012log;
espa;ESP-RI;A12;;;Nájera;espri.a012;
espa;ESP-RI;A13;;;;espri.a013;		
espa;ESP-CT;A14;;;;espct.a014;
espa;ESP-CL;A15;;;Soria;espcl.a015;
espa;ESP-CL;A15;;Agr;Ágreda;espcl.a015agr;
espa;ESP-NC;A15;;;;espnc.a015;
espa;ESP-PV;A15;;;;esppv.a015;
espa;ESP-NC;AP15;;;;espnc.ap015;
espa;ESP-NC;A21;;;;espnc.a021;
espa;ESP-AR;A21;;Tie;Tiermas;espar.a021tie;
espa;ESP-AR;A21;;;Miramont;espar.a021;
espa;ESP-CT;A22;;;;espct.a022;
espa;ESP-AR;A22;;;;espar.a022;
espa;ESP-VC;A23;;;;espvc.a023;
espa;ESP-AR;A23;;;Zaragoza;espar.a023;
espa;ESP-AR;A23;;Sab;Sabinanigo;espar.a023sab;
espa;ESP-AR;A23;;Jac;Jaca;espar.a023jac;
espa;ESP-CT;A26;;;;espct.a026;
espa;ESP-CT;A27;;;;espct.a027;
espa;ESP-CM;A30;;;;espcm.a030;
espa;ESP-MC;A30;;;;espmc.a030;
espa;ESP-CM;A31;;;;espcm.a031;
espa;ESP-VC;A31;;;;espvc.a031;
espa;ESP-AN;A32;;;Linares;espan.a032;
espa;ESP-CM;A32;;;Albacate;espcm.a032;
espa;ESP-VC;A33;;;;espvc.a033;
espa;ESP-MC;A33;;;;espmc.a033;
espa;ESP-CM;A35;;;;espcm.a035;
espa;ESP-VC;A35;;;;espvc.a035;
espa;ESP-CM;AP36;;;;espcm.ap036;
espa;ESP-VC;A38;;;Sueca;espvc.a038;
espa;ESP-VC;A38;;Gan;Gandia;espvc.a038gan;
espa;ESP-CM;A40;;;Tarancón;espcm.a040;
espa;ESP-CM;A40;;Tor;Torrijos;espcm.a040tor;
espa;ESP-MD;AP41;;;;espmd.ap041;
espa;ESP-CM;AP41;;;;espcm.ap041;
espa;ESP-CM;A41;;;;espcm.a041;
espa;ESP-MD;A42;;;;espmd.a042;
espa;ESP-CM;A42;;;;espcm.a042;
espa;ESP-CM;A43;;;;espcm.a043;
espa;ESP-AN;A44;;;;espan.a044;
espa;ESP-AN;A45;;;;espan.a045;
espa;ESP-AN;AP46;;;;espan.ap046;
espa;ESP-AN;A48;;;;espan.a048;
espa;ESP-AN;A49;;;;espan.a049;
espa;ESP-CL;A50;;;;espcl.a050;
espa;ESP-CL;AP51;;;;espcl.ap051;
espa;ESP-CL;A52;;;;espcl.a052;
espa;ESP-GA;A52;;;;espga.a052;
espa;ESP-GA;AP53;;;;espga.ap053;
espa;ESP-GA;A54;;Lug;Lugo;espga.a054lug;
espa;ESP-GA;A54;;;Santiago de Compostela;espga.a054;
espa;ESP-GA;A55;;;;espga.a055;
espa;ESP-EX;A58;;;;espex.a058;
espa;ESP-CL;A60;;Vil;Villanubla;espcl.a060vil;
espa;ESP-CL;A60;;;Villarente;espcl.a060;
espa;ESP-CL;AP61;;;;espcl.ap061;
espa;ESP-CL;A62;;;;espcl.a062;
espa;ESP-AS;A63;;;;espas.a063;
espa;ESP-AS;A64;;;;espas.a064;
espa;ESP-CL;A65;;;;espcl.a065;
espa;ESP-AS;A66;;;;espas.a066;
espa;ESP-AS;AP66;;;;espas.ap066;
espa;ESP-CL;AP66;;;;espcl.ap066;
espa;ESP-CL;A66;;;;espcl.a066;
espa;ESP-EX;A66;;;;espex.a066;
espa;ESP-AN;A66;;;;espan.a066;
espa;ESP-AS;A66a;;;;espas.a066a;
espa;ESP-CL;A67;;;;espcl.a067;
espa;ESP-CB;A67;;;;espcb.a067;
espa;ESP-NC;A68;;;;espnc.a068;
espa;ESP-AR;A68;;;;espar.a068;
espa;ESP-PV;AP68;;;;esppv.ap068;
espa;ESP-CL;AP68;;;;espcl.ap068;
espa;ESP-RI;AP68;;;Logrono;espri.ap068;
espa;ESP-NC;AP68;;Sar;Sartaguda;espnc.ap068sar;
espa;ESP-RI;AP68;;Cal;Calahorra;espri.ap068cal;
espa;ESP-NC;AP68;;;Tudela;espnc.ap068;
espa;ESP-AR;AP68;;;;espar.ap068;
espa;ESP-VC;A70;;;;espvc.a070;
espa;ESP-CL;AP71;;;;espcl.ap071;
espa;ESP-CL;A73;;;;espcl.a073;
espa;ESP-GA;A75;;;;espga.a075;
espa;ESP-VC;A77;;;;espvc.a077;
espa;ESP-MC;A91;;;;espmc.a091;
espa;ESP-CL;A231;;;;espcl.a231;
espa;ESP-CL;A601;;;;espcl.a601;
espa;ESP-CL;A610;;;;espcl.a610;
espa;ESP-GA;AC11;;;;espga.ac011;
espa;ESP-GA;AC12;;;;espga.ac012;
espa;ESP-GA;AC14;;;;espga.ac014;
espa;ESP-GA;AC15;;;;espga.ac015;
espa;ESP-GA;AG11;;;;espga.ag011;
espa;ESP-GA;AG31;;;;espga.ag031;
espa;ESP-GA;AG41;;;;espga.ag041;
espa;ESP-GA;AG53;;;;espga.ag053;
espa;ESP-GA;AG54;;;;espga.ag054;
espa;ESP-GA;AG55;;;;espga.ag055;
espa;ESP-GA;AG56;;;;espga.ag056;
espa;ESP-GA;AG57;;;;espga.ag057;
espa;ESP-GA;AG57N;;;;espga.ag057n;
espa;ESP-GA;AG58;;;;espga.ag058;
espa;ESP-GA;AG59;;;;espga.ag059;
espa;ESP-GA;AG64;;;;espga.ag064;
espa;ESP-AS;AI81;;;;espas.ai081;
espa;ESP-AN;AL12;;;;espan.al012;
espa;ESP-AR;ARAA1;;;;espar.araa001;
espa;ESP-AS;ASI;;;;espas.asi;
espa;ESP-AS;ASII;;;;espas.asii;
espa;ESP-CL;AV20;;;;espcl.av020;
espa;ESP-CT;B10;;;;espct.b010;
espa;ESP-CT;B20;;;;espct.b020;
espa;ESP-CT;B22;;;;espct.b022;
espa;ESP-CT;B22;;Ter;Terminal 1;espct.b022ter;
espa;ESP-CT;B23;;;;espct.b023;
espa;ESP-CT;B24;;;;espct.b024;
espa;ESP-CT;B30;;;;espct.b030;
espa;ESP-CT;B40;;Abr;Abrera;espct.b040abr;
espa;ESP-CT;B40;;;Terrassa;espct.b040;
espa;ESP-CT;B40;;Roc;La Roca de Valles;espct.b040roc;
espa;ESP-CL;BU11;;;;espcl.bu011;		
espa;ESP-CL;BU30;;;;espcl.bu030;
espa;ESP-CT;C13;;;;espct.c013;
espa;ESP-CT;C14;;;;espct.c014;
espa;ESP-CT;C15;;;;espct.c015;
espa;ESP-CT;C16;;;;espct.c016;
espa;ESP-CT;C17;;;;espct.c017;
espa;ESP-CT;C25;;;;espct.c025;
espa;ESP-CT;C31;;Pra;El Prat;espct.c031pra;
espa;ESP-CT;C31;;;Badalona;espct.c031;
espa;ESP-CT;C31;;Pal;Palamos;espct.c031pal;
espa;ESP-CT;C32;;;Vilanova i la Geltru;espct.c032;
espa;ESP-CT;C32;;Mat;Mataro;espct.c032mat;
espa;ESP-CT;C33;;;;espct.c033;
espa;ESP-CT;C35;;;;espct.c035;
espa;ESP-CT;C58;;;;espct.c058;
espa;ESP-CT;C58C;;;;espct.c058c;
espa;ESP-CT;C60;;;;espct.c060;
espa;ESP-CT;C65;;;;espct.c065;
espa;ESP-AN;CA31;;;;espan.ca031;
espa;ESP-AN;CA32;;;;espan.ca032;
espa;ESP-AN;CA33;;;;espan.ca033;
espa;ESP-AN;CA34;;;;espan.ca034;
espa;ESP-AN;CA35;;;;espan.ca035;
espa;ESP-CM;CM10;;;;espcm.cm010;
espa;ESP-CM;CM40;;;;espcm.cm040;
espa;ESP-CM;CM41;;;;espcm.cm041;
espa;ESP-CM;CM42;;;;espcm.cm042;
espa;ESP-CM;CM43;;;;espcm.cm043;
espa;ESP-CM;CM45;;;;espcm.cm045;
espa;ESP-AN;CO31;;;;espan.co031;
espa;ESP-AN;CO32;;;;espan.co032;
espa;ESP-VC;CS22;;;;espvc.cs022;
espa;ESP-MC;CT32;;;;espmc.ct032;
espa;ESP-MC;CT33;;;;espmc.ct033;
espa;ESP-MC;CT34;;;;espmc.ct034;
espa;ESP-VC;EL20;;;;espvc.el020;
espa;ESP-EX;EXA1;;;;espex.exa001;
espa;ESP-EX;EXA2;;;;espex.exa002;
espa;ESP-GA;FE11;;;;espga.fe011;
espa;ESP-GA;FE12;;;;espga.fe012;
espa;ESP-GA;FE13;;;;espga.fe013;
espa;ESP-GA;FE14;;;;espga.fe014;
espa;ESP-CN;FV1;;;;espcn.fv001;
espa;ESP-CN;FV2;;;;espcn.fv002;
espa;ESP-CN;GC1;;;;espcn.gc001;
espa;ESP-CN;GC2;;;;espcn.gc002;
espa;ESP-CN;GC2;;Gal;Galdar;espcn.gc002gal;
espa;ESP-CN;GC3;;;;espcn.gc003;
espa;ESP-CN;GC4;;;;espcn.gc004;
espa;ESP-CN;GC23;;;;espcn.gc023;
espa;ESP-CN;GC31;;;;espcn.gc031;
espa;ESP-AS;GJ81;;;;espas.gj081;
espa;ESP-AN;GR14;;;;espan.gr014;
espa;ESP-AN;GR16;;;;espan.gr016;
espa;ESP-AN;GR30;;;;espan.gr030;
espa;ESP-AN;H30;;;;espan.h030;
espa;ESP-AN;H31;;;;espan.h031;
espa;ESP-CL;LE11;;;;espcl.le011;
espa;ESP-CL;LE30;;;;espcl.le030;
espa;ESP-CT;LL11;;;;espct.ll011;
espa;ESP-CT;LL12;;;;espct.ll012;
espa;ESP-RI;LO20;;;;espri.lo020;
espa;ESP-GA;LU12;;;;espga.lu012;
espa;ESP-MD;M11;;;;espmd.m011;
espa;ESP-MD;M12;;;;espmd.m012;
espa;ESP-MD;M13;;;;espmd.m013;
espa;ESP-MD;M14;;;;espmd.m014;
espa;ESP-MD;M21;;;;espmd.m021;
espa;ESP-MD;M22;;;;espmd.m022;
espa;ESP-MD;M23;;;;espmd.m023;
espa;ESP-MD;M30;;;;espmd.m030;
