System;Route;Banner;Name;Roots
espab;A1;;Burgos;espmd.a001,espcl.a001
espab;A1;;Vitoria-Gasteiz;esppv.a001arm,espcl.a001peu,esppv.a001,espnc.a001
espab;AP1;;Burgos;espcl.ap001,esppv.ap001arm
espab;AP1;;Bergara;esppv.ap001
espab;A2;;Zaragoza;espmd.a002,espcm.a002,espcl.a002,espar.a002
espab;A2;;Lleida;espar.a002fra,espct.a002
espab;A2;;Girona;espct.a002gir
espab;R2;;;espmd.r002,espcm.r002
espab;AP2;;;espar.ap002,espct.ap002
espab;A3;;;espmd.a003,espcm.a003,espvc.a003
espab;R3;;;espmd.r003
espab;A4;;Sevilla;espmd.a004,espcm.a004ses,espmd.a004ara,espcm.a004,espan.a004
espab;AP4;;;espan.ap004
espab;A4;;Jerez de la Frontera;espan.a004jer
espab;R4;;;espmd.r004,espcm.r004ses,espmd.r004ara,espcm.r004
espab;A5;;;espmd.a005,espcm.a005,espex.a005
espab;R5;;;espmd.r005
espab;A6;;Madrid;espmd.a006
espab;AP6;;;espmd.ap006,espcl.ap006
espab;A6;;Lugo;espcl.a006,espga.a006
espab;A7;;Almeria;espan.a007,espmc.a007,espvc.a007elc
espab;A7;;Valencia;espvc.a007
espab;A7;;Tarragona;espct.a007
espab;AP7;;Barcelona;espct.ap007,espvc.ap007cas
espab;AP7;;Alicante;espvc.ap007
espab;AP7;;Cartagena;espvc.ap007tor,espmc.ap007,espan.ap007pul
espab;AP7;;Marbella;espan.ap007
espab;A8;;;esppv.a008,espcb.a008,espas.a008,espga.a008
espab;AP8;;;esppv.ap008
espab;AP9;;;espga.ap009
espab;AP9;;Ferrol;espga.ap009fer
espab;AP9;;Vigo;espga.ap009vig
espab;A10;;;espnc.a010
espab;A11;;Burgo de Osma;espcl.a011bur
espab;A11;;Aranda de Duero;espcl.a011ara
espab;A11;;Valladolid;espcl.a011val
espab;A11;;Zamora;espcl.a011
espab;A12;;Estella;espnc.a012,espri.a012log
espab;A12;;Nájera;espri.a012
espab;A13;;;espri.a013		
espab;A14;;;espct.a014
espab;A15;;Soria;espcl.a015
espab;A15;;Ágreda;espcl.a015agr
espab;A15;;Lekunberri;espnc.a015
espab;A15;;Lekunberri;esppv.a015
espab;AP15;;;espnc.ap015
espab;A21;;Lumbier;espnc.a021,espar.a021tie
espab;A21;;Miramont;espar.a021
espab;A22;;;espct.a022,espar.a022
espab;A23;;Zaragoza;espvc.a023,espar.a023
espab;A23;;Sabinanigo;espar.a023sab
espab;A23;;Jaca;espar.a023jac
espab;A26;;;espct.a026
espab;A27;;;espct.a027
espab;A30;;;espcm.a030,espmc.a030
espab;A31;;;espcm.a031,espvc.a031
espab;A32;;Linares;espan.a032
espab;A32;;Albacate;espcm.a032
espab;A33;;La Font de la Figuera;espvc.a033
espab;A33;;;espmc.a033
espab;A35;;;espcm.a035,espvc.a035
espab;AP36;;;espcm.ap036
espab;A38;;Sueca;espvc.a038
espab;A38;;Gandia;espvc.a038gan
espab;A40;;Tarancón;espcm.a040
espab;A40;;Torrijos;espcm.a040tor
espab;AP41;;;espmd.ap041,espcm.ap041
espab;A41;;;espcm.a041
espab;A42;;;espmd.a042,espcm.a042
espab;A43;;;espcm.a043
espab;A44;;;espan.a044
espab;A45;;;espan.a045
espab;AP46;;;espan.ap046
espab;A48;;;espan.a048
espab;A49;;;espan.a049
espab;A50;;;espcl.a050
espab;A51;;;espcl.a051
espab;AP51;;;espcl.ap051
espab;A52;;;espcl.a052,espga.a052
espab;AP53;;;espga.ap053
espab;A54;;Lugo;espga.a054lug
espab;A54;;Santiago de Compostela;espga.a054
espab;A55;;;espga.a055
espab;A58;;;espex.a058
espab;A60;;Villanubla;espcl.a060vil
espab;A60;;Villarente;espcl.a060
espab;AP61;;;espcl.ap061
espab;A62;;;espcl.a062
espab;A63;;;espas.a063
espab;A64;;;espas.a064
espab;A65;;;espcl.a065
espab;A66;;Oviedo;espas.a066
espab;AP66;;;espas.ap066,espcl.ap066
espab;A66;;Salamanca;espcl.a066,espex.a066,espan.a066
espab;A66a;;;espas.a066a
espab;A67;;;espcl.a067,espcb.a067
espab;A68;;Tudela;espnc.a068
espab;A68;;Zaragoza;espar.a068
espab;AP68;;;esppv.ap068,espcl.ap068,espri.ap068,espnc.ap068sar,espri.ap068cal,espnc.ap068,espar.ap068
espab;A70;;;espvc.a070
espab;AP71;;;espcl.ap071
espab;A73;;;espcl.a073
espab;A75;;;espga.a075
espab;A77;;;espvc.a077
espab;A91;;;espmc.a091
espab;A231;;;espcl.a231
espab;A601;;;espcl.a601
espab;A610;;;espcl.a610
espab;AC11;;;espga.ac011
espab;AC12;;;espga.ac012
espab;AC14;;;espga.ac014
espab;AC15;;;espga.ac015
espab;AG11;;;espga.ag011
espab;AG31;;;espga.ag031
espab;AG41;;;espga.ag041
espab;AG53;;;espga.ag053
espab;AG54;;;espga.ag054
espab;AG55;;;espga.ag055
espab;AG56;;;espga.ag056
espab;AG57;;;espga.ag057
espab;AG57N;;;espga.ag057n
espab;AG58;;;espga.ag058
espab;AG59;;;espga.ag059
espab;AG64;;;espga.ag064
espab;AI81;;;espas.ai081
espab;AL12;;;espan.al012
espab;ARAA1;;;espar.araa001
espab;ASI;;;espas.asi
espab;ASII;;;espas.asii
espab;B10;;;espct.b010
espab;B20;;;espct.b020
espab;B22;;;espct.b022
espab;B22;;Terminal 1;espct.b022ter
espab;B23;;;espct.b023
espab;B24;;;espct.b024
espab;B30;;;espct.b030
espab;B40;;Abrera;espct.b040abr
espab;B40;;Terrassa;espct.b040
espab;B40;;La Roca de Valles;espct.b040roc
espab;BU11;;;espcl.bu011		
espab;BU30;;;espcl.bu030
espab;C13;;;espct.c013
espab;C14;;;espct.c014
espab;C15;;;espct.c015
espab;C16;;;espct.c016
espab;C17;;;espct.c017
espab;C25;;;espct.c025
espab;C31;;El Prat;espct.c031pra
espab;C31;;Badalona;espct.c031
espab;C31;;Palamos;espct.c031pal
espab;C32;;Vilanova i la Geltru;espct.c032
espab;C32;;Mataro;espct.c032mat
espab;C33;;;espct.c033
espab;C35;;;espct.c035
espab;C58;;;espct.c058
espab;C58C;;;espct.c058c
espab;C60;;;espct.c060
espab;C65;;;espct.c065
espab;CA31;;;espan.ca031
espab;CA32;;;espan.ca032
espab;CA33;;;espan.ca033
espab;CA34;;;espan.ca034
espab;CA35;;;espan.ca035
espab;CM10;;;espcm.cm010
espab;CM40;;;espcm.cm040
espab;CM41;;;espcm.cm041
espab;CM42;;;espcm.cm042
espab;CM43;;;espcm.cm043
espab;CM45;;;espcm.cm045
espab;CO31;;;espan.co031
espab;CO32;;;espan.co032
espab;CS22;;;espvc.cs022
espab;CT32;;;espmc.ct032
espab;CT33;;;espmc.ct033
espab;CT34;;;espmc.ct034
espab;EL20;;;espvc.el020
espab;EXA1;;;espex.exa001
espab;EXA2;;;espex.exa002
espab;FE11;;;espga.fe011
espab;FE12;;;espga.fe012
espab;FE13;;;espga.fe013
espab;FE14;;;espga.fe014
espab;FV1;;;espcn.fv001
espab;FV2;;;espcn.fv002
espab;GC1;;;espcn.gc001
espab;GC2;;;espcn.gc002
espab;GC2;;Galdar;espcn.gc002gal
espab;GC3;;;espcn.gc003
espab;GC4;;;espcn.gc004
espab;GC23;;;espcn.gc023
espab;GC31;;;espcn.gc031
espab;GJ81;;;espas.gj081
espab;GR14;;;espan.gr014
espab;GR16;;;espan.gr016
espab;GR30;;;espan.gr030
espab;H30;;;espan.h030
espab;H31;;;espan.h031
espab;LE11;;;espcl.le011
espab;LE30;;;espcl.le030
espab;LL11;;;espct.ll011
espab;LL12;;;espct.ll012
espab;LO20;;;espri.lo020
espab;LU12;;;espga.lu012
espab;M11;;;espmd.m011
espab;M12;;;espmd.m012
espab;M13;;;espmd.m013
espab;M14;;;espmd.m014
espab;M21;;;espmd.m021
espab;M22;;;espmd.m022
espab;M23;;;espmd.m023
espab;M30;;;espmd.m030
espab;M30;Byp;;espmd.m030bypsur
espab;M31;;;espmd.m031
espab;M40;;;espmd.m040
espab;M50;;;espmd.m050
espab;Ma1;;;espib.ma001
espab;Ma13;;;espib.ma013
espab;Ma19;;;espib.ma019
espab;Ma20;;;espib.ma020
espab;MA20;;;espan.ma020
espab;MA21;;;espan.ma021
espab;MA23;;;espan.ma023
espab;MA24;;;espan.ma024
espab;MU30;;;espmc.mu030
espab;MU31;;;espmc.mu031
espab;O11;;;espas.o011
espab;O12;;;espas.o012
espab;P11;;;espcl.p011
espab;PA30;;;espnc.pa030
espab;PA31;;;espnc.pa031
espab;PA32;;;espnc.pa032
espab;PA33;;;espnc.pa033
espab;PA34;;;espnc.pa034
espab;PO10;;;espga.po010
espab;PO11;;;espga.po011
espab;PT10;;;espcm.pt010
espab;RM1;;;espmc.rm001		
espab;RM2;;;espmc.rm002		
espab;RM3;;;espmc.rm003		
espab;RM16;;;espmc.rm016		
espab;RM17;;;espmc.rm017		
espab;RM23;;;espmc.rm023
espab;S10;;;espcb.s010
espab;S20;;;espcb.s020
espab;S30;;;espcb.s030
espab;SC11;;;espga.sc011
espab;SC20;;;espga.sc020
espab;SC21;;;espga.sc021
espab;SE30;;;espan.se030
espab;SE40;;;espan.se040
espab;SO20;;;espcl.so020
espab;T11;;;espct.t011
espab;TF1;;;espcn.tf001
espab;TF2;;;espcn.tf002
espab;TF4;;;espcn.tf004
espab;TF5;;;espcn.tf005
espab;TO21;;;espcm.to021
espab;TO22;;;espcm.to022
espab;V11;;;espvc.v011
espab;V21;;;espvc.v021
espab;V23;;;espvc.v023
espab;V30;;;espvc.v030
espab;V31;;;espvc.v031
espab;VA30;;;espcl.va030
espab;VG20;;;espga.vg020
espab;Z32;;;espar.z032
espab;Z40;;;espar.z040
espab;ZA12;;;espcl.za012
