System;Route;Banner;Name;Roots
espar;A116;;;espar.ar116
espar;A120;;;espar.ar120
espar;A121;;;espar.ar121
espar;A122;;;espar.ar122
espar;A123;;;espar.ar123
espar;A124;;;espar.ar124
espar;A125;;;espar.ar125
espar;A126;;;espar.ar126
espar;A127;;;espar.ar127
espar;A129;;;espar.ar129
espar;A130;;;espar.ar130
espar;A131;;;espar.ar131
espar;A132;;;espar.ar132
espar;A133;;;espar.ar133
espar;A135;;;espar.ar135
espar;A136;;;espar.ar136
espar;A137;;;espar.ar137
espar;A138;;;espar.ar138
espar;A139;;;espar.ar139
espar;A140;;;espar.ar140
espar;A176;;;espar.ar176
espar;A202;;;espar.ar202
espar;A211;;;espar.ar211
espar;A220;;;espar.ar220
espar;A220;;La Almunia de Dona Godina (spur);espar.ar220alm
espar;A221;;;espar.ar221
espar;A222;;;espar.ar222
espar;A223;;;espar.ar223
espar;A224;;;espar.ar224
espar;A225;;;espar.ar225
espar;A226;;Mas de las Matas;espar.ar226mas
espar;A226;;Fortanete;espar.ar226
espar;A227;;;espar.ar227
espar;A228;;;espar.ar228
espar;A230;;;espar.ar230
espar;A231;;;espar.ar231
espar;A232;;;espar.ar236
espar;A242;;;espar.ar242
