system;region;route;banner;abbrev;city;fileroot;AltRouteNames
espcb;ESP-CB;CA130;;;;espcb.ca130;
espcb;ESP-CB;CA131;;;;espcb.ca131;
espcb;ESP-CB;CA132;;;;espcb.ca132;
espcb;ESP-CB;CA133;;;;espcb.ca133;
espcb;ESP-CB;CA134;;;;espcb.ca134;
espcb;ESP-CB;CA135;;;;espcb.ca135;
espcb;ESP-CB;CA136;;;;espcb.ca136;
espcb;ESP-CB;CA137;;;;espcb.ca137;
espcb;ESP-CB;CA140;;;;espcb.ca140;
espcb;ESP-CB;CA141;;;;espcb.ca141;
espcb;ESP-CB;CA142;;;;espcb.ca142;
espcb;ESP-CB;CA143;;;;espcb.ca143;
espcb;ESP-CB;CA144;;;;espcb.ca144;
espcb;ESP-CB;CA145;;;;espcb.ca145;
espcb;ESP-CB;CA146;;;;espcb.ca146;
espcb;ESP-CB;CA146A;;;;espcb.ca146a;
espcb;ESP-CB;CA147;;;;espcb.ca147;
espcb;ESP-CB;CA148;;;;espcb.ca148;
espcb;ESP-CB;CA150;;;;espcb.ca150;
espcb;ESP-CB;CA151;;;;espcb.ca151;
espcb;ESP-CB;CA152;;;;espcb.ca152;
espcb;ESP-CB;CA153;;;;espcb.ca153;
espcb;ESP-CB;CA160;;;;espcb.ca160;
espcb;ESP-CB;CA161;;;;espcb.ca161;
espcb;ESP-CB;CA162;;;;espcb.ca162;
espcb;ESP-CB;CA170;;;;espcb.ca170;
espcb;ESP-CB;CA171;;;;espcb.ca171;
espcb;ESP-CB;CA171A;;;;espcb.ca171a;
espcb;ESP-CB;CA180;;;;espcb.ca180;
espcb;ESP-CB;CA181;;;;espcb.ca181;
espcb;ESP-CB;CA182;;;;espcb.ca182;
espcb;ESP-CB;CA183;;;;espcb.ca183;
espcb;ESP-CB;CA184;;;;espcb.ca184;
espcb;ESP-CB;CA185;;;;espcb.ca185;
