System;Route;Banner;Name;Roots
espcb;CA130;;;espcb.ca130
espcb;CA131;;;espcb.ca131
espcb;CA132;;;espcb.ca132
espcb;CA133;;;espcb.ca133
espcb;CA134;;;espcb.ca134
espcb;CA135;;;espcb.ca135
espcb;CA136;;;espcb.ca136
espcb;CA137;;;espcb.ca137
espcb;CA140;;;espcb.ca140
espcb;CA141;;;espcb.ca141
espcb;CA142;;;espcb.ca142
espcb;CA143;;;espcb.ca143
espcb;CA144;;;espcb.ca144
espcb;CA145;;;espcb.ca145
espcb;CA146;;;espcb.ca146
espcb;CA146A;;;espcb.ca146a
espcb;CA147;;;espcb.ca147
espcb;CA148;;;espcb.ca148
espcb;CA150;;;espcb.ca150
espcb;CA151;;;espcb.ca151
espcb;CA152;;;espcb.ca152
espcb;CA153;;;espcb.ca153
espcb;CA160;;;espcb.ca160
espcb;CA161;;;espcb.ca161
espcb;CA162;;;espcb.ca162
espcb;CA170;;;espcb.ca170
espcb;CA171;;;espcb.ca171
espcb;CA171A;;;espcb.ca171a
espcb;CA180;;;espcb.ca180
espcb;CA181;;;espcb.ca181
espcb;CA182;;;espcb.ca182
espcb;CA183;;;espcb.ca183
espcb;CA184;;;espcb.ca184
espcb;CA185;;;espcb.ca185
