System;Route;Banner;Name;Roots
espcl;CL101;;;espcl.cl101
espcl;CL116;;;espcl.cl116
espcl;CL117;;;espcl.cl117
espcl;CL127;;;espcl.cl127
espcl;CL501;;;espcl.cl501,espcm.cl501,espcl.cl501adr
espcl;CL505;;;espcl.cl505
espcl;CL507;;;espcl.cl507
espcl;CL510;;;espcl.cl510
espcl;CL512;;;espcl.cl512
espcl;CL517;;;espcl.cl517
espcl;CL526;;;espcl.cl526
espcl;CL527;;;espcl.cl527
espcl;CL600;;;espcl.cl600
espcl;CL601;;;espcl.cl601
espcl;CL602;;;espcl.cl602
espcl;CL603;;;espcl.cl603
espcl;CL605;;;espcl.cl605
espcl;CL607;;;espcl.cl607
espcl;CL610;;;espcl.cl610
espcl;CL612;;;espcl.cl612
espcl;CL613;;;espcl.cl613
espcl;CL615;;;espcl.cl615
espcl;CL619;;;espcl.cl619
espcl;CL620;;;espcl.cl620
espcl;CL621;;;espcl.cl621
espcl;CL622;;;espcl.cl622
espcl;CL623;;;espcl.cl623
espcl;CL624;;;espcl.cl624
espcl;CL626;;;espcl.cl626
espcl;CL627;;;espcl.cl627
espcl;CL628;;;espcl.cl628
espcl;CL629;;;espcl.cl629
espcl;CL630;;;espcl.cl630
espcl;CL631;;;espcl.cl631
espcl;CL632;;;espcl.cl632
espcl;CL633;;;espcl.cl633
espcl;CL635;;;espcl.cl635
