System;Route;Banner;Name;Roots
espcm;CM10;x;;espcm.cm010x
espcm;CM40;x;;espcm.cm040x
espcm;CM41;x;;espcm.cm041x
espcm;CM42;x;;espcm.cm042x
espcm;CM43;x;;espcm.cm043x
espcm;CM45;x;;espcm.cm045x
espcm;CM101;;;espcm.cm101
espcm;CM110;;;espcm.cm110
espcm;CM200;;;espcm.cm200
espcm;CM210;;;espcm.cm210
espcm;CM211;;;espcm.cm211
espcm;CM213;;;espcm.cm213
espcm;CM215;;;espcm.cm215
espcm;CM220;;;espcm.cm220
espcm;CM310;;;espcm.cm310
espcm;CM311;;;espcm.cm311
espcm;CM313;;;espcm.cm313
espcm;CM316;;;espcm.cm316
espcm;CM320;;;espcm.cm320
espcm;CM322;;;espcm.cm322
espcm;CM401;;;espcm.cm401
espcm;CM403;;;espcm.cm403
espcm;CM410;;;espcm.cm410
espcm;CM411;;;espcm.cm411
espcm;CM412;;Hellin;espcm.cm412
espcm;CM412;;Ciudad Real;espcm.cm412ciu
espcm;CM413;;;espcm.cm413
espcm;CM415;;;espcm.cm415
espcm;CM420;;;espcm.cm420
