system;region;route;banner;abbrev;city;fileroot;AltRouteNames
espct;ESP-CT;C12;;;Amposta;espct.c012;
espct;ESP-CT;C12;;Bal;Balaguer;espct.c012bal;
espct;ESP-CT;C12B;;;;espct.c012b;
espct;ESP-CT;C13;;;;espct.c013;C13x
espct;ESP-CT;C13b;;;;espct.c013b;
espct;ESP-CT;C14;;;;espct.c014;C14x
espct;ESP-CT;C15;;;;espct.c015;C15x
espct;ESP-CT;C15B;;;;espct.c015b;
espct;ESP-CT;C16;;;;espct.c016;C16x
espct;ESP-CT;C16C;;;;espct.c016c;
espct;ESP-CT;C17;;;;espct.c017;C17x
espct;ESP-CT;C25;;;;espct.c025;C25x
espct;ESP-CT;C25D;;;;espct.c025d;
espct;ESP-CT;C26;;;Balaguer;espct.c026;
espct;ESP-CT;C26;;Fig;Figueres;espct.c026fig;
espct;ESP-CT;C28;;;;espct.c028;
espct;ESP-CT;C31;;Vil;Vilanova i la Geltru;espct.c031vil;
espct;ESP-CT;C31;;Pra;el Prat de Llobregat;espct.c031pra;C31Prax
espct;ESP-CT;C31;;Bad;Badalona;espct.c031bad;C31Badx
espct;ESP-CT;C31;;;Palafrugell;espct.c031;C31Pal,C31x
espct;ESP-CT;C31B;;;;espct.c031b;
espct;ESP-CT;C31C;;;;espct.c031c;
espct;ESP-CT;C31D;;;;espct.c031d;
espct;ESP-CT;C31E;;;;espct.c031e;
espct;ESP-CT;C31F;;;;espct.c031f;
espct;ESP-CT;C32;;;Vilanova i la Geltru;espct.c032;C32x
espct;ESP-CT;C32;;Mat;Matero;espct.c032mat;C32Matx
espct;ESP-CT;C32B;;;;espct.c032b;
espct;ESP-CT;C33;;;;espct.c033;C33x
espct;ESP-CT;C35;;;Sant Celoni;espct.c035;C35x
espct;ESP-CT;C35;;Mon;Montmelo;espct.c035mon;
espct;ESP-CT;C37;;;Igualada;espct.c037;
espct;ESP-CT;C37;;Tor;Torello;espct.c037tor;
espct;ESP-CT;C38;;;;espct.c038;
espct;ESP-CT;C42;;;;espct.c042;
espct;ESP-CT;C43;;;;espct.c043;
espct;ESP-CT;C44;;;;espct.c044;
espct;ESP-CT;C45;;;;espct.c045;
espct;ESP-CT;C51;;;;espct.c051;
espct;ESP-CT;C53;;;;espct.c053;
espct;ESP-CT;C55;;;;espct.c055;
espct;ESP-CT;C58;;;;espct.c058;C58x
espct;ESP-CT;C58C;;;;espct.c058c;C58Cx
espct;ESP-CT;C59;;;;espct.c059;
espct;ESP-CT;C60;;;;espct.c060;C60x
espct;ESP-CT;C61;;;;espct.c061;
espct;ESP-CT;C62;;;;espct.c062;
espct;ESP-CT;C63;;;;espct.c063;
espct;ESP-CT;C65;;;;espct.c065;C65x
espct;ESP-CT;C66;;;;espct.c066;
