system;region;route;banner;abbrev;city;fileroot;AltRouteNames
espmc;ESP-MC;RM1;x;;;espmc.rm001x;
espmc;ESP-MC;RM2;x;;;espmc.rm002x;
espmc;ESP-MC;RM3;x;;;espmc.rm003x;
espmc;ESP-MC;RM11;x;;;espmc.rm011x;
espmc;ESP-MC;RM12;x;;;espmc.rm012x;
espmc;ESP-MC;RM15;x;;;espmc.rm015x;
espmc;ESP-MC;RM16;x;;;espmc.rm016x;
espmc;ESP-MC;RM17;x;;;espmc.rm017x;
espmc;ESP-MC;RM19;x;;;espmc.rm019x;
espmc;ESP-MC;RM23;x;;;espmc.rm023x;
espmc;ESP-MC;RM301;;;;espmc.rm301;
espmc;ESP-MC;RM303;;;;espmc.rm303;
espmc;ESP-MC;RM332;;;;espmc.rm332;
espmc;ESP-MC;RM333;;;;espmc.rm333;
espmc;ESP-MC;RM412;;;;espmc.rm412;
espmc;ESP-MC;RM414;;;;espmc.rm414;
espmc;ESP-MC;RM422;;;;espmc.rm422;
espmc;ESP-MC;RM424;;;;espmc.rm424;
espmc;ESP-MC;RM425;;;;espmc.rm425;
espmc;ESP-MC;RM426;;;;espmc.rm426;
espmc;ESP-MC;RM602;;;;espmc.rm602;
espmc;ESP-MC;RM711;;;;espmc.rm711;
espmc;ESP-MC;RM714;;;;espmc.rm714;
espmc;ESP-MC;RM730;;;;espmc.rm730;
