System;Route;Banner;Name;Roots
espmc;RM1x;;;espmc.rm001x
espmc;RM2x;;;espmc.rm002x
espmc;RM3x;;;espmc.rm003x
espmc;RM11x;;;espmc.rm011x
espmc;RM12x;;;espmc.rm012x
espmc;RM15x;;;espmc.rm015x
espmc;RM16x;;;espmc.rm016x
espmc;RM17x;;;espmc.rm017x
espmc;RM19x;;;espmc.rm019x
espmc;RM23x;;;espmc.rm023x
espmc;RM301;;;espmc.rm301
espmc;RM303;;;espmc.rm303
espmc;RM332;;;espmc.rm332
espmc;RM333;;;espmc.rm333
espmc;RM412;;;espmc.rm412
espmc;RM414;;;espmc.rm414
espmc;RM422;;;espmc.rm422
espmc;RM424;;;espmc.rm424
espmc;RM425;;;espmc.rm425
espmc;RM426;;;espmc.rm426
espmc;RM602;;;espmc.rm602
espmc;RM711;;;espmc.rm711
espmc;RM714;;;espmc.rm714
espmc;RM730;;;espmc.rm730
