system;region;route;banner;abbrev;city;fileroot;AltRouteNames
espnc;ESP-NC;NA115;;;;espnc.na115;
espnc;ESP-NC;NA120;;;;espnc.na120;
espnc;ESP-NC;NA122;;;;espnc.na122;
espnc;ESP-NC;NA123;;;;espnc.na123;
espnc;ESP-NC;NA125;;;;espnc.na125;
espnc;ESP-NC;NA126;;;;espnc.na126;
espnc;ESP-NC;NA127;;;;espnc.na127;
espnc;ESP-NC;NA128;;;;espnc.na128;
espnc;ESP-NC;NA129;;;;espnc.na129;
espnc;ESP-NC;NA132;;;;espnc.na132;
espnc;ESP-NC;NA132A;;;;espnc.na132a;
espnc;ESP-NC;NA132B;;;;espnc.na132b;
espnc;ESP-NC;NA134;;Men;Mendabia;espnc.na134men;
espnc;ESP-NC;NA134;;;Tudela;espnc.na134;
espnc;ESP-NC;NA137;;;;espnc.na137;
espnc;ESP-NC;NA138;;;;espnc.na138;
espnc;ESP-NC;NA140;;;;espnc.na140;
espnc;ESP-NC;NA150;;;;espnc.na150;
espnc;ESP-NC;NA160;;;;espnc.na160;
espnc;ESP-NC;NA161;;;;espnc.na161;
espnc;ESP-NC;NA170;;;;espnc.na170;
espnc;ESP-NC;NA176;;;;espnc.na176;
espnc;ESP-NC;NA178;;;;espnc.na178;
espnc;ESP-NC;NA214;;;;espnc.na214;
espnc;ESP-NC;NA234;;;;espnc.na234;
espnc;ESP-NC;NA411;;;;espnc.na411;
espnc;ESP-NC;NA534;;;;espnc.na534;
espnc;ESP-NC;NA601;;;;espnc.na601;
espnc;ESP-NC;NA624;;;;espnc.na624;
espnc;ESP-NC;NA653;;;;espnc.na653;
espnc;ESP-NC;NA660;;;;espnc.na660;
espnc;ESP-NC;NA666;;;;espnc.na666;
espnc;ESP-NC;NA700;;;;espnc.na700;
espnc;ESP-NC;NA718;;;;espnc.na718;
espnc;ESP-NC;NA743;;;;espnc.na743;
