systemName;region;route;banner;abbrev;city;root;altRouteNames
espsf;ESP-AN;A334;;;Autovía del Almanzora;espan.a334;
espsf;ESP-AN;A357;;;Autovía Casapalma - Málaga;espan.a357;
espsf;ESP-AN;A376;;;Autovía Sevilla-Utrera;espan.a376;
espsf;ESP-AN;A382;;;Autovía Jerez-Antequera;espan.a382;
espsf;ESP-AN;A383;;;Acceso Este a La Línea;espan.a383;
espsf;ESP-AN;A395;;;Ronda Sur, Granada;espan.a395;
espsf;ESP-AN;A480;;;Autovía Chipiona - Jerez;espan.a480;
espsf;ESP-AN;A483;;;Autovía Bollullos del Condado-Matalascañas;espan.a483;
espsf;ESP-AN;A491;;;Autovía Chipiona - El Puerto de Santa María;espan.a491;
espsf;ESP-AN;A497;;;Autovía de Huelva a Punta Umbría;espan.a497;
espsf;ESP-AN;A1051;;;Autovía de Roquetas;espan.a1051;
espsf;ESP-AN;A7056;;;Acceso al P.T.A.;espan.a7056;
espsf;ESP-AS;AI82;;;Acceso al Aeropuerto de Asturias;espas.ai082;
espsf;ESP-GA;ConPor;;;Conexión O Porriño;espga.conpor;
espsf;ESP-GA;PO010;;;Acceso Balaidos;espga.po010vig;
espsf;ESP-GA;V1.4;;;Rolda do Real Clube Deportivo da Coruna;espga.v0014;
