systemName;region;route;banner;abbrev;city;root;altRouteNames
estt;EST;T12;;;;est.t012;
estt;EST;T13;;;;est.t013;
estt;EST;T14;;;;est.t014;
estt;EST;T15;;;;est.t015;
estt;EST;T17;;;;est.t017;
estt;EST;T18;;;;est.t018;
estt;EST;T20;;;;est.t020;
estt;EST;T21;;;;est.t021;
estt;EST;T22;;;;est.t022;
estt;EST;T23;;;;est.t023;
estt;EST;T24;;;;est.t024;
estt;EST;T25;;;;est.t025;
estt;EST;T26;;;;est.t026;
estt;EST;T27;;;;est.t027;
estt;EST;T28;;;;est.t028;
estt;EST;T29;;;;est.t029;
estt;EST;T31;;;;est.t031;
estt;EST;T32;;;;est.t032;
estt;EST;T33;;;;est.t033;
estt;EST;T34;;;;est.t034;
estt;EST;T35;;;;est.t035;
estt;EST;T36;;;;est.t036;
estt;EST;T37;;;;est.t037;
estt;EST;T38;;;;est.t038;
estt;EST;T39;;;;est.t039;
estt;EST;T40;;;;est.t040;
estt;EST;T41;;;;est.t041;
estt;EST;T42;;;;est.t042;
estt;EST;T43;;;;est.t043;
estt;EST;T44;;;;est.t044;
estt;EST;T45;;;;est.t045;
estt;EST;T46;;;;est.t046;
estt;EST;T47;;;;est.t047;
estt;EST;T49;;;;est.t049;
estt;EST;T50;;;;est.t050;
estt;EST;T51;;;;est.t051;
estt;EST;T52;;;;est.t052;
estt;EST;T53;;;;est.t053;
estt;EST;T54;;;;est.t054;
estt;EST;T55;;;;est.t055;
estt;EST;T57;;;;est.t057;
estt;EST;T58;;;;est.t058;
estt;EST;T59;;;;est.t059;
estt;EST;T60;;;;est.t060;
estt;EST;T61;;;;est.t061;
estt;EST;T62;;;;est.t062;
estt;EST;T63;;;;est.t063;
estt;EST;T64;;;;est.t064;
estt;EST;T65;;;;est.t065;
estt;EST;T66;;;;est.t066;
estt;EST;T67;;;;est.t067;
estt;EST;T68;;;;est.t068;
estt;EST;T69;;;;est.t069;
estt;EST;T70;;;;est.t070;
estt;EST;T71;;;;est.t071;
estt;EST;T72;;;;est.t072;
estt;EST;T73;;;;est.t073;
estt;EST;T75;;;;est.t075;
estt;EST;T76;;;;est.t076;
estt;EST;T77;;;;est.t077;
estt;EST;T78;;;;est.t078;
estt;EST;T79;;;;est.t079;
estt;EST;T80;;;;est.t080;
estt;EST;T81;;;;est.t081;
estt;EST;T82;;;;est.t082;
estt;EST;T83;;;;est.t083;
estt;EST;T84;;;;est.t084;
estt;EST;T85;;;;est.t085;
estt;EST;T86;;;;est.t086;
estt;EST;T87;;;;est.t087;
estt;EST;T88;;;;est.t088;
estt;EST;T89;;;;est.t089;
estt;EST;T90;;;;est.t090;
estt;EST;T91;;;;est.t091;
estt;EST;T93;;;;est.t093;
estt;EST;T94;;;;est.t094;
estt;EST;T95;;;;est.t095;
