systemName;route;banner;groupName;roots
eursf;AutBLDob;;Autoput Banja Luka - Doboj;bih.autbldob
eursf;AutGraBL;;Autoput Gradiška - Banja Luka;bih.autgrabl
eursf;AvtMNNK;;Avtomagistral Moskva - Nizhny Novgorod - Kazan;rus.avtmnnk
eursf;CKAD;;Central'naya Kolchevaya Avtomobil'naya Doroga;rus.ckad
eursf;GraAutSar;;Gradski Autoput Sarajevo;bih.graautsar
eursf;T5Spr;;Heathrow Terminal 5 Spur;eng.t5spr
eursf;KasSho;;Kashirskoe Shosse, Moskva;rus.kassho
eursf;KeaSpr;;Kearsley Spur;eng.keaspr
eursf;KieSho;;Kievskoe Shosse, Moskva;rus.kiesho
eursf;KAD;;Koltsevaya Avtomobilnaya Doroga, Sankt-Peterburg;rus.kad
eursf;MinKobAut;;Minsk - Kobrin Aŭtamabіĺnaja;blr.minkobaut
eursf;MinOrsAut;;Minsk - Orsha Aŭtamabіĺnaja;blr.minorsaut
eursf;MKAD;;Mіnskaja Kaĺcavaja Aŭtamabіĺnaja Daroha;blr.mkad
eursf;MKAD2;;Mіnskaja Kaĺcavaja Aŭtamabіĺnaja Daroha 2;blr.mkad2
eursf;MKAD;;Moscovskaya Koltsevaya Avtomobilnaya Doroga, Moskva;rus.mkad
eursf;NovSho;;Novorizhskoe Shosse, Moskva;rus.novsho
eursf;PerOdosThe;;Periphereiakḗ Odós Thessaloníkēs;grc.perodosthe
eursf;SevObeOdi;;Severny Obkhod Odintsova;rus.sevobeodi
eursf;SimSho;;Simferopolskoe Shosse;rus.simsho
eursf;SkoAvt;;Skorostnaya Avtomobil'naya Doroga Moskva - Sankt Peterburg (Moskva);rus.skoavt
eursf;SkoAvt;;Skorostnaya Avtomobil'naya Doroga Moskva - Sankt Peterburg (Vyshny Volochyok);rus.skoavtvvo
eursf;TunRd;;Tunnel Road, Heathrow;eng.tunrd
eursf;UnaLin;;Unaza Lindore, Tiranë;alb.unalin
eursf;UnaMad;;Unaza e Madhe, Tiranë;alb.unamad
eursf;YuzObk;;Yuzhniy Obkhod, Nizhny Novgorod;rus.yuzobk
eursf;ZSD;;Zapadnyy Skorostnoy Diametr, Sankt-Peterburg;rus.zsd
