System;Region;Route;Banner;Abbrev;City;Root;AltRouteNames
eursfb;ESP-PV;BI637;;;Autovía Baracaldo - Plencia;esppv.bi637;
eursfb;ESP-PV;GI632;;;Autovía Beasain-Bergara;esppv.gi632;
eursfb;ESP-PV;BI631;;;Autovía Bilbao - Munguía;esppv.bi631;
eursfb;ESP-AN;A92;;;Autovía de Andalucia;espan.a092;
eursfb;ESP-AN;A92N;;;Autovía de Andalucia;espan.a092n;
eursfb;ESP-AN;A92G;;;Autovía de Andalucia (Grenada);espan.a092g;
eursfb;ESP-AN;A92M;;;Autovía de Andalucia (Malaga);espan.a092m;
eursfb;ESP-MD;M607;;;Autovía de Colmenar Viejo;espmd.m607;
eursfb;ESP-MD;MP203;;;Autovía de entrada sur a Alcalá;espmd.mp203;
eursfb;ESP-MC;RM12;;;Autovía de La Manga;espmc.rm012;
eursfb;ESP-VC;CV10;;;Autovía de la Plana;espvc.cv010;
eursfb;ESP-MD;M501;;;Autovia de los Pantanos;espmd.m501;
eursfb;ESP-MD;M407;;;Autovía de Polvoranca;espmd.m407;
eursfb;ESP-VC;CV36;;;Autovía de Torrente;espvc.cv036;
eursfb;ESP-MC;RM19;;;Autovía del Mar Menor;espmc.rm019;
eursfb;ESP-MC;RM15;;;Autovía del Noroeste;espmc.rm015;
eursfb;ESP-AN;A316;;;Autovía del Olivar;espan.a316;
eursfb;ESP-AN;A318;;;Autovía del Olivar;espan.a318;
eursfb;ESP-VC;CV35;;;Autovía del Turia;espvc.cv035;
eursfb;ESP-AN;A381;;;Autovía Jerez - Los Barrios;espan.a381;
eursfb;ESP-MC;RM11;;;Autovía Lorca-Águilas;espmc.rm011;
eursfb;ESP-VC;CV80;;;Autovía Sax - Castalla;espvc.cv080;
eursfb;ESP-MD;M500;;;Carretera de Castilla;espmd.m500;
eursfb;ESP-IB;Ma15;;;Carretera de Manacor;espib.ma015;
eursfb;ESP-IB;E20;;;Circunvalación de Ibiza;espib.e020;
eursfb;ESP-MD;M45;;;Circunvalación de Madrid;espmd.m045;
eursfb;ESP-PV;BI636;;;Corredor del Cadagua, Bilbao;esppv.bi636;
eursfb;ESP-VC;CV31;;;Distribuidor comarcal norte, Valencia;espvc.cv031;
eursfb;ESP-VC;CV33;;;Distribuidor comarcal sur, Valencia;espvc.cv033;
eursfb;ESP-MD;M503;;;Eje Madrid Noroeste;espmd.m503;
eursfb;ESP-PV;GI20;;;Primer Cinturón de San Sebastián;esppv.gi020;
eursfb;ESP-VC;CV30;;;Ronda Norte de Valencia;espvc.cv030;
eursfb;ESP-PV;GI11;;;Variante de San Sebastián;esppv.gi011;
