System;Route;Banner;Name;Roots
eursfb;BI637;;Autovía Baracaldo - Plencia;esppv.bi637
eursfb;GI632;;Autovía Beasain-Bergara;esppv.gi632
eursfb;BI631;;Autovía Bilbao - Munguía;esppv.bi631
eursfb;A92;;Autovía de Andalucia;espan.a092
eursfb;A92N;;Autovía de Andalucia;espan.a092n
eursfb;A92G;;Autovía de Andalucia (Grenada);espan.a092g
eursfb;A92M;;Autovía de Andalucia (Malaga);espan.a092m
eursfb;M607;;Autovía de Colmenar Viejo;espmd.m607
eursfb;CV10;;Autovía de la Plana;espvc.cv010
eursfb;M501;;Autovia de los Pantanos;espmd.m501
eursfb;M407;;Autovía de Polvoranca;espmd.m407
eursfb;CV36;;Autovía de Torrente;espvc.cv036
eursfb;A316;;Autovía del Olivar;espan.a316
eursfb;A318;;Autovía del Olivar;espan.a318
eursfb;CV35;;Autovía del Turia;espvc.cv035
eursfb;A381;;Autovía Jerez - Los Barrios;espan.a381
eursfb;CV80;;Autovía Sax - Castalla;espvc.cv080
eursfb;M500;;Carretera de Castilla;espmd.m500
eursfb;Ma15;;Carretera de Manacor;espib.ma015
eursfb;E20;;Circunvalación de Ibiza;espib.e020
eursfb;M45;;Circunvalación de Madrid;espmd.m045
eursfb;BI636;;Corredor del Cadagua, Bilbao;esppv.bi636
eursfb;CV31;;Distribuidor comarcal norte, Valencia;espvc.cv031
eursfb;CV33;;Distribuidor comarcal sur, Valencia;espvc.cv033
eursfb;M503;;Eje Madrid Noroeste;espmd.m503
eursfb;GI20;;Primer Cinturón de San Sebastián;esppv.gi020
eursfb;CV30;;Ronda Norte de Valencia;espvc.cv030
eursfb;GI11;;Variante de San Sebastián;esppv.gi011
