System;Region;Route;Banner;Abbrev;City;Root;AltRouteNames
eursfc;DEU-NW;L232;SF;;Autobahnzubringer Aachen-Laurensberg;deunw.l232sf;
eursfc;DEU-BE;AutZub;;Sch;Autobahnzubringer Berlin-Schmargendorf;deube.autzubsch;
eursfc;DEU-HB;AutZub;;Hem;Autobahnzubringer Bremen-Hemelingen;deuhb.autzubhem;
eursfc;DEU-HE;K854;;;Autobahnzubringer Erlensee;deuhe.k854;
eursfc;DEU-NW;K4;;;Autobahnzubringer Köln-Ehrenfeld;deunw.k004;
eursfc;DEU-NW;L705;SF;;Bochumer Ring;deunw.l705sf;
eursfc;DEU-NW;ChoZub;;;Chorweiler Zubringer Köln;deunw.chozub;
eursfc;DEU-NW;L84;SF;;Flughafenzubringer Köln-Bonn Kennedystraße;deunw.l084sf;
eursfc;DEU-BY;N4;;;Frankenschnellweg Nürnberg;deuby.n004;
eursfc;DEU-TH;K35;;;Hannoversche Straße Erfurt;deuth.k035;
eursfc;DEU-NW;IndStr;;Kol;Industriestraße Köln;deunw.indstrkol;
eursfc;DEU-NI;IndStrMit;;;Industriestraße Mitte Salzgitter;deuni.indstrmit;
eursfc;DEU-NI;IndStrNord;;;Industriestraße Nord Salzgitter;deuni.indstrnord;
eursfc;DEU-NW;L150;SF;;Kerkrader Straße Köln;deunw.l150sf;
eursfc;DEU-NW;MalStr;;Dor;Mallinckrodtstraße Dortmund;deunw.malstrdor;
eursfc;DEU-NW;K8;;;Mercatorstraße Köln;deunw.k008;
eursfc;DEU-NW;MunStr;;Dus;Münchener Straße Düsseldorf;deunw.munstrdus;
eursfc;DEU-NI;NordTan;;Old;Nordtangente Oldenburg;deuni.nordtanold;
eursfc;DEU-NW;L124;SF;;Östliche Zubringerstraße Köln;deunw.l124sf;
eursfc;DEU-NW;L260;SF;;Pariser Ring/Toledo Ring Aachen;deunw.l260sf;
eursfc;DEU-NW;RheBru;;Dus;Rheinallee/Rheinkniebrücke Düsseldorf;deunw.rhebrudus;
eursfc;DEU-NW;QueSpaUnna;;;Querspange Unna;deunw.quespaunna;
eursfc;DEU-BW;L1187;SF;;Rotenwaldstraße Stuttgart-Botnang;deubw.l1187sf;
eursfc;DEU-RP;L419;SF;;Saarstraße Mainz;deurp.l419sf;
eursfc;DEU-BW;L605;SF;;Schnellstraße Karlsruhe - Ettlingen;deubw.l0605sf;
eursfc;DEU-BY;SudTan;;Fur;Südwesttangente Fürth - Nürnberg;deuby.sudtanfur;
eursfc;DEU-BW;SudTan;;Kar;Südtangente Karlsruhe;deubw.sudtankar;
eursfc;DEU-NW;K3;;;Universitätsstraße Bochum;deunw.k003;
eursfc;DEU-BW;L1180;SF;;Wildparkstraße Stuttgart-Botnang;deubw.l1180sf;
eursfc;DEU-BY;FU6;;;Zirndorfer Straße, Zirndorf;deuby.fu6;
