systemName;region;route;banner;abbrev;city;root;altRouteNames
eurtrr;CHE;GTS;;Kus;Grand Tour of Switzerland (Küssnacht);che.gtskus;
eurtrr;CHE;GTS;;Zur;Grand Tour of Switzerland (Zürich);che.gtszur;
eurtrr;LIE;GTS;;;Grand Tour of Switzerland;lie.gts;
eurtrr;CHE;GTS;;;Grand Tour of Switzerland (Main);che.gts;
eurtrr;CHE;GTS;;Zer;Grand Tour of Switzerland (Zermatt);che.gtszer;
eurtrr;NOR;AndTv;;;Andøya Nasjonal Turistvei;nor.andtv;
eurtrr;NOR;AtlTv;;;Atlanterhavsvegen Nasjonal Turistvei;nor.atltv;
eurtrr;NOR;AurTv;;;Aurlandsfjellet Nasjonal Turistvei;nor.aurtv;
eurtrr;NOR;GSTv;;;Gamle Strynefjellsveien Nasjonal Turistvei;nor.gstv;
eurtrr;NOR;GauTv;;;Gaularfjellet Nasjonal Turistvei;nor.gautv;
eurtrr;NOR;GTTv;;;Geiranger-Trollstigen Nasjonal Turistvei (Geiranger);nor.gttv;
eurtrr;NOR;GTTv;;Tro;Geiranger-Trollstigen Nasjonal Turistvei (Trollstigen);nor.gttvtro;
eurtrr;NOR;HarTv;;;Hardanger Nasjonal Turistvei (Norheimsund);nor.hartv;
eurtrr;NOR;HarTv;;Jon;Hardanger Nasjonal Turistvei (Jondal);nor.hartvjon;
eurtrr;NOR;HarTv;;Odd;Hardanger Nasjonal Turistvei (Odda);nor.hartvodd;
eurtrr;NOR;HarvTv;;;Hardangervidda Nasjonal Turistvei;nor.harvtv;
eurtrr;NOR;HavTv;;;Havøysund Nasjonal Turistvei;nor.havtv;
eurtrr;NOR;HelTv;;Hol;Helgelandskysten Nasjonal Turistvei (Holm);nor.heltvhol;
eurtrr;NOR;HelTv;;Ber;Helgelandskysten Nasjonal Turistvei (Berg);nor.heltvber;
eurtrr;NOR;HelTv;;Vev;Helgelandskysten Nasjonal Turistvei (Vevelstad);nor.heltvvev;
eurtrr;NOR;HelTv;;Lei;Helgelandskysten Nasjonal Turistvei (Leira);nor.heltvlei;
