systemName;route;banner;groupName;roots
finkt;Kt40;;;fin.kt040
finkt;Kt41;;;fin.kt041
finkt;Kt43;;;fin.kt043
finkt;Kt44;;;fin.kt044
finkt;Kt45;;;fin.kt045
finkt;Kt46;;;fin.kt046
finkt;Kt50;;;fin.kt050
finkt;Kt51;;;fin.kt051
finkt;Kt52;;;fin.kt052
finkt;Kt53;;;fin.kt053
finkt;Kt54;;;fin.kt054
finkt;Kt55;;;fin.kt055
finkt;Kt56;;;fin.kt056
finkt;Kt57;;;fin.kt057
finkt;Kt58;;;fin.kt058
finkt;Kt62;;;fin.kt062
finkt;Kt63;;;fin.kt063
finkt;Kt65;;;fin.kt065
finkt;Kt66;;;fin.kt066
finkt;Kt67;;;fin.kt067
finkt;Kt68;;;fin.kt068
finkt;Kt69;;;fin.kt069
finkt;Kt71;;;fin.kt071
finkt;Kt72;;;fin.kt072
finkt;Kt73;;;fin.kt073
finkt;Kt74;;;fin.kt074
finkt;Kt75;;;fin.kt075
finkt;Kt76;;;fin.kt076
finkt;Kt77;;;fin.kt077
finkt;Kt78;;;fin.kt078
finkt;Kt79;;;fin.kt079
finkt;Kt80;;;fin.kt080
finkt;Kt81;;;fin.kt081
finkt;Kt82;;;fin.kt082
finkt;Kt83;;;fin.kt083
finkt;Kt86;;;fin.kt086
finkt;Kt87;;;fin.kt087
finkt;Kt88;;;fin.kt088
finkt;Kt89;;;fin.kt089
finkt;Kt91;;;fin.kt091
finkt;Kt92;;;fin.kt092
finkt;Kt93;;;fin.kt093
finkt;Kt98;;;fin.kt098
