systemName;region;route;banner;abbrev;city;root;altRouteNames
finmt;FIN;ImaMoo;;;Imatran moottoritie;fin.imamoo;
finmt;FIN;JoeMoo;;;Joensuun moottoritie;fin.joemoo;
finmt;FIN;JyvPMoo;;;Jyväskylän pohjoinen moottoritiet;fin.jyvpmoo;
finmt;FIN;JyvEMoo;;;Jyväskylän etelään moottoritiet;fin.jyvemoo;
finmt;FIN;KuoMoo;;;Kuopion Moottoritie;fin.kuomoo;
finmt;FIN;LahKeha;;;Lahden eteläinen kehätie;fin.lahkeha;
finmt;FIN;LanVay;;;Länsiväylä;fin.lanvay;
finmt;FIN;MooHelLusi;;;Moottoritie Helsinki-Lusi;fin.moohellusi;
finmt;FIN;MooHelTam;;;Moottoritie Helsinki-Tampere;fin.mooheltam;
finmt;FIN;MooHelVaa;;;Moottoritie Helsinki-Vaalimaa;fin.moohelvaa;
finmt;FIN;MooTamNok;;;Moottoritie Tampere-Nokia;fin.mootamnok;
finmt;FIN;MooTurHel;;;Moottoritie Turku-Helsinki;fin.mooturhel;
finmt;FIN;MooTurLie;;;Moottoritie Turku-Lieto;fin.mooturlie;
finmt;FIN;MooTurNou;;;Moottoritie Turku-Nousiainen;fin.mooturnou;
finmt;FIN;OulMoo;;;Ouluun moottoritie;fin.oulmoo;
finmt;FIN;PerTie;;;Perämerentie;fin.pertie;
finmt;FIN;TamKeha;;;Tampereen kehätie;fin.tamkeha;
finmt;FIN;TuuVay;;;Tuusulanväylä;fin.tuuvay;
finmt;FIN;VaajMoo;;;Vaajakosken moottoritie;fin.vaajmoo;
finmt;FIN;VaasMoo;;;Vaasan moottoritie;fin.vaasmoo;
