systemName;route;banner;groupName;roots
finst;St100;;;fin.st100
finst;St101;;;fin.st101
finst;St102;;;fin.st102
finst;St103;;;fin.st103
finst;St104;;;fin.st104
finst;St110;;;fin.st110
finst;St111;;;fin.st111
finst;St112;;;fin.st112
finst;St114;;;fin.st114
finst;St115;;;fin.st115
finst;St116;;;fin.st116
finst;St120;;;fin.st120
finst;St125;;;fin.st125
finst;St126;;;fin.st126
finst;St127;;;fin.st127
finst;St130;;;fin.st130
finst;St132;;;fin.st132
finst;St133;;;fin.st133
finst;St134;;;fin.st134
finst;St135;;;fin.st135
finst;St138;;;fin.st138
finst;St139;;;fin.st139
finst;St140;;;fin.st140
finst;St143;;;fin.st143
finst;St145;;;fin.st145
finst;St146;;;fin.st146
finst;St148;;;fin.st148
finst;St151;;;fin.st151
finst;St152;;;fin.st152
finst;St160;;;fin.st160
finst;St162;;;fin.st162
finst;St164;;;fin.st164
finst;St167;;;fin.st167
finst;St170;;;fin.st170
finst;St172;;;fin.st172
finst;St174;;;fin.st174
finst;St176;;;fin.st176
finst;St178;;;fin.st178
finst;St180;;;fin.st180
finst;St181;;;fin.st181
finst;St183;;;fin.st183
finst;St185;;;fin.st185
finst;St186;;;fin.st186
finst;St189;;;fin.st189
finst;St190;;;fin.st190
finst;St192;;;fin.st192
finst;St194;;;fin.st194
finst;St196;;;fin.st196
finst;St203;;;fin.st203
finst;St204;;;fin.st204
finst;St209;;;fin.st209
finst;St210;;;fin.st210
finst;St212;;;fin.st212
finst;St213;;;fin.st213
finst;St222;;;fin.st222
finst;St224;;;fin.st224
finst;St230;;;fin.st230
finst;St231;;;fin.st231
finst;St232;;;fin.st232
finst;St249;;;fin.st249
finst;St252;;;fin.st252
finst;St257;;;fin.st257
finst;St259;;;fin.st259
finst;St261;;;fin.st261
finst;St269;;;fin.st269
finst;St270;;;fin.st270
finst;St272;;;fin.st272
finst;St273;;;fin.st273
finst;St274;;;fin.st274
finst;St276;;;fin.st276
finst;St280;;;fin.st280
finst;St282;;;fin.st282
finst;St283;;;fin.st283
finst;St284;;;fin.st284
finst;St290;;;fin.st290
finst;St292;;;fin.st292
finst;St295;;;fin.st295
finst;St296;;;fin.st296
