systemName;region;route;banner;abbrev;city;root;altRouteNames
finvt;FIN;Vt1;;;;fin.vt001;
finvt;FIN;Vt2;;;;fin.vt002;
finvt;FIN;Vt3;;;;fin.vt003;
finvt;FIN;Vt4;;;;fin.vt004;
finvt;FIN;Vt5;;;;fin.vt005;
finvt;FIN;Vt6;;;;fin.vt006;
finvt;FIN;Vt7;;;;fin.vt007;
finvt;FIN;Vt8;;;;fin.vt008;
finvt;FIN;Vt9;;;;fin.vt009;
finvt;FIN;Vt10;;;;fin.vt010;
finvt;FIN;Vt11;;;;fin.vt011;
finvt;FIN;Vt12;;;;fin.vt012;
finvt;FIN;Vt13;;;;fin.vt013;
finvt;FIN;Vt14;;;;fin.vt014;
finvt;FIN;Vt15;;;;fin.vt015;
finvt;FIN;Vt16;;;;fin.vt016;
finvt;FIN;Vt18;;;;fin.vt018;
finvt;FIN;Vt19;;;;fin.vt019;
finvt;FIN;Vt20;;;;fin.vt020;
finvt;FIN;Vt21;;;;fin.vt021;
finvt;FIN;Vt22;;;;fin.vt022;
finvt;FIN;Vt23;;;;fin.vt023;
finvt;FIN;Vt24;;;;fin.vt024;
finvt;FIN;Vt25;;;;fin.vt025;
finvt;FIN;Vt26;;;;fin.vt026;
finvt;FIN;Vt27;;;;fin.vt027;
finvt;FIN;Vt28;;;;fin.vt028;
finvt;FIN;Vt29;;;;fin.vt029;
