systemName;route;banner;groupName;roots
fraa;A1;;Autoroute du Nord;fra.a001
fraa;A2;;;fra.a002
fraa;A3;;;fra.a003
fraa;A4;;Autoroute de l’Est;fra.a004
fraa;A5;;;fra.a005
fraa;A5a;;;fra.a005a
fraa;A5b;;;fra.a005b
fraa;A6;;Autoroute du Soleil;fra.a006
fraa;A6a;;Autoroute du Soleil;fra.a006a
fraa;A6b;;Autoroute du Soleil;fra.a006b
fraa;A7;;Autoroute du Soleil;fra.a007
fraa;A8;;La Provençale;fra.a008
fraa;A9;;La Languedocienne/La Catalane;fra.a009
fraa;A10;;L'Aquitaine;fra.a010
fraa;A11;;L’Océane;fra.a011
fraa;A12;;;fra.a012
fraa;A13;;Autoroute de Normandie;fra.a013
fraa;A14;;;fra.a014
fraa;A15;;;fra.a015
fraa;A16;;L'Européenne;fra.a016
fraa;A19;;Éco-autoroute;fra.a019
fraa;A20;;L'Occitane;fra.a020
fraa;A21;;Rocade Minière;fra.a021
fraa;A22;;Villenueve-d'Ascq;fra.a022vil
fraa;A22;;Tourcoing;fra.a022
fraa;A23;;;fra.a023
fraa;A25;;Autoroute de la Mer;fra.a025
fraa;A26;;Autoroute des Anglais;fra.a026
fraa;A27;;;fra.a027
fraa;A28;;Abbeville;fra.a028abb
fraa;A28;;Le Mans;fra.a028
fraa;A29;;;fra.a029
fraa;A30;;Autoroute de la Vallée de la Fensch;fra.a030
fraa;A31;;Autoroute de Lorraine-Bourgogne;fra.a031
fraa;A33;;;fra.a033
fraa;A34;;Y Ardennais Sedan;fra.a034sed
fraa;A34;;Y Ardennais Rethel;fra.a034
fraa;A34;;Y Ardennais Reims;fra.a034rei
fraa;A34;;Y Ardennais Cormontreuil;fra.a034cor
fraa;A35;;Autoroute des Cigognes Strasburg;fra.a035
fraa;A35;;Autoroute des Cigognes Colmar;fra.a035col
fraa;A36;;La Comtoise;fra.a036
fraa;A38;;La Bourguignonne;fra.a038
fraa;A39;;Autoroute Verte;fra.a039
fraa;A40;;Autoroute des Titans/Autoroute Blanche;fra.a040
fraa;A41;;L'Alpine Annecy;fra.a041
fraa;A41;;L'Alpine Grenoble;fra.a041gre
fraa;A42;;Autoroute de la Vallée du Rhône;fra.a042
fraa;A43;;Autoroute de la Maurienne Lyon;fra.a043lyo
fraa;A43;;Autoroute de la Maurienne Saint-Jean-de-Maurienne;fra.a043
fraa;A46;;La Lyonnaise Rillieux-la-Pape;fra.a046
fraa;A46;;La Lyonnaise St-Priest;fra.a046stp
fraa;A47;;;fra.a047
fraa;A48;;Autoroute du Dauphiné;fra.a048
fraa;A49;;;fra.a049
fraa;A50;;Autoroute Est de Marseille;fra.a050
fraa;A51;;Autoroute du Val de Durance Bouc-Bel-Air;fra.a051bou
fraa;A51;;Autoroute du Val de Durance Manosque;fra.a051
fraa;A51;;Autoroute du Trièves;fra.a051gre
fraa;A52;;;fra.a052
fraa;A54;;La Camarguaise Nimes;fra.a054
fraa;A54;;La Camarguaise Salon-de-Provence;fra.a054sal
fraa;A55;;Autoroute du Littoral;fra.a055
fraa;A57;;La Toulonnaise;fra.a057
fraa;A61;;Autoroute des Deux Mers;fra.a061
fraa;A62;;Autoroute des Deux Mers;fra.a062
fraa;A63;;Autoroute de la Côte Basque;fra.a063
fraa;A64;;La Pyrénéenne Bayonne;fra.a064bay
fraa;A64;;La Pyrénéenne Pau;fra.a064
fraa;A65;;Autoroute de Gascogne;fra.a065
fraa;A66;;L'Ariégeoise;fra.a066
fraa;A68;;Autoroute du Pastel;fra.a068
fraa;A71;;L'Arverne;fra.a071
fraa;A72;;;fra.a072
fraa;A75;;La Méridienne;fra.a075
fraa;A77;;Autoroute de l'Arbre;fra.a077
fraa;A81;;L'Armoricaine;fra.a081
fraa;A82;;La Bretonne;fra.a082
fraa;A83;;;fra.a083
fraa;A84;;Autoroute des Estuaires Fougères;fra.a084fou
fraa;A84;;Autoroute des Estuaires Caen;fra.a084
fraa;A85;;;fra.a085
fraa;A86;;Périphérique d'Île-de-France;fra.a086
fraa;A87;;;fra.a087
fraa;A88;;;fra.a088
fraa;A89;;La Transeuropéenne;fra.a089
fraa;A104;;La Francilienne;fra.a104
fraa;A106;;Antenne d'Orly;fra.a106
fraa;A115;;;fra.a115
fraa;A131;;Bourneville;fra.a131
fraa;A131;;Harfleur;fra.a131har
fraa;A132;;Antenne de Deauville;fra.a132
fraa;A139;;;fra.a139
fraa;A140;;Antenne de Meaux;fra.a140
fraa;A150;;;fra.a150
fraa;A151;;;fra.a151
fraa;A154;;Antenne de Louviers;fra.a154
fraa;A186;;Antenne de Montreuil;fra.a186
fraa;A211;;;fra.a211
fraa;A311;;Antenne de Dijon-Sud;fra.a311
fraa;A313;;Antenne de Pont-à-Mousson;fra.a313
fraa;A314;;;fra.a314
fraa;A315;;La Messine;fra.a315
fraa;A320;;;fra.a320
fraa;A330;;;fra.a330
fraa;A340;;Antenne d'Haguenau;fra.a340
fraa;A344;;Traversée Urbaine de Reims;fra.a344
fraa;A351;;Antenne de Hautepierre;fra.a351
fraa;A352;;Antenne de Molsheim;fra.a352
fraa;A391;;Antenne de Poligny;fra.a391
fraa;A404;;;fra.a404
fraa;A406;;Contournement Sud de Mâcon;fra.a406
fraa;A410;;;fra.a410
fraa;A411;;;fra.a411
fraa;A430;;;fra.a430
fraa;A432;;;fra.a432
fraa;A450;;;fra.a450
fraa;A466;;Liaison A46 - A6;fra.a466
fraa;A480;;Autoroute du Drac;fra.a480
fraa;A500;;Antenne de Monaco;fra.a500
fraa;A501;;Bretelle de Sollans;fra.a501
fraa;A502;;;fra.a502
fraa;A507;;Rocade périphérique de Marseille;fra.a507
fraa;A515;;Antenne de Gardanne;fra.a515
fraa;A520;;Bretelle d'Auriol;fra.a520
fraa;A557;;;fra.a557
fraa;A570;;Antenne d'Hyères;fra.a570
fraa;A620;;;fra.a620
fraa;A621;;Fil d'Ariane;fra.a621
fraa;A624;;;fra.a624
fraa;A630;;Rocade de Bordeaux;fra.a630
fraa;A641;;Antenne de Peyrehorade;fra.a641
fraa;A645;;Antenne du Val d'Aran;fra.a645
fraa;A660;;;fra.a660
fraa;A680;;Antenne de Verfeil;fra.a680
fraa;A709;;;fra.a709
fraa;A710;;;fra.a710
fraa;A711;;;fra.a711
fraa;A712;;;fra.a712
fraa;A714;;Antenne de Montluçon;fra.a714
fraa;A719;;Antenne de Gannat;fra.a719
fraa;A750;;L'Héraultaise;fra.a750
fraa;A811;;Pénétrante Est de Nantes;fra.a811
fraa;A813;;Contournement Sud-Est de Caen;fra.a813
fraa;A837;;Autoroute des Oiseaux;fra.a837
fraa;A844;;Contournement Nord de Nantes;fra.a844
