systemName;route;banner;groupName;roots
fraar;A1;;;fraidf.a001,frahdf.a001pla,fraidf.a001lcs,frahdf.a001
fraar;A2;;;frahdf.a002
fraar;A3;;;fraidf.a003
fraar;A4;;;fraidf.a004,frahdf.a004mon,fraidf.a004dhu,frahdf.a004,frages.a004pas,frahdf.a004vaa,frages.a004
fraar;A5;;;fraidf.a005,frabfc.a005,frages.a005
fraar;A5a;;;fraidf.a005a
fraar;A5b;;;fraidf.a005b
fraar;A6;;;fraidf.a006,fracvl.a006,frabfc.a006,fraara.a006
fraar;A6a;;;fraidf.a006a
fraar;A6b;;;fraidf.a006b
fraar;A7;;;fraara.a007,frapac.a007
fraar;A8;;;frapac.a008
fraar;A9;;;fraocc.a009,frapac.a009
fraar;A10;;;fraidf.a010,fracvl.a010,franaq.a010
fraar;A11;;;fraidf.a011,fracvl.a011,frapdl.a011
fraar;A12;;;fraidf.a012
fraar;A13;;;fraidf.a013,franor.a013
fraar;A14;;;fraidf.a014
fraar;A15;;;fraidf.a015
fraar;A16;;;fraidf.a016,frahdf.a016
fraar;A19;;;fracvl.a019,frabfc.a019
fraar;A20;;;fracvl.a020,franaq.a020,fraocc.a020
fraar;A21;;;frahdf.a021
fraar;A22;;Villenueve-d'Ascq;frahdf.a022vil
fraar;A22;;Tourcoing;frahdf.a022
fraar;A23;;;frahdf.a023
fraar;A25;;;frahdf.a025
fraar;A26;;;frahdf.a026,frages.a026
fraar;A27;;;frahdf.a027
fraar;A28;;Abbeville;frahdf.a028,franor.a028neu
fraar;A28;;Le Mans;franor.a028,frapdl.a028,fracvl.a028
fraar;A29;;;franor.a029,frahdf.a029
fraar;A30;;;frages.a030
fraar;A31;;;frabfc.a031,frages.a031
fraar;A33;;;frages.a033
fraar;A34;;Sedan;frages.a034
fraar;A34;;Reims;frages.a034rei
fraar;A34;;Cormontreuil;frages.a034cor
fraar;A35;;Strasburg;frages.a035
fraar;A35;;Colmar;frages.a035col
fraar;A36;;;frabfc.a036,frages.a036
fraar;A38;;;frabfc.a038
fraar;A39;;;frabfc.a039,fraara.a039
fraar;A40;;;frabfc.a040,fraara.a040
fraar;A41;;Annecy;fraara.a041
fraar;A41;;Grenoble;fraara.a041gre
fraar;A42;;;fraara.a042
fraar;A43;;Lyon;fraara.a043lyo
fraar;A43;;Saint-Jean-de-Maurienne;fraara.a043
fraar;A46;;Rillieux-la-Pape;fraara.a046
fraar;A46;;St-Priest;fraara.a046stp
fraar;A47;;;fraara.a047
fraar;A48;;;fraara.a048
fraar;A49;;;fraara.a049
fraar;A50;;;frapac.a050
fraar;A51;;Bouc-Bel-Air;frapac.a051bou
fraar;A51;;Manosque;frapac.a051
fraar;A51;;Grenoble;fraara.a051
fraar;A52;;;frapac.a052
fraar;A54;;Nimes;fraocc.a054,frapac.a504arl
fraar;A54;;Salon-de-Provence;frapac.a054
fraar;A55;;;frapac.a055
fraar;A57;;;frapac.a057
fraar;A61;;;fraocc.a061
fraar;A62;;;franaq.a062,fraocc.a062
fraar;A63;;;franaq.a063
fraar;A64;;;franaq.a064,fraocc.a064luq,franaq.a064ger,fraocc.a064
fraar;A65;;;franaq.a065
fraar;A66;;;fraocc.a066
fraar;A68;;;fraocc.a068
fraar;A71;;;fracvl.a071,fraara.a071
fraar;A72;;;fraara.a072
fraar;A75;;;fraara.a075,fraocc.a075
