system;region;route;banner;abbreviation;city;fileNameRoot;altRouteNames
fraarad03;FRA-ARA;D1;-03;;;fraara.d000103;
fraarad03;FRA-ARA;D3;-03;;;fraara.d000303;
fraarad03;FRA-ARA;D4;-03;Mar;Marcillat-en-Combraille;fraara.d000403mar;
fraarad03;FRA-ARA;D4;-03;;Montmarault;fraara.d000403;
fraarad03;FRA-ARA;D6;-03;;;fraara.d000603;
fraarad03;FRA-ARA;D6E;-03;;;fraara.d0006e03;
fraarad03;FRA-ARA;D7;-03;;;fraara.d000703;
fraarad03;FRA-ARA;D11;-03;;;fraara.d001103;
fraarad03;FRA-ARA;D12;-03;;;fraara.d001203;
fraarad03;FRA-ARA;D13;-03;;;fraara.d001303;
fraarad03;FRA-ARA;D14;-03;;;fraara.d001403;
fraarad03;FRA-ARA;D15;-03;;;fraara.d001503;
fraarad03;FRA-ARA;D16;-03;;;fraara.d001603;
fraarad03;FRA-ARA;D17;-03;;;fraara.d001703;
fraarad03;FRA-ARA;D18;-03;;;fraara.d001803;
fraarad03;FRA-ARA;D21;-03;;;fraara.d002103;
fraarad03;FRA-ARA;D22;-03;;;fraara.d002203;
fraarad03;FRA-ARA;D23;-03;;;fraara.d002303;
fraarad03;FRA-ARA;D25;-03;;;fraara.d002503;
fraarad03;FRA-ARA;D26;-03;;;fraara.d002603;
fraarad03;FRA-ARA;D27;-03;;;fraara.d002703;
fraarad03;FRA-CVL;D28;-03;Mou;Le Moulin de la Rivière;fracvl.d002803mou;
fraarad03;FRA-ARA;D28;-03;Gra;Grandvaux;fraara.d002803gra;
fraarad03;FRA-CVL;D28;-03;;Petoulle;fracvl.d002803;
fraarad03;FRA-ARA;D28;-03;;(Main);fraara.d002803;
fraarad03;FRA-ARA;D29;-03;;;fraara.d002903;
fraarad03;FRA-ARA;D29D;-03;;;fraara.d0029d03;
fraarad03;FRA-ARA;D30;-03;;;fraara.d003003;
fraarad03;FRA-ARA;D31;-03;;;fraara.d003103;
fraarad03;FRA-ARA;D32;-03;;;fraara.d003203;
fraarad03;FRA-ARA;D33;-03;;;fraara.d003303;
fraarad03;FRA-ARA;D34;-03;;;fraara.d003403;
fraarad03;FRA-ARA;D35;-03;;;fraara.d003503;
fraarad03;FRA-ARA;D36;-03;;;fraara.d003603;
fraarad03;FRA-ARA;D37;-03;;Commentry;fraara.d003703;
fraarad03;FRA-ARA;D37;-03;Bon;Saint-Bonnet-de-Rochefort;fraara.d003703bon;
fraarad03;FRA-ARA;D37A;-03;;;fraara.d0037a03;
fraarad03;FRA-ARA;D38;-03;;;fraara.d003803;
fraarad03;FRA-ARA;D39;-03;;;fraara.d003903;
fraarad03;FRA-ARA;D40;-03;;;fraara.d004003;
fraarad03;FRA-ARA;D42;-03;;;fraara.d004203;
fraarad03;FRA-ARA;D43;-03;;;fraara.d004303;
fraarad03;FRA-ARA;D46;-03;;;fraara.d004603;
fraarad03;FRA-ARA;D48;-03;;;fraara.d004803;
fraarad03;FRA-ARA;D49;-03;;;fraara.d004903;
fraarad03;FRA-ARA;D50;-03;;;fraara.d005003;
fraarad03;FRA-ARA;D51;-03;;;fraara.d005103;
fraarad03;FRA-ARA;D52;-03;;;fraara.d005203;
fraarad03;FRA-ARA;D53;-03;;;fraara.d005303;
fraarad03;FRA-ARA;D54;-03;;;fraara.d005403;
fraarad03;FRA-ARA;D55;-03;;;fraara.d005503;
fraarad03;FRA-ARA;D57;-03;;;fraara.d005703;
fraarad03;FRA-ARA;D58;-03;;;fraara.d005803;
fraarad03;FRA-ARA;D59;-03;;;fraara.d005903;
fraarad03;FRA-ARA;D60;-03;;;fraara.d006003;
fraarad03;FRA-ARA;D61;-03;;;fraara.d006103;
fraarad03;FRA-ARA;D62;-03;;;fraara.d006203;
fraarad03;FRA-ARA;D64;-03;;;fraara.d006403;
fraarad03;FRA-ARA;D65;-03;;;fraara.d006503;
fraarad03;FRA-ARA;D66;-03;;;fraara.d006603;
fraarad03;FRA-ARA;D67;-03;;;fraara.d006703;
fraarad03;FRA-ARA;D67A;-03;;;fraara.d0067a03;
fraarad03;FRA-ARA;D68;-03;;;fraara.d006803;
fraarad03;FRA-ARA;D69;-03;;;fraara.d006903;
fraarad03;FRA-ARA;D70;-03;;;fraara.d007003;
fraarad03;FRA-ARA;D71;-03;;;fraara.d007103;
fraarad03;FRA-ARA;D72;-03;;;fraara.d007203;
fraarad03;FRA-ARA;D73;-03;;;fraara.d007303;
fraarad03;FRA-ARA;D75;-03;;;fraara.d007503;
fraarad03;FRA-ARA;D76;-03;;;fraara.d007603;
fraarad03;FRA-ARA;D77;-03;;;fraara.d007703;
fraarad03;FRA-ARA;D94;-03;;;fraara.d009403;
fraarad03;FRA-ARA;D101;-03;;;fraara.d010103;
fraarad03;FRA-ARA;D101A;-03;;;fraara.d0101a03;
fraarad03;FRA-ARA;D102;-03;;;fraara.d010203;
fraarad03;FRA-ARA;D104;-03;;;fraara.d010403;
fraarad03;FRA-ARA;D105;-03;;;fraara.d010503;
fraarad03;FRA-ARA;D106;-03;;;fraara.d010603;
fraarad03;FRA-ARA;D107;-03;;;fraara.d010703;
fraarad03;FRA-ARA;D108;-03;;;fraara.d010803;
fraarad03;FRA-ARA;D109;-03;;;fraara.d010903;
fraarad03;FRA-ARA;D110;-03;;;fraara.d011003;
fraarad03;FRA-ARA;D111;-03;;;fraara.d011103;
fraarad03;FRA-ARA;D112;-03;;;fraara.d011203;
fraarad03;FRA-ARA;D113;-03;;;fraara.d011303;
fraarad03;FRA-ARA;D114;-03;;;fraara.d011403;
fraarad03;FRA-ARA;D115;-03;;;fraara.d011503;
fraarad03;FRA-ARA;D115B;-03;;;fraara.d0115b03;
fraarad03;FRA-ARA;D116;-03;;;fraara.d011603;
fraarad03;FRA-ARA;D117;-03;;;fraara.d011703;
fraarad03;FRA-ARA;D118;-03;;;fraara.d011803;
fraarad03;FRA-ARA;D119;-03;;;fraara.d011903;
fraarad03;FRA-ARA;D120;-03;;;fraara.d012003;
fraarad03;FRA-ARA;D121;-03;;;fraara.d012103;
fraarad03;FRA-ARA;D121E;-03;;;fraara.d0121e03;
fraarad03;FRA-ARA;D122;-03;;;fraara.d012203;
fraarad03;FRA-ARA;D123;-03;;;fraara.d012303;
fraarad03;FRA-ARA;D124;-03;;;fraara.d012403;
fraarad03;FRA-ARA;D125;-03;;;fraara.d012503;
fraarad03;FRA-ARA;D125E;-03;;;fraara.d0125e03;
fraarad03;FRA-ARA;D126;-03;;;fraara.d012603;
fraarad03;FRA-ARA;D127;-03;;;fraara.d012703;
fraarad03;FRA-ARA;D128;-03;;;fraara.d012803;
fraarad03;FRA-ARA;D129;-03;;;fraara.d012903;
fraarad03;FRA-ARA;D130;-03;Lou;Louchy-Montfand;fraara.d013003lou;
fraarad03;FRA-ARA;D130;-03;;Billy;fraara.d013003;
fraarad03;FRA-ARA;D131;-03;;;fraara.d013103;
fraarad03;FRA-ARA;D131E;-03;;;fraara.d0131e03;
fraarad03;FRA-ARA;D132;-03;;;fraara.d013203;
fraarad03;FRA-ARA;D133;-03;;;fraara.d013303;
fraarad03;FRA-ARA;D134;-03;;;fraara.d013403;
fraarad03;FRA-ARA;D135;-03;;;fraara.d013503;
fraarad03;FRA-ARA;D136;-03;;;fraara.d013603;
fraarad03;FRA-ARA;D137;-03;;;fraara.d013703;
fraarad03;FRA-ARA;D138;-03;;;fraara.d013803;
fraarad03;FRA-ARA;D139;-03;;;fraara.d013903;
fraarad03;FRA-ARA;D140;-03;;;fraara.d014003;
fraarad03;FRA-ARA;D141;-03;;;fraara.d014103;
fraarad03;FRA-ARA;D142;-03;;;fraara.d014203;
fraarad03;FRA-ARA;D142E;-03;;;fraara.d0142e03;
fraarad03;FRA-ARA;D144;-03;;;fraara.d014403;
fraarad03;FRA-ARA;D145;-03;;;fraara.d014503;
fraarad03;FRA-ARA;D146;-03;;;fraara.d014603;
fraarad03;FRA-ARA;D147;-03;;;fraara.d014703;
fraarad03;FRA-ARA;D148;-03;;;fraara.d014803;
fraarad03;FRA-ARA;D149;-03;;;fraara.d014903;
fraarad03;FRA-ARA;D150;-03;;;fraara.d015003;
fraarad03;FRA-ARA;D151;-03;;;fraara.d015103;
fraarad03;FRA-ARA;D152;-03;;;fraara.d015203;
fraarad03;FRA-ARA;D153;-03;;;fraara.d015303;
fraarad03;FRA-ARA;D154;-03;;;fraara.d015403;
fraarad03;FRA-ARA;D155;-03;;;fraara.d015503;
fraarad03;FRA-ARA;D156;-03;;Hyds;fraara.d015603;
fraarad03;FRA-ARA;D156;-03;Cel;La Celle;fraara.d015603cel;
fraarad03;FRA-ARA;D157;-03;;;fraara.d015703;
fraarad03;FRA-ARA;D158;-03;;;fraara.d015803;
fraarad03;FRA-ARA;D159;-03;;;fraara.d015903;
fraarad03;FRA-ARA;D160;-03;;;fraara.d016003;
fraarad03;FRA-ARA;D161;-03;;;fraara.d016103;
fraarad03;FRA-ARA;D162;-03;;;fraara.d016203;
fraarad03;FRA-ARA;D163;-03;;;fraara.d016303;
fraarad03;FRA-ARA;D164;-03;;;fraara.d016403;
fraarad03;FRA-ARA;D165;-03;;;fraara.d016503;
fraarad03;FRA-ARA;D166;-03;;;fraara.d016603;
fraarad03;FRA-ARA;D167;-03;;;fraara.d016703;
fraarad03;FRA-ARA;D168;-03;;;fraara.d016803;
fraarad03;FRA-ARA;D169;-03;;;fraara.d016903;
fraarad03;FRA-ARA;D171;-03;;;fraara.d017103;
fraarad03;FRA-ARA;D172;-03;;;fraara.d017203;
fraarad03;FRA-ARA;D173;-03;;;fraara.d017303;
fraarad03;FRA-ARA;D174;-03;;;fraara.d017403;
fraarad03;FRA-ARA;D175;-03;;;fraara.d017503;
fraarad03;FRA-ARA;D176;-03;;;fraara.d017603;
fraarad03;FRA-ARA;D177;-03;;;fraara.d017703;
fraarad03;FRA-ARA;D178;-03;;;fraara.d017803;
fraarad03;FRA-ARA;D179;-03;;;fraara.d017903;
fraarad03;FRA-ARA;D180;-03;;;fraara.d018003;
fraarad03;FRA-ARA;D181;-03;;;fraara.d018103;
fraarad03;FRA-ARA;D182;-03;;;fraara.d018203;
fraarad03;FRA-ARA;D183;-03;;;fraara.d018303;
fraarad03;FRA-ARA;D183E;-03;;;fraara.d0183e03;
fraarad03;FRA-ARA;D184;-03;;;fraara.d018403;
fraarad03;FRA-ARA;D185;-03;;;fraara.d018503;
fraarad03;FRA-ARA;D186;-03;;;fraara.d018603;
fraarad03;FRA-ARA;D188;-03;;;fraara.d018803;
fraarad03;FRA-ARA;D189;-03;;;fraara.d018903;
fraarad03;FRA-ARA;D190;-03;;;fraara.d019003;
fraarad03;FRA-ARA;D192;-03;;;fraara.d019203;
fraarad03;FRA-ARA;D194;-03;;;fraara.d019403;
fraarad03;FRA-ARA;D200;-03;;;fraara.d020003;
fraarad03;FRA-ARA;D201;-03;;;fraara.d020103;
fraarad03;FRA-ARA;D204;-03;;;fraara.d020403;
fraarad03;FRA-ARA;D205;-03;;;fraara.d020503;
fraarad03;FRA-ARA;D207;-03;;;fraara.d020703;
fraarad03;FRA-ARA;D208;-03;;;fraara.d020803;
fraarad03;FRA-ARA;D209;-03;;;fraara.d020903;
fraarad03;FRA-ARA;D210;-03;;;fraara.d021003;
fraarad03;FRA-ARA;D211;-03;;;fraara.d021103;
fraarad03;FRA-ARA;D212;-03;;;fraara.d021203;
fraarad03;FRA-ARA;D213;-03;;;fraara.d021303;
fraarad03;FRA-ARA;D214;-03;;;fraara.d021403;
fraarad03;FRA-ARA;D215;-03;;;fraara.d021503;
fraarad03;FRA-ARA;D216;-03;;;fraara.d021603;
fraarad03;FRA-ARA;D217;-03;;;fraara.d021703;
fraarad03;FRA-ARA;D218;-03;;;fraara.d021803;
fraarad03;FRA-ARA;D219;-03;;;fraara.d021903;
fraarad03;FRA-ARA;D220;-03;;;fraara.d022003;
fraarad03;FRA-ARA;D221;-03;;;fraara.d022103;
fraarad03;FRA-ARA;D222;-03;;;fraara.d022203;
fraarad03;FRA-ARA;D223;-03;;;fraara.d022303;
fraarad03;FRA-ARA;D224;-03;;;fraara.d022403;
fraarad03;FRA-ARA;D225;-03;;;fraara.d022503;
fraarad03;FRA-ARA;D226;-03;;;fraara.d022603;
fraarad03;FRA-ARA;D227;-03;;;fraara.d022703;
fraarad03;FRA-ARA;D228;-03;;;fraara.d022803;
fraarad03;FRA-ARA;D229;-03;;;fraara.d022903;
fraarad03;FRA-ARA;D230;-03;;;fraara.d023003;
fraarad03;FRA-ARA;D231;-03;;;fraara.d023103;
fraarad03;FRA-ARA;D232;-03;;;fraara.d023203;
fraarad03;FRA-ARA;D233;-03;;;fraara.d023303;
fraarad03;FRA-ARA;D234;-03;;;fraara.d023403;
fraarad03;FRA-ARA;D235;-03;;;fraara.d023503;
fraarad03;FRA-ARA;D236;-03;;;fraara.d023603;
fraarad03;FRA-ARA;D238;-03;;;fraara.d023803;
fraarad03;FRA-ARA;D239;-03;;;fraara.d023903;
fraarad03;FRA-ARA;D240;-03;;;fraara.d024003;
fraarad03;FRA-ARA;D241;-03;;;fraara.d024103;
fraarad03;FRA-ARA;D242;-03;;;fraara.d024203;
fraarad03;FRA-ARA;D243;-03;;;fraara.d024303;
fraarad03;FRA-ARA;D244;-03;;;fraara.d024403;
fraarad03;FRA-ARA;D245;-03;;;fraara.d024503;
fraarad03;FRA-ARA;D246;-03;;;fraara.d024603;
fraarad03;FRA-ARA;D247;-03;;;fraara.d024703;
fraarad03;FRA-ARA;D249;-03;;;fraara.d024903;
fraarad03;FRA-ARA;D250;-03;;;fraara.d025003;
fraarad03;FRA-ARA;D251;-03;;;fraara.d025103;
fraarad03;FRA-ARA;D252;-03;;;fraara.d025203;
fraarad03;FRA-ARA;D253;-03;;;fraara.d025303;
fraarad03;FRA-ARA;D256;-03;;;fraara.d025603;
