system;route;banner;name;roots
fraarad15;D2;-15;;fraara.d000215ple,franaq.d000215,fraara.d000215enc,franaq.d000215jus,fraara.d000215
fraarad15;D3;-15;;fraara.d000315
fraarad15;D4;-15;;fraara.d000415
fraarad15;D6;-15;Saint-Christophe-les-Gorges;fraara.d000615
fraarad15;D6;-15;Labrousse;fraara.d000615lab
fraarad15;D7;-15;;fraara.d000715
fraarad15;D8;-15;;fraara.d000815
fraarad15;D9;-15;;fraara.d000915
fraarad15;D10;-15;Saint-Poncy;fraara.d001015pon
fraarad15;D10;-15;Villedieu;fraara.d001015
fraarad15;D11;-15;;fraara.d001115
fraarad15;D12;-15;;fraara.d001215
fraarad15;D13;-15;;fraara.d001315
fraarad15;D14;-15;;fraara.d001415
fraarad15;D14B;-15;;fraara.d0014b15
fraarad15;D15;-15;;fraara.d001515
fraarad15;D16;-15;Saint-Bonnet-de-Condat;fraara.d001615bon
fraarad15;D16;-15;Valuéjols;fraara.d001615
fraarad15;D17;-15;;fraara.d001715
fraarad15;D18;-15;;fraara.d001815
fraarad15;D19;-15;;fraara.d001915
fraarad15;D20;-15;Saint-Mamet-la-Salvetat;fraara.d002015
fraarad15;D20;-15;Lapeyrugue;fraara.d002015lap,fraocc.d002015,fraara.d002015las
fraarad15;D21;-15;;fraara.d002115
fraarad15;D22;-15;;fraara.d002215
fraarad15;D23;-15;;fraara.d002315
fraarad15;D25;-15;;fraocc.d002515bag,fraara.d002515san,fraocc.d002515ver,fraara.d002515gen,fraocc.d002515,fraara.d002515mai,fraocc.d002515qui,fraara.d002515
fraarad15;D26;-15;;fraara.d002615
fraarad15;D27;-15;;fraara.d002715
fraarad15;D28;-15;;fraocc.d002815,fraara.d002815
fraarad15;D29;-15;;fraara.d002915
fraarad15;D30;-15;;fraara.d003015
fraarad15;D31;-15;;fraara.d003115
fraarad15;D32;-15;;fraara.d003215
fraarad15;D33;-15;;fraara.d003315
fraarad15;D34;-15;;fraara.d003415
fraarad15;D35;-15;;fraara.d003515
fraarad15;D36;-15;;fraara.d003615
fraarad15;D37;-15;;fraara.d003715
fraarad15;D38;-15;;fraara.d003815
fraarad15;D39;-15;;fraara.d003915
fraarad15;D40;-15;;fraara.d004015
fraarad15;D41;-15;;fraara.d004115
fraarad15;D42;-15;Cavarnac;fraara.d004215cav
fraarad15;D42;-15;Saint-Chamant;fraara.d004215
fraarad15;D43;-15;;fraara.d004315
fraarad15;D44;-15;;fraara.d004415
fraarad15;D45;-15;;fraara.d004515
fraarad15;D46;-15;;fraara.d004615
fraarad15;D47;-15;;fraara.d004715
fraarad15;D48;-15;Neuvéglise;fraara.d004815neu
fraarad15;D48;-15;Clavières;fraara.d004815
fraarad15;D49;-15;Champs-sur-Tarentaine-Marchal;fraara.d004915
fraarad15;D49;-15;Saint-Étienne-de-Chomeil;fraara.d004915eti
fraarad15;D49;-15;Apchon;fraara.d004915apc
fraarad15;D50;-15;;fraara.d005015
fraarad15;D51;-15;;fraara.d005115
fraarad15;D52;-15;;fraara.d005215
fraarad15;D53;-15;;fraara.d005315
fraarad15;D54;-15;Vic-sur-Cère;fraara.d005415
fraarad15;D54;-15;Malbo;fraara.d005415mal
fraarad15;D55;-15;;fraara.d005515
fraarad15;D56;-15;;fraara.d005615
fraarad15;D57;-15;Jou-sous-Monjou;fraara.d005715jou
fraarad15;D57;-15;Cussac;fraara.d005715
fraarad15;D58;-15;Saint-Mamet-la-Salvetat;fraara.d005815mam
fraarad15;D58;-15;Saint-Simon;fraara.d005815
fraarad15;D59;-15;Jussac;fraara.d005915
fraarad15;D59;-15;Thiézac;fraara.d005915thi
fraarad15;D59;-15;Cros-de-Ronesque;fraara.d005915cro
fraarad15;D74;-15;;fraara.d007415
fraarad15;D120;-15;;fraara.d012015
fraarad15;D292;-15;;fraara.d029215
fraarad15;D392;-15;;fraara.d039215
fraarad15;D600;-15;;fraara.d060015
fraarad15;D601;-15;;fraara.d060115
fraarad15;D602;-15;;fraara.d060215
fraarad15;D613;-15;;fraara.d061315
fraarad15;D617;-15;;fraara.d061715
fraarad15;D663;-15;;fraara.d066315
fraarad15;D678;-15;Mau;Mauriac;fraara.d067815mau
fraarad15;D678;-15;;Riom-ès-Montagnes;fraara.d067815
fraarad15;D679;-15;;fraara.d067915
fraarad15;D680;-15;;fraara.d068015
fraarad15;D681;-15;;fraara.d068115
fraarad15;D682;-15;;fraara.d068215
fraarad15;D683;-15;;fraara.d068315,franaq.d068315
fraarad15;D721;-15;;fraara.d072115
fraarad15;D782;-15;;fraara.d078215
fraarad15;D792;-15;;fraara.d079215
fraarad15;D890;-15;;fraara.d089015
fraarad15;D901;-15;;fraara.d090115
fraarad15;D909;-15;;fraara.d090915,fraocc.d090915,fraara.d090915est
fraarad15;D913;-15;;fraara.d091315
fraarad15;D920;-15;;fraara.d092015
fraarad15;D921;-15;;fraara.d092115
fraarad15;D922;-15;Lanobre;fraara.d092215lan
fraarad15;D922;-15;Saint-Martin-Valmeroux;fraara.d092215
fraarad15;D926;-15;;fraara.d092615
fraarad15;D961;-15;;fraara.d096115
fraarad15;D989;-15;;fraara.d098915
fraarad15;D990;-15;Pierrefort;fraara.d099015rau,fraocc.d099015mon,fraara.d099015lac,fraocc.d099015,fraara.d099015
fraarad15;D990;-15;Védrines-Saint-Loup;fraara.d099015ved
