system;region;route;banner;abbreviation;city;fileNameRoot;altRouteNames
fraarad69m;FRA-ARA;D1;-69M;;;fraara.d000169m;
fraarad69m;FRA-ARA;D1E1;-69M;;;fraara.d0001e169m;
fraarad69m;FRA-ARA;D7;-69M;;;fraara.d000769m;
fraarad69m;FRA-ARA;D15;-69M;;;fraara.d001569m;
fraarad69m;FRA-ARA;D16;-69M;Lis;Lissieu;fraara.d001669mlis;
fraarad69m;FRA-ARA;D16;-69M;;Neuville-sur-Saône ;fraara.d001669m;
fraarad69m;FRA-ARA;D21;-69M;;;fraara.d002169m;
fraarad69m;FRA-ARA;D30;-69M;;;fraara.d003069m;
fraarad69m;FRA-ARA;D42;-69M;;;fraara.d004269m;
fraarad69m;FRA-ARA;D47;-69M;;;fraara.d004769m;
fraarad69m;FRA-ARA;D48;-69M;;;fraara.d004869m;
fraarad69m;FRA-ARA;D48E;-69M;;;fraara.d0048e69m;
fraarad69m;FRA-ARA;D50;-69M;;;fraara.d005069m;
fraarad69m;FRA-ARA;D51;-69M;;;fraara.d005169m;
fraarad69m;FRA-ARA;D51E1;-69M;;;fraara.d0051e169m;
fraarad69m;FRA-ARA;D51E2;-69M;;;fraara.d0051e269m;
fraarad69m;FRA-ARA;D65;-69M;;;fraara.d006569m;
fraarad69m;FRA-ARA;D73;-69M;;;fraara.d007369m;
fraarad69m;FRA-ARA;D73E;-69M;;;fraara.d0073e69m;
fraarad69m;FRA-ARA;D75;-69M;;;fraara.d007569m;
fraarad69m;FRA-ARA;D75D;-69M;;;fraara.d0075d69m;
fraarad69m;FRA-ARA;D77;-69M;;;fraara.d007769m;
fraarad69m;FRA-ARA;D85;-69M;;;fraara.d008569m;
fraarad69m;FRA-ARA;D87;-69M;;;fraara.d008769m;
fraarad69m;FRA-ARA;D87E;-69M;;;fraara.d0087e69m;
fraarad69m;FRA-ARA;D89;-69M;;;fraara.d008969m;
fraarad69m;FRA-ARA;D92;-69M;;;fraara.d009269m;
fraarad69m;FRA-ARA;D123;-69M;;;fraara.d012369m;
fraarad69m;FRA-ARA;D123E;-69M;;;fraara.d0123e69m;
fraarad69m;FRA-ARA;D144;-69M;;;fraara.d014469m;
fraarad69m;FRA-ARA;D145;-69M;;;fraara.d014569m;
fraarad69m;FRA-ARA;D301;-69M;;;fraara.d030169m;
fraarad69m;FRA-ARA;D306;-69M;Lis;Lissieu;fraara.d030669mlis;
fraarad69m;FRA-ARA;D306;-69M;;Champagne-au-Mont-d'Or;fraara.d030669m;
fraarad69m;FRA-ARA;D307;-69M;;Charbonnières-les-Bains;fraara.d030769m;
fraarad69m;FRA-ARA;D307;-69M;Fey;Feyzin;fraara.d030769mfey;
fraarad69m;FRA-ARA;D311;-69M;;;fraara.d031169m;
fraarad69m;FRA-ARA;D342;-69M;Ecu;Écully;fraara.d034269mecu;
fraarad69m;FRA-ARA;D342;-69M;;Francheville;fraara.d034269m;
fraarad69m;FRA-ARA;D383;-69M;;;fraara.d038369m;
fraarad69m;FRA-ARA;D433;-69M;;;fraara.d043369m;
fraarad69m;FRA-ARA;D483;-69M;;;fraara.d048369m;
fraarad69m;FRA-ARA;D484;-69M;;;fraara.d048469m;
fraarad69m;FRA-ARA;D486;-69M;;;fraara.d048669m;
fraarad69m;FRA-ARA;D489;-69M;;;fraara.d048969m;
fraarad69m;FRA-ARA;D3007;-69M;;;fraara.d300769m;
fraarad69m;FRA-ARA;M6;-69;;;fraara.m000669;
fraarad69m;FRA-ARA;M7;-69;;;fraara.m000769;
