systemName;region;route;banner;abbrev;city;root;altRouteNames
fraarad74;FRA-ARA;D1;-74;;;fraara.d000174;
fraarad74;FRA-ARA;D2;-74;;;fraara.d000274;
fraarad74;FRA-ARA;D2A;-74;;;fraara.d0002a74;
fraarad74;FRA-ARA;D2B;-74;;;fraara.d0002b74;
fraarad74;FRA-ARA;D2D;-74;;;fraara.d0002d74;
fraarad74;FRA-ARA;D2E;-74;;;fraara.d0002e74;
fraarad74;FRA-ARA;D3;-74;Gro;Groisy;fraara.d000374gro;
fraarad74;FRA-ARA;D3;-74;;La Balme-de-Sillingy;fraara.d000374;
fraarad74;FRA-ARA;D3;-74;Alb;Alby-sur-Chéran;fraara.d000374alb;
fraarad74;FRA-ARA;D4;-74;;;fraara.d000474;
fraarad74;FRA-ARA;D4E;-74;;;fraara.d0004e74;
fraarad74;FRA-ARA;D5;-74;Cha;La Chapelle-Rambaud;fraara.d000574cha;
fraarad74;FRA-ARA;D5;-74;Tho;Thorens-Glières;fraara.d000574tho;
fraarad74;FRA-ARA;D5;-74;;Vieugy;fraara.d000574;
fraarad74;FRA-ARA;D5A;-74;;;fraara.d0005a74;
fraarad74;FRA-ARA;D6;-74;;Moussy;fraara.d000674;
fraarad74;FRA-ARA;D6;-74;Ays;Ayse;fraara.d000674ays;
fraarad74;FRA-ARA;D6;-74;Cha;Châtillon-sur-Cluses;fraara.d000674cha;
fraarad74;FRA-ARA;D6A;-74;;;fraara.d0006a74;
fraarad74;FRA-ARA;D7;-74;;;fraara.d000774;
fraarad74;FRA-ARA;D7A;-74;;;fraara.d0007a74;
fraarad74;FRA-ARA;D8;-74;;;fraara.d000874;
fraarad74;FRA-ARA;D9;-74;;;fraara.d000974;
fraarad74;FRA-ARA;D10;-74;;(Main);fraara.d001074;
fraarad74;FRA-ARA;D10;-74;Les;Leschaux;fraara.d001074les;
fraarad74;FRA-ARA;D10B;-74;;;fraara.d0010b74;
fraarad74;FRA-ARA;D11;-74;;;fraara.d001174;
fraarad74;FRA-ARA;D12;-74;Viu;Viuz-en-Sallaz;fraara.d001274viu;
fraarad74;FRA-ARA;D12;-74;;Thônes;fraara.d001274;
fraarad74;FRA-ARA;D13;-74;;;fraara.d001374;
fraarad74;FRA-ARA;D13A;-74;;;fraara.d0013a74;
fraarad74;FRA-ARA;D14;-74;;;fraara.d001474;
fraarad74;FRA-ARA;D14D;-74;;;fraara.d0014d74;
fraarad74;FRA-ARA;D15;-74;;;fraara.d001574;
fraarad74;FRA-ARA;D16;-74;Rum;Rumilly;fraara.d001674rum;
fraarad74;FRA-ARA;D16;-74;;Thônes;fraara.d001674;
fraarad74;FRA-ARA;D17;-74;;;fraara.d001774;
fraarad74;FRA-ARA;D18;-74;;;fraara.d001874;
fraarad74;FRA-ARA;D18A;-74;;;fraara.d0018a74;
fraarad74;FRA-ARA;D18B;-74;;;fraara.d0018b74;
fraarad74;FRA-ARA;D19;-74;Gai;Gaillard;fraara.d001974gai;
fraarad74;FRA-ARA;D19;-74;;Bonneville;fraara.d001974;
fraarad74;FRA-ARA;D19A;-74;;;fraara.d0019a74;
fraarad74;FRA-ARA;D19B;-74;;;fraara.d0019b74;
fraarad74;FRA-ARA;D19C;-74;;;fraara.d0019c74;
fraarad74;FRA-ARA;D20;-74;;;fraara.d002074;
fraarad74;FRA-ARA;D21;-74;;;fraara.d002174;
fraarad74;FRA-ARA;D22;-74;;;fraara.d002274;
fraarad74;FRA-ARA;D22A;-74;;;fraara.d0022a74;
fraarad74;FRA-ARA;D23;-74;;;fraara.d002374;
fraarad74;FRA-ARA;D23A;-74;;;fraara.d0023a74;
fraarad74;FRA-ARA;D24;-74;;;fraara.d002474;
fraarad74;FRA-ARA;D25;-74;;;fraara.d002574;
fraarad74;FRA-ARA;D26;-74;;;fraara.d002674;
fraarad74;FRA-ARA;D27;-74;;Cruseilles;fraara.d002774;
fraarad74;FRA-ARA;D27;-74;Pie;Saint-Pierre-en-Faucigny;fraara.d002774pie;
fraarad74;FRA-ARA;D27A;-74;;;fraara.d0027a74;
fraarad74;FRA-ARA;D29;-74;;;fraara.d002974;
fraarad74;FRA-ARA;D503;-74;;;fraara.d050374;
fraarad74;FRA-ARA;D801;-74;;;fraara.d080174;
fraarad74;FRA-ARA;D902;-74;;Cluses;fraara.d090274;
fraarad74;FRA-ARA;D902;-74;Con;Les Contamines-Montjoie;fraara.d090274con;
fraarad74;FRA-ARA;D902B;-74;;;fraara.d0902b74;
fraarad74;FRA-ARA;D903;-74;;(Main);fraara.d090374;
fraarad74;FRA-ARA;D903;-74;Tho;Thonon-les-Bains;fraara.d090374tho;
fraarad74;FRA-ARA;D903B;-74;;;fraara.d0903b74;
fraarad74;FRA-ARA;D906A;-74;;;fraara.d0906a74;
fraarad74;FRA-ARA;D907;-74;;;fraara.d090774;
fraarad74;FRA-ARA;D907A;-74;;;fraara.d0907a74;
fraarad74;FRA-ARA;D908A;-74;;;fraara.d0908a74;
fraarad74;FRA-ARA;D908B;-74;;;fraara.d0908b74;
fraarad74;FRA-ARA;D909;-74;;Thônes;fraara.d090974;
fraarad74;FRA-ARA;D909;-74;Ger;Saint-Gervais-les-Bains;fraara.d090974ger;
fraarad74;FRA-ARA;D909A;-74;;;fraara.d0909a74;
fraarad74;FRA-ARA;D909E;-74;;;fraara.d0909e74;
fraarad74;FRA-ARA;D910;-74;;;fraara.d091074;
fraarad74;FRA-ARA;D911;-74;;;fraara.d091174;
fraarad74;FRA-ARA;D912;-74;;;fraara.d091274;
fraarad74;FRA-ARA;D916;-74;;;fraara.d091674;
fraarad74;FRA-ARA;D991;-74;;;fraara.d099174;
fraarad74;FRA-ARA;D992;-74;;;fraara.d099274;
fraarad74;FRA-ARA;D1005;-74;;;fraara.d100574;
fraarad74;FRA-ARA;D1201;-74;;Saint-Julien-en-Genevois;fraara.d120174;
fraarad74;FRA-ARA;D1201;-74;Alb;Alby-sur-Chéran;fraara.d120174alb;
fraarad74;FRA-ARA;D1203;-74;;;fraara.d120374;
fraarad74;FRA-ARA;D1205;-74;;;fraara.d120574;
fraarad74;FRA-ARA;D1206;-74;;;fraara.d120674;
fraarad74;FRA-ARA;D1212;-74;;;fraara.d121274;
fraarad74;FRA-ARA;D1501;-74;;;fraara.d150174;
fraarad74;FRA-ARA;D1506;-74;;;fraara.d150674;
fraarad74;FRA-ARA;D1508;-74;;La Balme-de-Sillingy;fraara.d150874;
fraarad74;FRA-ARA;D1508;-74;Jor;Saint-Jorioz;fraara.d150874jor;
fraarad74;FRA-ARA;D2005;-74;;;fraara.d200574;
fraarad74;FRA-ARA;D2201;-74;;Annecy North;fraara.d220174;
fraarad74;FRA-ARA;D2201;-74;AnS;Annecy South;fraara.d220174ans;
fraarad74;FRA-ARA;D2503;-74;;;fraara.d250374;
fraarad74;FRA-ARA;D2508;-74;Mey;Meythet;fraara.d250874mey;
fraarad74;FRA-ARA;D2508;-74;;Faverges;fraara.d250874;
fraarad74;FRA-ARA;D3508;-74;;;fraara.d350874;
