system;route;banner;name;roots
frabfcd21;D1;-21;;frabfc.d000121
frabfcd21;D1A;-21;;frabfc.d0001a21
frabfcd21;D1B;-21;;frabfc.d0001b21
frabfcd21;D1C;-21;;frabfc.d0001c21
frabfcd21;D1D;-21;;frabfc.d0001d21
frabfcd21;D2;-21;Savigny-lès-Beaune;frabfc.d000221sav
frabfcd21;D2;-21;Villy-le-Moutier;frabfc.d000221
frabfcd21;D2A;-21;;frabfc.d0002a21
frabfcd21;D3;-21;;frabfc.d000321
frabfcd21;D3B;-21;;frabfc.d0003b21
frabfcd21;D3C;-21;;frabfc.d0003c21
frabfcd21;D3D;-21;;frabfc.d0003d21
frabfcd21;D4;-21;;frabfc.d000421
frabfcd21;D4A;-21;;frabfc.d0004a21
frabfcd21;D4B;-21;;frabfc.d0004b21
frabfcd21;D4C;-21;;frabfc.d0004c21
frabfcd21;D4D;-21;;frabfc.d0004d21
frabfcd21;D4E;-21;;frabfc.d0004e21
frabfcd21;D4F;-21;;frabfc.d0004f21
frabfcd21;D4G;-21;;frabfc.d0004g21
frabfcd21;D4H;-21;;frabfc.d0004h21
frabfcd21;D4J;-21;;frabfc.d0004j21
frabfcd21;D4K;-21;;frabfc.d0004k21
frabfcd21;D4L;-21;Saint-Andeux;frabfc.d0004l21and
frabfcd21;D4L;-21;La Roche-en-Brenil;frabfc.d0004l21
frabfcd21;D4M;-21;;frabfc.d0004m21
frabfcd21;D5;-21;;frabfc.d000521
frabfcd21;D5B;-21;;frabfc.d0005b21
frabfcd21;D5C;-21;;frabfc.d0005c21
frabfcd21;D5D;-21;;frabfc.d0005d21
frabfcd21;D5E;-21;;frabfc.d0005e21
frabfcd21;D5F;-21;;frabfc.d0005f21
frabfcd21;D6;-21;Chanceaux;frabfc.d000621
frabfcd21;D6;-21;Diénay;frabfc.d000621die
frabfcd21;D6B;-21;;frabfc.d0006b21
frabfcd21;D6C;-21;;frabfc.d0006c21
frabfcd21;D6D;-21;;frabfc.d0006d21
frabfcd21;D6E;-21;;frabfc.d0006e21
frabfcd21;D7;-21;;frabfc.d000721
frabfcd21;D7B;-21;;frabfc.d0007b21
frabfcd21;D7C;-21;;frabfc.d0007c21
frabfcd21;D8;-21;;frabfc.d000821
frabfcd21;D8A;-21;;frabfc.d0008a21
frabfcd21;D8B;-21;;frabfc.d0008b21
frabfcd21;D9;-21;;frabfc.d000921
frabfcd21;D9A;-21;;frabfc.d0009a21
frabfcd21;D9B;-21;;frabfc.d0009b21
frabfcd21;D9C;-21;;frabfc.d0009c21
frabfcd21;D9D;-21;;frabfc.d0009d21
frabfcd21;D9E;-21;;frabfc.d0009e21
frabfcd21;D9F;-21;;frabfc.d0009f21
frabfcd21;D9G;-21;;frabfc.d0009g21
frabfcd21;D9H;-21;;frabfc.d0009h21
frabfcd21;D9J;-21;;frabfc.d0009j21
frabfcd21;D9K;-21;;frabfc.d0009k21
frabfcd21;D9L;-21;;frabfc.d0009l21
frabfcd21;D9M;-21;;frabfc.d0009m21
frabfcd21;D10;-21;;frabfc.d001021
frabfcd21;D10B;-21;;frabfc.d0010b21
frabfcd21;D10C;-21;;frabfc.d0010c21
frabfcd21;D10D;-21;;frabfc.d0010d21
frabfcd21;D10E;-21;;frabfc.d0010e21
frabfcd21;D10F;-21;;frabfc.d0010f21
frabfcd21;D10G;-21;;frabfc.d0010g21
frabfcd21;D10H;-21;;frabfc.d0010h21
frabfcd21;D10J;-21;;frabfc.d0010j21
frabfcd21;D10K;-21;;frabfc.d0010k21
frabfcd21;D10L;-21;;frabfc.d0010l21
frabfcd21;D11;-21;;frabfc.d001121
frabfcd21;D11A;-21;;frabfc.d0011a21
frabfcd21;D11B;-21;;frabfc.d0011b21
frabfcd21;D11C;-21;;frabfc.d0011c21
frabfcd21;D11D;-21;;frabfc.d0011d21
frabfcd21;D11E;-21;;frabfc.d0011e21
frabfcd21;D12;-21;;frabfc.d001221
frabfcd21;D12A;-21;;frabfc.d0012a21
frabfcd21;D12B;-21;;frabfc.d0012b21
frabfcd21;D13;-21;;frabfc.d001321
frabfcd21;D13A;-21;;frabfc.d0013a21
frabfcd21;D13C;-21;;frabfc.d0013c21
frabfcd21;D13D;-21;;frabfc.d0013d21
frabfcd21;D14;-21;;frabfc.d001421
frabfcd21;D14A;-21;;frabfc.d0014a21
frabfcd21;D14B;-21;;frabfc.d0014b21
frabfcd21;D14C;-21;;frabfc.d0014c21
frabfcd21;D14D;-21;;frabfc.d0014d21
frabfcd21;D15;-21;;frabfc.d001521
frabfcd21;D15A;-21;;frabfc.d0015a21
frabfcd21;D15B;-21;;frabfc.d0015b21
frabfcd21;D15C;-21;;frabfc.d0015c21
frabfcd21;D15D;-21;;frabfc.d0015d21
frabfcd21;D15E;-21;;frabfc.d0015e21
frabfcd21;D15F;-21;;frabfc.d0015f21
frabfcd21;D15G;-21;;frabfc.d0015g21
frabfcd21;D15H;-21;;frabfc.d0015h21
frabfcd21;D15J;-21;;frabfc.d0015j21
frabfcd21;D16;-21;Poinçon-lès-Larrey;frabfc.d001621poi
frabfcd21;D16;-21;Rochefort-sur-Brévon;frabfc.d001621roc
frabfcd21;D16;-21;Sombernon;frabfc.d001621
frabfcd21;D16;-21;Viévy;frabfc.d001621vie
frabfcd21;D16A;-21;;frabfc.d0016a21
frabfcd21;D16B;-21;;frabfc.d0016b21
frabfcd21;D16C;-21;;frabfc.d0016c21
frabfcd21;D16D;-21;;frabfc.d0016d21
frabfcd21;D16E;-21;;frabfc.d0016e21
frabfcd21;D16F;-21;;frabfc.d0016f21
frabfcd21;D16G;-21;;frabfc.d0016g21
frabfcd21;D16H;-21;;frabfc.d0016h21
frabfcd21;D16I;-21;;frabfc.d0016i21
frabfcd21;D16J;-21;;frabfc.d0016j21
frabfcd21;D16K;-21;;frabfc.d0016k21
frabfcd21;D16L;-21;;frabfc.d0016l21
frabfcd21;D17;-21;;frabfc.d001721
frabfcd21;D17A;-21;;frabfc.d0017a21
frabfcd21;D17B;-21;;frabfc.d0017b21
frabfcd21;D17C;-21;;frabfc.d0017c21
frabfcd21;D17D;-21;;frabfc.d0017d21
frabfcd21;D17E;-21;;frabfc.d0017e21
frabfcd21;D17F;-21;;frabfc.d0017f21
frabfcd21;D17G;-21;;frabfc.d0017g21
frabfcd21;D17H;-21;;frabfc.d0017h21
frabfcd21;D17I;-21;;frabfc.d0017i21
frabfcd21;D17J;-21;;frabfc.d0017j21
frabfcd21;D17K;-21;;frabfc.d0017k21
frabfcd21;D17L;-21;;frabfc.d0017l21
frabfcd21;D17N;-21;;frabfc.d0017n21
frabfcd21;D18;-21;;frabfc.d001821
frabfcd21;D18A;-21;;frabfc.d0018a21
frabfcd21;D18B;-21;;frabfc.d0018b21
frabfcd21;D18C;-21;;frabfc.d0018c21
frabfcd21;D19;-21;;frabfc.d001921
frabfcd21;D19A;-21;;frabfc.d0019a21
frabfcd21;D19B;-21;;frabfc.d0019b21
frabfcd21;D19C;-21;;frabfc.d0019c21
frabfcd21;D19D;-21;;frabfc.d0019d21
frabfcd21;D19E;-21;;frabfc.d0019e21
frabfcd21;D19F;-21;;frabfc.d0019f21
frabfcd21;D19G;-21;;frabfc.d0019g21
frabfcd21;D19H;-21;;frabfc.d0019h21
frabfcd21;D19K;-21;;frabfc.d0019k21
frabfcd21;D19L;-21;;frabfc.d0019l21
frabfcd21;D20;-21;;frabfc.d002021
frabfcd21;D20A;-21;;frabfc.d0020a21
frabfcd21;D20B;-21;;frabfc.d0020b21
frabfcd21;D20C;-21;;frabfc.d0020c21
frabfcd21;D20D;-21;;frabfc.d0020d21
frabfcd21;D20E;-21;;frabfc.d0020e21
frabfcd21;D20F;-21;;frabfc.d0020f21
frabfcd21;D20G;-21;;frabfc.d0020g21
frabfcd21;D20H;-21;;frabfc.d0020h21
frabfcd21;D21;-21;;frabfc.d002121
frabfcd21;D21A;-21;;frabfc.d0021a21
frabfcd21;D21B;-21;;frabfc.d0021b21
frabfcd21;D21C;-21;;frabfc.d0021c21
frabfcd21;D21D;-21;;frabfc.d0021d21
frabfcd21;D22;-21;Montigny-sur-Aube;frabfc.d002221mon
frabfcd21;D22;-21;Gurgy-le-Château;frabfc.d002221
frabfcd21;D22A;-21;;frabfc.d0022a21
frabfcd21;D22B;-21;;frabfc.d0022b21
frabfcd21;D22C;-21;;frabfc.d0022c21
frabfcd21;D22D;-21;;frabfc.d0022d21
frabfcd21;D22E;-21;;frabfc.d0022e21
frabfcd21;D23;-21;Monthelie;frabfc.d002321
frabfcd21;D23;-21;Meursanges;frabfc.d002321meu
frabfcd21;D23A;-21;;frabfc.d0023a21
frabfcd21;D23B;-21;;frabfc.d0023b21
frabfcd21;D23C;-21;;frabfc.d0023c21
frabfcd21;D23D;-21;;frabfc.d0023d21
frabfcd21;D24;-21;;frabfc.d002421
frabfcd21;D24B;-21;;frabfc.d0024b21
frabfcd21;D24C;-21;;frabfc.d0024c21
frabfcd21;D25;-21;;frabfc.d002521
frabfcd21;D25A;-21;;frabfc.d0025a21
frabfcd21;D25B;-21;;frabfc.d0025b21
frabfcd21;D25C;-21;;frabfc.d0025c21
frabfcd21;D25D;-21;;frabfc.d0025d21
frabfcd21;D25E;-21;;frabfc.d0025e21
frabfcd21;D25F;-21;;frabfc.d0025f21
frabfcd21;D25G;-21;;frabfc.d0025g21
frabfcd21;D25H;-21;;frabfc.d0025h21
frabfcd21;D26;-21;;frabfc.d002621
frabfcd21;D26A;-21;;frabfc.d0026a21
frabfcd21;D26B;-21;;frabfc.d0026b21
frabfcd21;D26C;-21;;frabfc.d0026c21
frabfcd21;D27;-21;;frabfc.d002721
frabfcd21;D27A;-21;;frabfc.d0027a21
frabfcd21;D27B;-21;;frabfc.d0027b21
frabfcd21;D27C;-21;;frabfc.d0027c21
frabfcd21;D27D;-21;;frabfc.d0027d21
frabfcd21;D27E;-21;;frabfc.d0027e21
frabfcd21;D27F;-21;;frabfc.d0027f21
frabfcd21;D27G;-21;;frabfc.d0027g21
frabfcd21;D27H;-21;;frabfc.d0027h21
frabfcd21;D27J;-21;;frabfc.d0027j21
