system;region;route;banner;abbreviation;city;fileNameRoot;altRouteNames
frabfcd89;FRA-BFC;D1;-89;;;frabfc.d000189;
frabfcd89;FRA-BFC;D2;-89;;;frabfc.d000289;
frabfcd89;FRA-BFC;D3;-89;;;frabfc.d000389;
frabfcd89;FRA-BFC;D3B;-89;;;frabfc.d0003b89;
frabfcd89;FRA-BFC;D3C;-89;;;frabfc.d0003c89;
frabfcd89;FRA-BFC;D4;-89;;;frabfc.d000489;
frabfcd89;FRA-BFC;D4B;-89;;;frabfc.d0004b89;
frabfcd89;FRA-BFC;D5;-89;;;frabfc.d000589;
frabfcd89;FRA-BFC;D6;-89;;;frabfc.d000689;
frabfcd89;FRA-BFC;D7;-89;;;frabfc.d000789;
frabfcd89;FRA-BFC;D7A;-89;;;frabfc.d0007a89;
frabfcd89;FRA-BFC;D8;-89;;;frabfc.d000889;
frabfcd89;FRA-BFC;D8A;-89;;;frabfc.d0008a89;
frabfcd89;FRA-BFC;D9;-89;;Taingy;frabfc.d000989;
frabfcd89;FRA-BFC;D9;-89;Luc;Lucy-de-Bois;frabfc.d000989luc;
frabfcd89;FRA-BFC;D9A;-89;;;frabfc.d0009a89;
frabfcd89;FRA-BFC;D10;-89;;;frabfc.d001089;
frabfcd89;FRA-BFC;D11;-89;;;frabfc.d001189;
frabfcd89;FRA-BFC;D12;-89;;;frabfc.d001289;
frabfcd89;FRA-BFC;D13;-89;;;frabfc.d001389;
frabfcd89;FRA-BFC;D14;-89;;;frabfc.d001489;
frabfcd89;FRA-BFC;D14A;-89;;;frabfc.d0014a89;
frabfcd89;FRA-BFC;D15;-89;;;frabfc.d001589;
frabfcd89;FRA-BFC;D15A;-89;;;frabfc.d0015a89;
frabfcd89;FRA-BFC;D16;-89;;;frabfc.d001689;
frabfcd89;FRA-BFC;D17;-89;;;frabfc.d001789;
frabfcd89;FRA-BFC;D18;-89;Lou;Saint-Loup-d’Ordon;frabfc.d001889lou;
frabfcd89;FRA-BFC;D18;-89;;Saint-Fargeau;frabfc.d001889;
frabfcd89;FRA-BFC;D19;-89;;;frabfc.d001989;
frabfcd89;FRA-BFC;D50;-89;;;frabfc.d005089;
frabfcd89;FRA-BFC;D72;-89;;;frabfc.d007289;
frabfcd89;FRA-BFC;D72A;-89;;;frabfc.d0072a89;
frabfcd89;FRA-BFC;D81;-89;;;frabfc.d008189;
frabfcd89;FRA-BFC;D81A;-89;;;frabfc.d0081a89;
frabfcd89;FRA-BFC;D163;-89;;;frabfc.d016389;
frabfcd89;FRA-BFC;D234;-89;;;frabfc.d023489;
frabfcd89;FRA-BFC;D606;-89;;;frabfc.d060689;
frabfcd89;FRA-BFC;D606A;-89;;;frabfc.d0606a89;
frabfcd89;FRA-BFC;D606B;-89;;;frabfc.d0606b89;
frabfcd89;FRA-BFC;D646;-89;;;frabfc.d064689;
frabfcd89;FRA-BFC;D660;-89;Sub;Subligny;frabfc.d066089sub;
frabfcd89;FRA-BFC;D660;-89;;Villeneuve-l’Archevêque;frabfc.d066089;
frabfcd89;FRA-BFC;D905;-89;;Saint-Florentin;frabfc.d090589;
frabfcd89;FRA-GES;D905;-89;;;frages.d090589;
frabfcd89;FRA-BFC;D905;-89;Ton;Tonnerre;frabfc.d090589ton;
frabfcd89;FRA-BFC;D906;-89;;;frabfc.d090689;
frabfcd89;FRA-BFC;D939;-89;;;frabfc.d093989;
frabfcd89;FRA-BFC;D943;-89;;;frabfc.d094389;
frabfcd89;FRA-BFC;D944;-89;;;frabfc.d094489;
frabfcd89;FRA-BFC;D944A;-89;;;frabfc.d0944a89;
frabfcd89;FRA-BFC;D950;-89;;;frabfc.d095089;
frabfcd89;FRA-BFC;D951;-89;;;frabfc.d095189;
frabfcd89;FRA-BFC;D952;-89;;;frabfc.d095289;
frabfcd89;FRA-BFC;D953;-89;;;frabfc.d095389;
frabfcd89;FRA-BFC;D954;-89;;;frabfc.d095489;
frabfcd89;FRA-BFC;D955;-89;;;frabfc.d095589;
frabfcd89;FRA-BFC;D956;-89;;;frabfc.d095689;
frabfcd89;FRA-BFC;D957;-89;;;frabfc.d095789;
frabfcd89;FRA-BFC;D957A;-89;;;frabfc.d0957a89;
frabfcd89;FRA-BFC;D958;-89;;;frabfc.d095889;
frabfcd89;FRA-BFC;D959;-89;;;frabfc.d095989;
frabfcd89;FRA-BFC;D965;-89;Tou;Toucy;frabfc.d096589tou;
frabfcd89;FRA-BFC;D965;-89;Aux;Auxerre;frabfc.d096589aux;
frabfcd89;FRA-BFC;D965;-89;;Tonnerre;frabfc.d096589;
frabfcd89;FRA-BFC;D965A;-89;;;frabfc.d0965a89;
frabfcd89;FRA-BFC;D976;-89;;;frabfc.d097689;
frabfcd89;FRA-BFC;D1060;-89;;;frabfc.d106089;
