systemName;region;route;banner;abbrev;city;root;altRouteNames
fracort;FRA-COR;T10;;;;fracor.t010;
fracort;FRA-COR;T11;;;;fracor.t011;
fracort;FRA-COR;T12;;;;fracor.t012;
fracort;FRA-COR;T20;;;;fracor.t020;
fracort;FRA-COR;T21;;;;fracor.t021;
fracort;FRA-COR;T22;;;;fracor.t022;
fracort;FRA-COR;T30;;;;fracor.t030;
fracort;FRA-COR;T40;;;Ajaccio;fracor.t040;
fracort;FRA-COR;T40;;Bon;Bonifacio;fracor.t040bon;
fracort;FRA-COR;T50;;;;fracor.t050;
fracort;FRA-COR;T101;;;;fracor.t101;
fracort;FRA-COR;T201;;;;fracor.t201;
fracort;FRA-COR;T202;;;;fracor.t202;
fracort;FRA-COR;T203;;;;fracor.t203;
fracort;FRA-COR;T204;;;;fracor.t204;
fracort;FRA-COR;T205;;;;fracor.t205;
fracort;FRA-COR;T301;;;;fracor.t301;
fracort;FRA-COR;T401;;;;fracor.t401;
fracort;FRA-COR;T402;;;;fracor.t402;
