system;route;banner;name;roots
fracvld36;D1;-36;Neuillay-les-Bois;fracvl.d000136
fracvld36;D1;-36;Saint-Benoît-du-Sault;fracvl.d000136ben
fracvld36;D1A;-36;;fracvl.d0001a36
fracvld36;D1B;-36;;fracvl.d0001b36
fracvld36;D1C;-36;;fracvl.d0001c36
fracvld36;D1D;-36;;fracvl.d0001d36
fracvld36;D1E;-36;;fracvl.d0001e36
fracvld36;D2;-36;Bouges-le-Château;fracvl.d000236bou
fracvld36;D2;-36;Diou;fracvl.d000236
fracvld36;D2A;-36;;fracvl.d0002a36
fracvld36;D3;-36;;fracvl.d000336
fracvld36;D4;-36;;fracvl.d000436
fracvld36;D4A;-36;;fracvl.d0004a36
fracvld36;D5;-36;;fracvl.d000536
fracvld36;D5B;-36;;fracvl.d0005b36
fracvld36;D5C;-36;;fracvl.d0005c36
fracvld36;D5D;-36;;fracvl.d0005d36
fracvld36;D6;-36;;fracvl.d000636
fracvld36;D6A;-36;;fracvl.d0006a36
fracvld36;D6B;-36;;fracvl.d0006b36
fracvld36;D6C;-36;;fracvl.d0006c36
fracvld36;D7;-36;;fracvl.d000736
fracvld36;D7A;-36;;fracvl.d0007a36
fracvld36;D7B;-36;;fracvl.d0007b36
fracvld36;D8;-36;Gehée;fracvl.d000836geh
fracvld36;D8;-36;La Champenoise;fracvl.d000836
fracvld36;D8A;-36;;fracvl.d0008a36
fracvld36;D8B;-36;;fracvl.d0008b36
fracvld36;D8C;-36;;fracvl.d0008c36
fracvld36;D8D;-36;;fracvl.d0008d36
fracvld36;D8E;-36;;fracvl.d0008e36
fracvld36;D9;-36;;fracvl.d000936
fracvld36;D9A;-36;;fracvl.d0009a36
fracvld36;D67;-36;Châteauroux;fracvl.d006736
fracvld36;D67;-36;Ambrault;fracvl.d006736amb
fracvld36;D67A;-36;;fracvl.d0067a36
fracvld36;D913;-36;;fracvl.d091336
fracvld36;D917;-36;;fracvl.d091736
fracvld36;D918;-36;;fracvl.d091836
fracvld36;D920;-36;Vatan;fracvl.d092036vat
fracvld36;D920;-36;Argenton-sur-Creuse;fracvl.d092036
fracvld36;D920A;-36;;fracvl.d0920a36
fracvld36;D922;-36;;fracvl.d092236
fracvld36;D925;-36;Mézières-en-Brenne;fracvl.d092536
fracvld36;D925;-36;Vouillon;fracvl.d092536vou
fracvld36;D926;-36;;fracvl.d092636
fracvld36;D927;-36;;fracvl.d092736
fracvld36;D927A;-36;;fracvl.d0927a36
fracvld36;D927B;-36;;fracvl.d0927b36
fracvld36;D927E;-36;;fracvl.d0927e36
fracvld36;D940;-36;;fracvl.d094036
fracvld36;D943;-36;Buzançais;fracvl.d094336
fracvld36;D943;-36;La Châtre;fracvl.d094336cha
fracvld36;D943A;-36;;fracvl.d0943a36
fracvld36;D943E;-36;;fracvl.d0943e36
fracvld36;D950;-36;;fracvl.d095036
fracvld36;D951;-36;;fracvl.d095136
fracvld36;D951A;-36;;fracvl.d0951a36
fracvld36;D951B;-36;Crevant;fracvl.d0951b36
fracvld36;D951B;-36;Vicq-Exemplet;fracvl.d0951b36vic
fracvld36;D956;-36;;fracvl.d095636
fracvld36;D960;-36;;fracvl.d096036
fracvld36;D975;-36;Azay-le-Ferron;fracvl.d097536
fracvld36;D975;-36;Concremiers;fracvl.d097536con
fracvld36;D990;-36;;fracvl.d099036,franaq.d099036,fracvl.d099036aig
