systemName;region;route;banner;abbrev;city;root;altRouteNames
fragesd55;FRA-GES;D1;-55;;;frages.d000155;
fragesd55;FRA-GES;D1B;-55;;;frages.d0001b55;
fragesd55;FRA-GES;D1C;-55;;;frages.d0001c55;
fragesd55;FRA-GES;D2;-55;;;frages.d000255;
fragesd55;FRA-GES;D2A;-55;;;frages.d0002a55;
fragesd55;FRA-GES;D2B;-55;;;frages.d0002b55;
fragesd55;FRA-GES;D2C;-55;;;frages.d0002c55;
fragesd55;FRA-GES;D2D;-55;;;frages.d0002d55;
fragesd55;FRA-GES;D2E;-55;;;frages.d0002e55;
fragesd55;FRA-GES;D3;-55;;;frages.d000355;
fragesd55;FRA-GES;D4;-55;;;frages.d000455;
fragesd55;FRA-GES;D5;-55;;;frages.d000555;
fragesd55;FRA-GES;D5A;-55;;;frages.d0005a55;
fragesd55;FRA-GES;D5B;-55;;;frages.d0005b55;
fragesd55;FRA-GES;D6;-55;;;frages.d000655;
fragesd55;FRA-GES;D7;-55;;;frages.d000755;
fragesd55;FRA-GES;D7A;-55;;;frages.d0007a55;
fragesd55;FRA-GES;D8;-55;;;frages.d000855;
fragesd55;FRA-GES;D8A;-55;;;frages.d0008a55;
fragesd55;FRA-GES;D9;-55;;;frages.d000955;
fragesd55;FRA-GES;D10;-55;;;frages.d001055;
fragesd55;FRA-GES;D10D;-55;;;frages.d0010d55;
fragesd55;FRA-GES;D10F;-55;;;frages.d0010f55;
fragesd55;FRA-GES;D11;-55;;;frages.d001155;
fragesd55;FRA-GES;D12;-55;;;frages.d001255;
fragesd55;FRA-GES;D12A;-55;;;frages.d0012a55;
fragesd55;FRA-GES;D12B;-55;;;frages.d0012b55;
fragesd55;FRA-GES;D12C;-55;;;frages.d0012c55;
fragesd55;FRA-GES;D13;-55;;;frages.d001355;
fragesd55;FRA-GES;D13B;-55;;;frages.d0013b55;
fragesd55;FRA-GES;D13C;-55;;;frages.d0013c55;
fragesd55;FRA-GES;D13D;-55;;;frages.d0013d55;
fragesd55;FRA-GES;D13E;-55;;;frages.d0013e55;
fragesd55;FRA-GES;D14;-55;;;frages.d001455;
fragesd55;FRA-GES;D15;-55;;;frages.d001555;
fragesd55;FRA-GES;D15A;-55;;;frages.d0015a55;
fragesd55;FRA-GES;D15B;-55;;;frages.d0015b55;
fragesd55;FRA-GES;D15C;-55;;;frages.d0015c55;
fragesd55;FRA-GES;D15D;-55;;;frages.d0015d55;
fragesd55;FRA-GES;D16;-55;;;frages.d001655;
fragesd55;FRA-GES;D16A;-55;;;frages.d0016a55;
fragesd55;FRA-GES;D16B;-55;;;frages.d0016b55;
fragesd55;FRA-GES;D17;-55;;;frages.d001755;
fragesd55;FRA-GES;D18;-55;;;frages.d001855;
fragesd55;FRA-GES;D18A;-55;;;frages.d0018a55;
fragesd55;FRA-GES;D19;-55;;;frages.d001955;
fragesd55;FRA-GES;D19A;-55;;;frages.d0019a55;
fragesd55;FRA-GES;D19B;-55;;;frages.d0019b55;
fragesd55;FRA-GES;D19C;-55;;;frages.d0019c55;
fragesd55;FRA-GES;D19D;-55;;;frages.d0019d55;
fragesd55;FRA-GES;D20;-55;;;frages.d002055;
fragesd55;FRA-GES;D21;-55;;Souilly;frages.d002155;
fragesd55;FRA-GES;D21;-55;Bon;Bonzée;frages.d002155bon;
fragesd55;FRA-GES;D21B;-55;;;frages.d0021b55;
fragesd55;FRA-GES;D22;-55;;;frages.d002255;
fragesd55;FRA-GES;D23;-55;;;frages.d002355;
fragesd55;FRA-GES;D23A;-55;;;frages.d0023a55;
fragesd55;FRA-GES;D24;-55;;;frages.d002455;
fragesd55;FRA-GES;D24A;-55;;;frages.d0024a55;
fragesd55;FRA-GES;D25;-55;;;frages.d002555;
fragesd55;FRA-GES;D26;-55;;;frages.d002655;
fragesd55;FRA-GES;D27;-55;;Sommeilles;frages.d002755;
fragesd55;FRA-GES;D27;-55;Ran;Rancourt-sur-Ornain;frages.d002755ran;
fragesd55;FRA-GES;D28;-55;;;frages.d002855;
fragesd55;FRA-GES;D29;-55;;;frages.d002955;
fragesd55;FRA-GES;D30;-55;;;frages.d003055;
fragesd55;FRA-GES;D30A;-55;;;frages.d0030a55;
fragesd55;FRA-GES;D30B;-55;;;frages.d0030b55;
