system;region;route;banner;abbreviation;city;fileNameRoot;altRouteNames
fragesd6ae;FRA-GES;D8B1;-6ae;;;frages.d0008b16ae;
fragesd6ae;FRA-GES;D8B2;-6ae;;;frages.d0008b26ae;
fragesd6ae;FRA-GES;D8B3;-6ae;;;frages.d0008b36ae;
fragesd6ae;FRA-GES;D14B;-6ae;Sop;Soppe-le-Haut;frages.d0014b6aesop;
fragesd6ae;FRA-GES;D14B;-6ae;;Dannemarie;frages.d0014b6ae;
fragesd6ae;FRA-GES;D14B;-6ae;Man;Manspach;frages.d0014b6aeman;
fragesd6ae;FRA-GES;D14B1;-6ae;;;frages.d0014b16ae;
fragesd6ae;FRA-GES;D14B2;-6ae;;;frages.d0014b26ae;
fragesd6ae;FRA-GES;D14B3;-6ae;;;frages.d0014b36ae;
fragesd6ae;FRA-GES;D14B4;-6ae;;;frages.d0014b46ae;
fragesd6ae;FRA-GES;D17;-6ae;;;frages.d00176ae;
fragesd6ae;FRA-GES;D17.1;-6ae;;;frages.d001716ae;
fragesd6ae;FRA-GES;D17.2;-6ae;;;frages.d001726ae;
fragesd6ae;FRA-GES;D21B3;-6ae;;;frages.d0021b36ae;
fragesd6ae;FRA-GES;D28;-6ae;;;frages.d00286ae;
fragesd6ae;FRA-GES;D29;-6ae;;;frages.d00296ae;
fragesd6ae;FRA-GES;D39;-6ae;;;frages.d00396ae;
fragesd6ae;FRA-GES;D66;-6ae;Pfa;Pfastatt;frages.d00666aepfa;
fragesd6ae;FRA-GES;D66;-6ae;Rix;Rixheim;frages.d00666aerix;
fragesd6ae;FRA-GES;D66;-6ae;;Saint-Louis;frages.d00666ae;
fragesd6ae;FRA-GES;D83;-6ae;;;frages.d00836ae;N83
fragesd6ae;FRA-GES;D87;-6ae;;;frages.d00876ae;
fragesd6ae;FRA-GES;D105;-6ae;;;frages.d01056ae;
fragesd6ae;FRA-GES;D159;-6ae;;;frages.d01596ae;
fragesd6ae;FRA-GES;D201;-6ae;;;frages.d02016ae;
fragesd6ae;FRA-GES;D222;-6ae;;;frages.d02226ae;
fragesd6ae;FRA-GES;D263;-6ae;;;frages.d02636ae;
fragesd6ae;FRA-GES;D264;-6ae;;;frages.d02646ae;
fragesd6ae;FRA-GES;D329;-6ae;;;frages.d03296ae;
fragesd6ae;FRA-GES;D334;-6ae;;;frages.d03346ae;
fragesd6ae;FRA-GES;D410;-6ae;;;frages.d04106ae;
fragesd6ae;FRA-GES;D411;-6ae;Pfe;Pfetterhouse;frages.d04116aepfe;
fragesd6ae;CHE;D411;-6ae;;;che.d04116ae;
fragesd6ae;FRA-GES;D411;-6ae;;Levoncourt;frages.d04116ae;
fragesd6ae;FRA-GES;D415;-6ae;;Lapoutroie;frages.d04156ae;
fragesd6ae;FRA-GES;D415;-6ae;Wol;Wolfgantzen;frages.d04156aewol;
fragesd6ae;FRA-GES;D416;-6ae;;;frages.d04166ae;
fragesd6ae;FRA-GES;D416B;-6ae;;;frages.d0416b6ae;
fragesd6ae;FRA-GES;D417;-6ae;;;frages.d04176ae;
fragesd6ae;FRA-GES;D418;-6ae;;;frages.d04186ae;
fragesd6ae;FRA-GES;D419;-6ae;;;frages.d04196ae;
fragesd6ae;FRA-GES;D420;-6ae;;;frages.d04206ae;
