system;route;banner;name;roots
frahdfd59;D1;-59;Dunkerque;frahdf.d000159dun
frahdfd59;D1;-59;Bourbourg;frahdf.d000159
frahdfd59;D1D;-59;;frahdf.d0001d59
frahdfd59;D2;-59;;frahdf.d000259
frahdfd59;D3;-59;;frahdf.d000359
frahdfd59;D3B;-59;;frahdf.d0003b59
frahdfd59;D4;-59;;frahdf.d000459
frahdfd59;D8;-59;;frahdf.d000859
frahdfd59;D8A;-59;;frahdf.d0008a59
frahdfd59;D8C;-59;;frahdf.d0008c59
frahdfd59;D8D;-59;;frahdf.d0008d59
frahdfd59;D25;-59;;frahdf.d002559
frahdfd59;D25A;-59;;frahdf.d0025a59
frahdfd59;D28;-59;;frahdf.d002859
frahdfd59;D37;-59;;frahdf.d003759
frahdfd59;D37A;-59;;frahdf.d0037a59
frahdfd59;D39;-59;;frahdf.d003959
frahdfd59;D40;-59;;frahdf.d004059
frahdfd59;D40A;-59;Hasnon;frahdf.d0040a59has
frahdfd59;D40A;-59;Verchain-Maugré;frahdf.d0040a59
frahdfd59;D40B;-59;;frahdf.d0040b59
frahdfd59;D50;-59;;frahdf.d005059
frahdfd59;D50A;-59;Fresnes-sur-Escaut;frahdf.d0050a59fre
frahdfd59;D50A;-59;Onnaing;frahdf.d0050a59
frahdfd59;D75;-59;;frahdf.d007559
frahdfd59;D75E;-59;;frahdf.d0075e59
frahdfd59;D131;-59;;frahdf.d013159
frahdfd59;D131A;-59;;frahdf.d0131a59
frahdfd59;D147;-59;;frahdf.d014759
frahdfd59;D169;-59;;frahdf.d016959
frahdfd59;D169A;-59;;frahdf.d0169a59
frahdfd59;D169B;-59;;frahdf.d0169b59
frahdfd59;D300;-59;;frahdf.d030059
frahdfd59;D335;-59;;frahdf.d033559
frahdfd59;D500;-59;;frahdf.d050059
frahdfd59;D549;-59;;frahdf.d054959
frahdfd59;D601;-59;;frahdf.d060159
frahdfd59;D602;-59;;frahdf.d060259
frahdfd59;D621;-59;;frahdf.d062159
frahdfd59;D625;-59;Cambrai;frahdf.d062559
frahdfd59;D630;-59;Onnaing;frahdf.d063059onn
frahdfd59;D630;-59;;frahdf.d063059
frahdfd59;D642;-59;;frahdf.d064259
frahdfd59;D643;-59;;frahdf.d064359
frahdfd59;D644;-59;;frahdf.d064459
frahdfd59;D645;-59;;frahdf.d064559
frahdfd59;D649;-59;;frahdf.d064959
frahdfd59;D650;-59;;frahdf.d065059
frahdfd59;D659;-59;;frahdf.d065959
frahdfd59;D916;-59;;frahdf.d091659
frahdfd59;D916A;-59;;frahdf.d0916a59
frahdfd59;D916B;-59;;frahdf.d0916b59
frahdfd59;D917;-59;Gouzeaucourt;frahdf.d091759gou
frahdfd59;D917;-59;Douai;frahdf.d091759
frahdfd59;D925;-59;;frahdf.d092559
frahdfd59;D930;-59;;frahdf.d093059
frahdfd59;D933;-59;;frahdf.d093359
frahdfd59;D933B;-59;;frahdf.d0933b59
frahdfd59;D934;-59;;frahdf.d093459
frahdfd59;D934A;-59;;frahdf.d0934a59
frahdfd59;D935;-59;;frahdf.d093559
frahdfd59;D935A;-59;;frahdf.d0935a59
frahdfd59;D936;-59;;frahdf.d093659
frahdfd59;D938;-59;;frahdf.d093859
frahdfd59;D939;-59;;frahdf.d093959
frahdfd59;D943;-59;;frahdf.d094359
frahdfd59;D943B;-59;;frahdf.d0943b59
frahdfd59;D944;-59;;frahdf.d094459
frahdfd59;D945;-59;La Gorgue;frahdf.d094559
frahdfd59;D945;-59;Nieppe;frahdf.d094559nie
frahdfd59;D945N;-59;;frahdf.d0945n59
frahdfd59;D947;-59;;frahdf.d094759
frahdfd59;D947B;-59;;frahdf.d0947b59
frahdfd59;D948;-59;;frahdf.d094859
frahdfd59;D957;-59;;frahdf.d095759
frahdfd59;D957A;-59;;frahdf.d0957a59
frahdfd59;D957B;-59;;frahdf.d0957b59
frahdfd59;D959;-59;;frahdf.d095959
frahdfd59;D962;-59;;frahdf.d096259
frahdfd59;D1945;-59;;frahdf.d194559
frahdfd59;D2076;-59;;frahdf.d207659
frahdfd59;D2549;-59;;frahdf.d254959
frahdfd59;D2643;-59;;frahdf.d264359
