system;region;route;banner;abbreviation;city;fileNameRoot;altRouteNames
frahdfd62;FRA-HDF;D6;-62;Mar;Martinpuich (2nd route to be added);frahdf.d000662mar;
frahdfd62;FRA-HDF;D6E2;-62;;;frahdf.d0006e262;
frahdfd62;FRA-HDF;D11;-62;;;frahdf.d001162;
frahdfd62;FRA-HDF;D11E1;-62;;;frahdf.d0011e162;
frahdfd62;FRA-HDF;D29;-62;Gra;Grandcourt (2nd route to be added);frahdf.d002962gra;
frahdfd62;FRA-HDF;D40;-62;;;frahdf.d004062;
frahdfd62;FRA-HDF;D40E1;-62;;;frahdf.d0040e162;
frahdfd62;FRA-HDF;D57;-62;;;frahdf.d005762;
frahdfd62;FRA-HDF;D57E1;-62;;;frahdf.d0057e162;
frahdfd62;FRA-HDF;D57E2;-62;;;frahdf.d0057e262;
frahdfd62;FRA-HDF;D57E3;-62;;;frahdf.d0057e362;
frahdfd62;FRA-HDF;D60;-62;;;frahdf.d006062;
frahdfd62;FRA-HDF;D60E1;-62;;;frahdf.d0060e162;
frahdfd62;FRA-HDF;D77;-62;;;frahdf.d007762;
frahdfd62;FRA-HDF;D77E1;-62;;;frahdf.d0077e162;
frahdfd62;FRA-HDF;D77E2;-62;;;frahdf.d0077e262;
frahdfd62;FRA-HDF;D77E3;-62;;;frahdf.d0077e362;
frahdfd62;FRA-HDF;D77E4;-62;;;frahdf.d0077e462;
frahdfd62;FRA-HDF;D96;-62;;;frahdf.d009662;
frahdfd62;FRA-HDF;D96E1;-62;;;frahdf.d0096e162;
frahdfd62;FRA-HDF;D119;-62;Cal;Calais;frahdf.d011962cal;
frahdfd62;FRA-HDF;D119;-62;Bou;Boulogne-sur-Mer;frahdf.d011962bou;
frahdfd62;FRA-HDF;D119;-62;;Labroye;frahdf.d011962;
frahdfd62;FRA-HDF;D119E;-62;;;frahdf.d0119e62;
frahdfd62;FRA-HDF;D126;-62;;;frahdf.d012662;
frahdfd62;FRA-HDF;D127;-62;;;frahdf.d012762;
frahdfd62;FRA-HDF;D127E2;-62;;;frahdf.d0127e262;
frahdfd62;FRA-HDF;D127E3;-62;;;frahdf.d0127e362;
frahdfd62;FRA-HDF;D127E4;-62;;;frahdf.d0127e462;
frahdfd62;FRA-HDF;D127E5;-62;;;frahdf.d0127e562;
frahdfd62;FRA-HDF;D136;-62;;;frahdf.d013662;
frahdfd62;FRA-HDF;D136E1;-62;;;frahdf.d0136e162;
frahdfd62;FRA-HDF;D136E2;-62;;;frahdf.d0136e262;
frahdfd62;FRA-HDF;D157;-62;;;frahdf.d015762;
frahdfd62;FRA-HDF;D157E1;-62;;;frahdf.d0157e162;
frahdfd62;FRA-HDF;D157E3;-62;;;frahdf.d0157e362;
frahdfd62;FRA-HDF;D186;-62;;;frahdf.d018662;
frahdfd62;FRA-HDF;D186E;-62;;;frahdf.d0186e62;
frahdfd62;FRA-HDF;D186E1;-62;;;frahdf.d0186e162;
frahdfd62;FRA-HDF;D186E2;-62;;;frahdf.d0186e262;
