systemName;region;route;banner;abbrev;city;root;altRouteNames
frahdfd80;FRA-HDF;D40;-80;;;frahdf.d004080;
frahdfd80;FRA-HDF;D44;-80;;;frahdf.d004480;
frahdfd80;FRA-HDF;D111;-80;;;frahdf.d011180;
frahdfd80;FRA-HDF;D315;-80;Dig;Digeon;frahdf.d031580dig;
frahdfd80;FRA-HDF;D315;-80;;Saint-Clair;frahdf.d031580;
frahdfd80;FRA-HDF;D901;-80;;;frahdf.d090180;
frahdfd80;FRA-HDF;D916;-80;;;frahdf.d091680;
frahdfd80;FRA-HDF;D917;-80;;;frahdf.d091780;
frahdfd80;FRA-HDF;D919;-80;Poi;Poix-de-Picardie;frahdf.d091980poi;
frahdfd80;FRA-HDF;D919;-80;;Contay;frahdf.d091980;
frahdfd80;FRA-HDF;D919B;-80;;;frahdf.d0919b80;
frahdfd80;FRA-HDF;D920;-80;;;frahdf.d092080;
frahdfd80;FRA-HDF;D925;-80;Mer;Mers-les-Bains;frahdf.d092580mer;
frahdfd80;FRA-HDF;D925;-80;Fri;Friville-Escarbotin;frahdf.d092580fri;
frahdfd80;FRA-HDF;D925;-80;;Bernaville;frahdf.d092580;
frahdfd80;FRA-HDF;D928;-80;;;frahdf.d092880;
frahdfd80;FRA-HDF;D929;-80;;;frahdf.d092980;
frahdfd80;FRA-HDF;D929A;-80;;;frahdf.d0929a80;
frahdfd80;FRA-HDF;D930;-80;;;frahdf.d093080;
frahdfd80;FRA-HDF;D930A;-80;;;frahdf.d0930a80;
frahdfd80;FRA-HDF;D930B;-80;;;frahdf.d0930b80;
frahdfd80;FRA-HDF;D930C;-80;;;frahdf.d0930c80;
frahdfd80;FRA-HDF;D930D;-80;;;frahdf.d0930d80;
frahdfd80;FRA-HDF;D932;-80;;;frahdf.d093280;
frahdfd80;FRA-HDF;D933;-80;;;frahdf.d093380;
frahdfd80;FRA-HDF;D933B;-80;;;frahdf.d0933b80;
frahdfd80;FRA-HDF;D934;-80;;;frahdf.d093480;
frahdfd80;FRA-HDF;D935;-80;;;frahdf.d093580;
frahdfd80;FRA-HDF;D936;-80;;;frahdf.d093680;
frahdfd80;FRA-HDF;D937;-80;;;frahdf.d093780;
frahdfd80;FRA-HDF;D938;-80;Cre;Crécy-en-Ponthieu;frahdf.d093880cre;
frahdfd80;FRA-HDF;D938;-80;Mez;Mézerolles;frahdf.d093880mez;
frahdfd80;FRA-HDF;D938;-80;Aut;Authieule;frahdf.d093880aut;
frahdfd80;FRA-HDF;D938;-80;;Albert;frahdf.d093880;
frahdfd80;FRA-HDF;D938A;-80;;;frahdf.d0938a80;
frahdfd80;FRA-HDF;D940;-80;;;frahdf.d094080;
frahdfd80;FRA-HDF;D940A;-80;;;frahdf.d0940a80;
frahdfd80;FRA-HDF;D941;-80;;;frahdf.d094180;
frahdfd80;FRA-HDF;D1001;-80;;Abbeville;frahdf.d100180;
frahdfd80;FRA-HDF;D1001;-80;Fle;Flers-sur-Noye;frahdf.d100180fle;
frahdfd80;FRA-HDF;D1015;-80;Mer;Mers-les-Bains;frahdf.d101580mer;
frahdfd80;FRA-HDF;D1015;-80;;(Main);frahdf.d101580;
frahdfd80;FRA-HDF;D1015A;-80;;;frahdf.d1015a80;
frahdfd80;FRA-HDF;D1017;-80;;;frahdf.d101780;
frahdfd80;FRA-HDF;D1029;-80;Poi;Poix-de-Picardie;frahdf.d102980poi;
frahdfd80;FRA-HDF;D1029;-80;;Villers-Carbonnel;frahdf.d102980;
frahdfd80;FRA-HDF;D1235;-80;;;frahdf.d123580;
frahdfd80;FRA-HDF;D1901;-80;;;frahdf.d190180;
