systemName;region;route;banner;abbrev;city;root;altRouteNames
fraidfd78;FRA-IDF;D1;-78;;(Main);fraidf.d000178;
fraidfd78;FRA-IDF;D1;-78;Tri;Triel-sur-Seine;fraidf.d000178tri;
fraidfd78;FRA-IDF;D2;-78;;;fraidf.d000278;
fraidfd78;FRA-IDF;D4;-78;;;fraidf.d000478;
fraidfd78;FRA-IDF;D7;-78;;;fraidf.d000778;
fraidfd78;FRA-IDF;D8;-78;;;fraidf.d000878;
fraidfd78;FRA-IDF;D10;-78;;;fraidf.d001078;
fraidfd78;FRA-IDF;D11;-78;;;fraidf.d001178;
fraidfd78;FRA-IDF;D12;-78;;;fraidf.d001278;
fraidfd78;FRA-IDF;D13;-78;;;fraidf.d001378;
fraidfd78;FRA-IDF;D14;-78;;;fraidf.d001478;
fraidfd78;FRA-IDF;D15;-78;;;fraidf.d001578;
fraidfd78;FRA-IDF;D17;-78;;;fraidf.d001778;
fraidfd78;FRA-IDF;D19;-78;;;fraidf.d001978;
fraidfd78;FRA-IDF;D20;-78;;;fraidf.d002078;
fraidfd78;FRA-IDF;D22;-78;;;fraidf.d002278;
fraidfd78;FRA-IDF;D23;-78;;;fraidf.d002378;
fraidfd78;FRA-IDF;D24;-78;;;fraidf.d002478;
fraidfd78;FRA-IDF;D25;-78;;;fraidf.d002578;
fraidfd78;FRA-IDF;D27;-78;;;fraidf.d002778;
fraidfd78;FRA-IDF;D28;-78;;;fraidf.d002878;
fraidfd78;FRA-IDF;D29;-78;;;fraidf.d002978;
fraidfd78;FRA-IDF;D30;-78;;;fraidf.d003078;
fraidfd78;FRA-IDF;D31;-78;;;fraidf.d003178;
fraidfd78;FRA-IDF;D33;-78;;;fraidf.d003378;
fraidfd78;FRA-IDF;D34;-78;;;fraidf.d003478;
fraidfd78;FRA-IDF;D35;-78;;;fraidf.d003578;
fraidfd78;FRA-IDF;D36;-78;;;fraidf.d003678;
fraidfd78;FRA-IDF;D37;-78;;;fraidf.d003778;
fraidfd78;FRA-IDF;D39;-78;;;fraidf.d003978;
fraidfd78;FRA-IDF;D40;-78;;;fraidf.d004078;
fraidfd78;FRA-IDF;D41;-78;;;fraidf.d004178;
fraidfd78;FRA-IDF;D42;-78;;;fraidf.d004278;
fraidfd78;FRA-IDF;D43;-78;;;fraidf.d004378;
fraidfd78;FRA-IDF;D44;-78;;;fraidf.d004478;
fraidfd78;FRA-IDF;D45;-78;;;fraidf.d004578;
fraidfd78;FRA-IDF;D46;-78;;;fraidf.d004678;
fraidfd78;FRA-IDF;D48;-78;;;fraidf.d004878;
fraidfd78;FRA-IDF;D51;-78;;;fraidf.d005178;
fraidfd78;FRA-IDF;D52;-78;;;fraidf.d005278;
fraidfd78;FRA-IDF;D53;-78;;;fraidf.d005378;
fraidfd78;FRA-IDF;D54;-78;;;fraidf.d005478;
fraidfd78;FRA-IDF;D55;-78;;;fraidf.d005578;
fraidfd78;FRA-IDF;D56;-78;;;fraidf.d005678;
fraidfd78;FRA-IDF;D57;-78;;;fraidf.d005778;
fraidfd78;FRA-IDF;D58;-78;;;fraidf.d005878;
fraidfd78;FRA-IDF;D59;-78;;;fraidf.d005978;
fraidfd78;FRA-IDF;D60;-78;;;fraidf.d006078;
fraidfd78;FRA-IDF;D61;-78;;Le Perray;fraidf.d006178;
fraidfd78;FRA-IDF;D61;-78;Hou;Houdan;fraidf.d006178hou;
fraidfd78;FRA-IDF;D62;-78;;;fraidf.d006278;
fraidfd78;FRA-IDF;D63;-78;;;fraidf.d006378;
fraidfd78;FRA-IDF;D65;-78;;;fraidf.d006578;
fraidfd78;FRA-IDF;D71;-78;;;fraidf.d007178;
fraidfd78;FRA-IDF;D72;-78;;;fraidf.d007278;
fraidfd78;FRA-IDF;D73;-78;;;fraidf.d007378;
fraidfd78;FRA-IDF;D74;-78;;;fraidf.d007478;
fraidfd78;FRA-IDF;D76;-78;;;fraidf.d007678;
fraidfd78;FRA-IDF;D80;-78;;;fraidf.d008078;
fraidfd78;FRA-IDF;D89;-78;;;fraidf.d008978;
fraidfd78;FRA-IDF;D91;-78;;;fraidf.d009178;
fraidfd78;FRA-IDF;D95;-78;;;fraidf.d009578;
fraidfd78;FRA-IDF;D97;-78;;;fraidf.d009778;
fraidfd78;FRA-IDF;D98;-78;;;fraidf.d009878;
fraidfd78;FRA-IDF;D100;-78;;;fraidf.d010078;
fraidfd78;FRA-IDF;D101;-78;;;fraidf.d010178;
fraidfd78;FRA-IDF;D102;-78;;;fraidf.d010278;
fraidfd78;FRA-IDF;D107;-78;;;fraidf.d010778;
fraidfd78;FRA-IDF;D108;-78;;;fraidf.d010878;
fraidfd78;FRA-IDF;D109;-78;;;fraidf.d010978;
fraidfd78;FRA-IDF;D110;-78;;;fraidf.d011078;
fraidfd78;FRA-IDF;D111;-78;;;fraidf.d011178;
fraidfd78;FRA-IDF;D112;-78;;;fraidf.d011278;
fraidfd78;FRA-IDF;D113;-78;;Mantes-la-Jolie;fraidf.d011378;
fraidfd78;FRA-IDF;D113;-78;Bou;Bougival;fraidf.d011378bou;
fraidfd78;FRA-IDF;D114;-78;;;fraidf.d011478;
fraidfd78;FRA-IDF;D115;-78;;Boissets;fraidf.d011578;
fraidfd78;FRA-IDF;D115;-78;Hou;Houdan;fraidf.d011578hou;
fraidfd78;FRA-IDF;D116;-78;;;fraidf.d011678;
fraidfd78;FRA-IDF;D117;-78;;;fraidf.d011778;
