systemName;route;banner;groupName;roots
fraidfd91;N7;-91;Orly;fraidf.n000791orl
fraidfd91;N7;-91;Évry;fraidf.n000791
fraidfd91;N20;-91;(Main);fraidf.n002091
fraidfd91;N20;-91;Massy;fraidf.n002091mas
fraidfd91;D1;-91;;fraidf.d000191
fraidfd91;D3;-91;;fraidf.d000391
fraidfd91;D5;-91;;fraidf.d000591
fraidfd91;D6;-91;;fraidf.d000691
fraidfd91;D8;-91;;fraidf.d000891
fraidfd91;D12;-91;;fraidf.d001291
fraidfd91;D17;-91;;fraidf.d001791
fraidfd91;D18;-91;;fraidf.d001891
fraidfd91;D19;-91;;fraidf.d001991
fraidfd91;D21;-91;;fraidf.d002191
fraidfd91;D24;-91;;fraidf.d002491
fraidfd91;D25;-91;;fraidf.d002591
fraidfd91;D25E;-91;Athis-Mons-West;fraidf.d0025e91
fraidfd91;D25E;-91;Athis-Mons-East;fraidf.d0025e91ath
fraidfd91;D26;-91;;fraidf.d002691
fraidfd91;D26Z;-91;;fraidf.d0026z91
fraidfd91;D27;-91;;fraidf.d002791
fraidfd91;D29;-91;;fraidf.d002991
fraidfd91;D31;-91;;fraidf.d003191
fraidfd91;D32;-91;Wissous;fraidf.d003291wis
fraidfd91;D32;-91;Yerres;fraidf.d003291
fraidfd91;D33;-91;;fraidf.d003391
fraidfd91;D35;-91;;fraidf.d003591
fraidfd91;D36;-91;;fraidf.d003691
fraidfd91;D38;-91;;fraidf.d003891
fraidfd91;D40;-91;;fraidf.d004091
fraidfd91;D41;-91;;fraidf.d004191
fraidfd91;D46;-91;;fraidf.d004691
fraidfd91;D49;-91;;fraidf.d004991
fraidfd91;D50;-91;;fraidf.d005091
fraidfd91;D52;-91;;fraidf.d005291
fraidfd91;D53;-91;;fraidf.d005391
fraidfd91;D54;-91;;fraidf.d005491
fraidfd91;D56;-91;;fraidf.d005691
fraidfd91;D57;-91;;fraidf.d005791
fraidfd91;D59;-91;;fraidf.d005991
fraidfd91;D59Z;-91;;fraidf.d0059z91
fraidfd91;D60;-91;Igny;fraidf.d006091
fraidfd91;D60;-91;Verrières-le-Buisson;fraidf.d006091ver
fraidfd91;D60Z;-91;;fraidf.d0060z91
fraidfd91;D63;-91;;fraidf.d006391
fraidfd91;D74;-91;;fraidf.d007491
fraidfd91;D75;-91;;fraidf.d007591
fraidfd91;D77;-91;;fraidf.d007791
fraidfd91;D82;-91;;fraidf.d008291
fraidfd91;D83;-91;;fraidf.d008391
fraidfd91;D87;-91;;fraidf.d008791
fraidfd91;D90;-91;;fraidf.d009091
fraidfd91;D91;-91;;fraidf.d009191
fraidfd91;D92;-91;;fraidf.d009291
fraidfd91;D93;-91;;fraidf.d009391
fraidfd91;D94;-91;;fraidf.d009491
fraidfd91;D94E;-91;;fraidf.d0094e91
fraidfd91;D95;-91;;fraidf.d009591
fraidfd91;D97;-91;;fraidf.d009791
fraidfd91;D99;-91;;fraidf.d009991
fraidfd91;D101;-91;;fraidf.d010191
fraidfd91;D105;-91;;fraidf.d010591
fraidfd91;D108;-91;;fraidf.d010891
fraidfd91;D113;-91;;fraidf.d011391
fraidfd91;D115;-91;;fraidf.d011591
fraidfd91;D116;-91;;fraidf.d011691
fraidfd91;D116D;-91;;fraidf.d0116d91
