systemName;region;route;banner;abbrev;city;root;altRouteNames
fran;FRA;N1;;;L'Isle-Adam;fra.n001;
fran;FRA;N1;;Ami;Amiens;fra.n001ami;
fran;FRA;N1;;Bou;Boulogne;fra.n001bou;
fran;FRA;N2;;;;fra.n002;
fran;FRA;N3;;;Meaux;fra.n003;
fran;FRA;N3;;Bon;Bondy;fra.n003bon;
fran;FRA;N4;;;;fra.n004;
fran;FRA;N4;;Sar;Sarrebourg;fra.n004sar;
fran;FRA;N4;;Wol;Wolfisheim;fra.n004wol;
fran;FRA;N5;;;;fra.n005;
fran;FRA;N6;;;Montgeron;fra.n006;
fran;FRA;N6;;Aux;Auxerre;fra.n006aux;
fran;FRA;N7;;Orl;Orly;fra.n007orl;
fran;FRA;N7;;;Roanne;fra.n007;
fran;FRA;N7;;Val;Valence;fra.n007val;
fran;FRA;N7;;Avi;Avignon;fra.n007avi;
fran;FRA;N9;;;;fra.n009;
fran;FRA;N10;;Ram;Rambouillet;fra.n010ram;
fran;FRA;N10;;Ven;Vendome;fra.n010ven;
fran;FRA;N10;;;Anglomene;fra.n010;
fran;FRA;N11;;;;fra.n011;
fran;FRA;N12;;Ale;Alecon;fra.n012ale;
fran;FRA;N12;;;Saint-Brieuc;fra.n012;
fran;FRA;N13;;Neu;Neuilly-sur-Seine;fra.n013neu;
fran;FRA;N13;;Man;Mantes-la-Jolie;fra.n013man;
fran;FRA;N13;;Evr;Evreux;fra.n013evr;
fran;FRA;N13;;;Cherbourg;fra.n013;
fran;FRA;N14;;;;fra.n014;
fran;FRA;N15;;;;fra.n015;
fran;FRA;N17;;;;fra.n017;
fran;FRA;N19;;Mar;Marolles-en-Brie;fra.n019mar;
fran;FRA;N19;;;Vesoul;fra.n019;
fran;FRA;N20;;;;fra.n020;
fran;FRA;N21;;Lim;Limoges;fra.n021lim;
fran;FRA;N21;;;Bergerac;fra.n021;
fran;FRA;N21;;Auc;Auch;fra.n021auc;
fran;FRA;N22;;;;fra.n022;
fran;FRA;N24;;;;fra.n024;
fran;FRA;N25;;;;fra.n025;
fran;FRA;N27;;;;fra.n027;
fran;FRA;N28;;;;fra.n028;
fran;FRA;N31;;;;fra.n031;
fran;FRA;N33;;;;fra.n033;
fran;FRA;N36;;;;fra.n036;
fran;FRA;N37;;;;fra.n037;
fran;FRA;N41;;;;fra.n041;
fran;FRA;N42;;;;fra.n042;
fran;FRA;N43;;;Charleville-Mezieres;fra.n043;
fran;FRA;N43;;Sed;Sedan;fra.n043sed;
fran;FRA;N44;;;;fra.n044;
fran;FRA;N47;;;;fra.n047;
fran;FRA;N51;;Ret;Rethel;fra.n051ret;
fran;FRA;N51;;;Roucroi;fra.n051;
fran;FRA;N52;;;Longwy;fra.n052;
fran;FRA;N52;;Rom;Rombas;fra.n052rom;
fran;FRA;N57;;;;fra.n057;
fran;FRA;N58;;;;fra.n058;
fran;FRA;N59;;;Luneville;fra.n059;
fran;FRA;N59;;Sel;Selestat;fra.n059sel;
fran;FRA;N61;;;;fra.n061;
fran;FRA;N61A;;;;fra.n061a;
fran;FRA;N65;;;;fra.n065;
fran;FRA;N66;;;;fra.n066;
fran;FRA;N67;;;;fra.n067;
fran;FRA;N70;;;;fra.n070;
fran;FRA;N77;;;;fra.n077;
fran;FRA;N79;;;;fra.n079;
fran;FRA;N80;;;;fra.n080;
fran;FRA;N82;;;;fra.n082;
fran;FRA;N83;;Str;Strasbourg;fra.n083str;
fran;FRA;N83;;Gue;Guemar;fra.n083gue;
fran;FRA;N83;;;Poligny;fra.n083;
fran;FRA;N85;;;Gap;fra.n085;
fran;FRA;N85;;Dig;Digne-les-Bains;fra.n085dig;
fran;FRA;N86;;;;fra.n086;
fran;FRA;N87;;;;fra.n087;
fran;FRA;N88;;;Le Puy-en-Velay;fra.n088;
