system;route;banner;name;roots
franaqd17;D1;-17;;franaq.d000117
franaqd17;D2;-17;Saint-Genis-de-Saintonge;franaq.d000217
franaqd17;D2;-17;Meux;franaq.d000217meu
franaqd17;D2E1;-17;;franaq.d0002e117
franaqd17;D3;-17;;franaq.d000317
franaqd17;D5;-17;;franaq.d000517
franaqd17;D6;-17;;franaq.d000617
franaqd17;D9;-17;;franaq.d000917
franaqd17;D10;-17;;franaq.d001017
franaqd17;D14;-17;;franaq.d001417
franaqd17;D14E1;-17;;franaq.d0014e117
franaqd17;D17;-17;;franaq.d001717
franaqd17;D18;-17;;franaq.d001817
franaqd17;D19;-17;Villexavier;franaq.d001917
franaqd17;D19;-17;Montendre;franaq.d001917mon
franaqd17;D20;-17;;franaq.d002017
franaqd17;D21;-17;;franaq.d002117
franaqd17;D23;-17;;franaq.d002317
franaqd17;D24;-17;;franaq.d002417
franaqd17;D25;-17;;franaq.d002517
franaqd17;D25E;-17;;franaq.d0025e17
franaqd17;D26;-17;;franaq.d002617
franaqd17;D26E1;-17;;franaq.d0026e117
franaqd17;D26E2;-17;;franaq.d0026e217
franaqd17;D26E3;-17;;franaq.d0026e317
franaqd17;D28;-17;;franaq.d002817
franaqd17;D28E1;-17;;franaq.d0028e117
franaqd17;D50;-17;;franaq.d005017
franaqd17;D51;-17;;franaq.d005117
franaqd17;D52;-17;;franaq.d005217
franaqd17;D101;-17;;franaq.d010117
franaqd17;D101E;-17;;franaq.d0101e17
franaqd17;D102;-17;;franaq.d010217
franaqd17;D103;-17;;franaq.d010317
franaqd17;D104;-17;;franaq.d010417
franaqd17;D104E2;-17;;franaq.d0104e217
franaqd17;D105;-17;;franaq.d010517
franaqd17;D106;-17;;franaq.d010617
franaqd17;D106E1;-17;;franaq.d0106e117
franaqd17;D106E2;-17;;franaq.d0106e217
franaqd17;D106E3;-17;;franaq.d0106e317
franaqd17;D107;-17;;franaq.d010717
franaqd17;D107E;-17;;franaq.d0107e17
franaqd17;D107E1;-17;;franaq.d0107e117
franaqd17;D107E2;-17;;franaq.d0107e217
franaqd17;D107E3;-17;;franaq.d0107e317
franaqd17;D107E4;-17;;franaq.d0107e417
franaqd17;D107E5;-17;;franaq.d0107e517
franaqd17;D108;-17;;franaq.d010817
franaqd17;D108E1;-17;;franaq.d0108e117
franaqd17;D108E2;-17;;franaq.d0108e217
franaqd17;D108E3;-17;;franaq.d0108e317
franaqd17;D109;-17;;franaq.d010917
franaqd17;D109E1;-17;Saint-Jean-de-Liversay;franaq.d0109e117
franaqd17;D109E1;-17;Longèves;franaq.d0109e117lon
franaqd17;D110;-17;;franaq.d011017
franaqd17;D110E2;-17;;franaq.d0110e217
franaqd17;D111;-17;Ciré-d'Aunis;franaq.d011117
franaqd17;D111;-17;Marsais;franaq.d011117mar
franaqd17;D112;-17;;franaq.d011217
franaqd17;D112E1;-17;;franaq.d0112e117
franaqd17;D113;-17;Saint-Vivien;franaq.d011317viv
franaqd17;D113;-17;Thairé;franaq.d011317tha
franaqd17;D113;-17;Virson;franaq.d011317
franaqd17;D113E2;-17;;franaq.d0113e217
franaqd17;D113E3;-17;;franaq.d0113e317
franaqd17;D114;-17;Courçon;franaq.d011417
franaqd17;D114;-17;Vandré;franaq.d011417van
franaqd17;D114;-17;Saint-Savinien;franaq.d011417sav
franaqd17;D114;-17;Cozes;franaq.d011417coz
franaqd17;D114E;-17;;franaq.d0114e17
franaqd17;D114E3;-17;;franaq.d0114e317
franaqd17;D114E9;-17;;franaq.d0114e917
franaqd17;D115;-17;Saint-Félix;franaq.d011517
franaqd17;D115;-17;Vinax;franaq.d011517vin
franaqd17;D115E2;-17;;franaq.d0115e217
franaqd17;D116;-17;;franaq.d011617
franaqd17;D116E1;-17;;franaq.d0116e117
franaqd17;D116E2;-17;;franaq.d0116e217
franaqd17;D116E3;-17;;franaq.d0116e317
franaqd17;D117;-17;Muron;franaq.d011717mur
franaqd17;D117;-17;Pont-l'Abbé-d'Arnoult;franaq.d011717
franaqd17;D117;-17;Semussac;franaq.d011717sem
franaqd17;D117E1;-17;;franaq.d0117e117
franaqd17;D117E2;-17;;franaq.d0117e217
franaqd17;D117E3;-17;;franaq.d0117e317
franaqd17;D117E4;-17;;franaq.d0117e417
franaqd17;D118;-17;;franaq.d011817
franaqd17;D119;-17;;franaq.d011917
franaqd17;D119E1;-17;;franaq.d0119e117
franaqd17;D119E2;-17;;franaq.d0119e217
franaqd17;D119E3;-17;;franaq.d0119e317
franaqd17;D120;-17;Courant;franaq.d012017cou
franaqd17;D120;-17;Sainte-Même;franaq.d012017
franaqd17;D120E2;-17;;franaq.d0120e217
