system;route;banner;name;roots
franord14;D1;-14;;franor.d000114
franord14;D2;-14;;franor.d000214
franord14;D4;-14;;franor.d000414
franord14;D4A;-14;;franor.d0004a14
franord14;D5;-14;;franor.d000514
franord14;D5A;-14;;franor.d0005a14
franord14;D6;-14;Port-en-Bessin-Huppain;franor.d000614por
franord14;D6;-14;Villers-Bocage;franor.d000614
franord14;D6A;-14;Port-en-Bessin-Huppain;franor.d0006a14por
franord14;D6A;-14;Villers-Bocage;franor.d0006a14
franord14;D7;-14;;franor.d000714
franord14;D7B;-14;;franor.d0007b14
franord14;D7D;-14;;franor.d0007d14
franord14;D8;-14;;franor.d000814
franord14;D9;-14;;franor.d000914
franord14;D9A;-14;;franor.d0009a14
franord14;D10;-14;;franor.d001014
franord14;D11;-14;;franor.d001114
franord14;D12;-14;;franor.d001214
franord14;D13;-14;;franor.d001314
franord14;D15;-14;;franor.d001514
franord14;D16;-14;;franor.d001614
franord14;D17;-14;;franor.d001714
franord14;D18;-14;;franor.d001814
franord14;D18A;-14;;franor.d0018a14
franord14;D27;-14;;franor.d002714
franord14;D27A;-14;;franor.d0027a14
franord14;D27B;-14;;franor.d0027b14
franord14;D40;-14;Airan;franor.d004014
franord14;D40;-14;Ecots;franor.d004014eco
franord14;D40A;-14;;franor.d0040a14
franord14;D40B;-14;;franor.d0040b14
franord14;D45;-14;;franor.d004514
franord14;D45A;-14;;franor.d0045a14
franord14;D45B;-14;;franor.d0045b14
franord14;D45C;-14;;franor.d0045c14
franord14;D45D;-14;;franor.d0045d14
franord14;D45E;-14;;franor.d0045e14
franord14;D69;-14;;franor.d006914
franord14;D74;-14;;franor.d007414
franord14;D84;-14;Luc-sur-Mer;franor.d008414
franord14;D84;-14;Ouistreham;franor.d008414oui
franord14;D164;-14;;franor.d016414
franord14;D164A;-14;;franor.d0164a14
franord14;D164B;-14;;franor.d0164b14
franord14;D400;-14;;franor.d040014
franord14;D400A;-14;;franor.d0400a14
franord14;D400B;-14;;franor.d0400b14
franord14;D401;-14;;franor.d040114
franord14;D402;-14;;franor.d040214
franord14;D403;-14;;franor.d040314
franord14;D404;-14;;franor.d040414
franord14;D405;-14;;franor.d040514
franord14;D406;-14;;franor.d040614
franord14;D407;-14;;franor.d040714
franord14;D509;-14;;franor.d050914
franord14;D510;-14;;franor.d051014
franord14;D511;-14;Condé-sur-Noireau;franor.d051114con
franord14;D511;-14;Saint-Pierre-sur-Dives;franor.d051114
franord14;D512;-14;;franor.d051214
franord14;D513;-14;;franor.d051314
franord14;D513A;-14;Colombelles;franor.d0513a14
franord14;D513A;-14;Dives-sur-Mer;franor.d0513a14div
franord14;D514;-14;;franor.d051414
franord14;D514A;-14;;franor.d0514a14
franord14;D515;-14;;franor.d051514
franord14;D516;-14;;franor.d051614
franord14;D517;-14;;franor.d051714
franord14;D519;-14;;franor.d051914
franord14;D524;-14;;franor.d052414
franord14;D534;-14;;franor.d053414
franord14;D535;-14;;franor.d053514
franord14;D562;-14;;franor.d056214
franord14;D562A;-14;;franor.d0562a14
franord14;D562B;-14;;franor.d0562b14
franord14;D572;-14;;franor.d057214
franord14;D572A;-14;;franor.d0572a14
franord14;D577;-14;;franor.d057714
franord14;D577A;-14;;franor.d0577a14
franord14;D579;-14;(Main);franor.d057914
franord14;D579;-14;Pont-l’Évêque;franor.d057914pon
franord14;D579A;-14;Honfleur;franor.d0579a14
franord14;D579A;-14;Manneville-la-Pipard;franor.d0579a14man
franord14;D579A;-14;Le Breuil-en-Auge;franor.d0579a14bre
franord14;D579A;-14;Ouilly-le-Vicomte;franor.d0579a14oui
franord14;D579A;-14;Livarot;franor.d0579a14liv
franord14;D579B;-14;;franor.d0579b14
franord14;D580;-14;;franor.d058014
franord14;D580A;-14;;franor.d0580a14
franord14;D613;-14;Bayeux;franor.d061314bay
franord14;D613;-14;Lisieux;franor.d061314
franord14;D613A;-14;;franor.d0613a14
franord14;D658;-14;;franor.d065814
franord14;D658A;-14;;franor.d0658a14
franord14;D674;-14;;franor.d067414
franord14;D675;-14;Villers-Bocage;franor.d067514vil
franord14;D675;-14;Dozulé;franor.d067514
franord14;D675A;-14;;franor.d0675a14
franord14;D677;-14;;franor.d067714
franord14;D800;-14;;franor.d080014
