system;region;route;banner;abbreviation;city;fileNameRoot;altRouteNames
franord27;FRA-NOR;D1;-27;;;franor.d000127;
franord27;FRA-NOR;D1E;-27;;;franor.d0001e27;
franord27;FRA-NOR;D2;-27;;;franor.d000227;
franord27;FRA-NOR;D2E;-27;;;franor.d0002e27;
franord27;FRA-NOR;D3;-27;;;franor.d000327;
franord27;FRA-NOR;D4;-27;;;franor.d000427;
franord27;FRA-NOR;D5;-27;;;franor.d000527;
franord27;FRA-NOR;D6;-27;;;franor.d000627;
franord27;FRA-NOR;D7;-27;;;franor.d000727;
franord27;FRA-NOR;D8;-27;;;franor.d000827;
franord27;FRA-NOR;D8E;-27;;;franor.d0008e27;
franord27;FRA-NOR;D9;-27;And;Les Andelys;franor.d000927and;
franord27;FRA-NOR;D9;-27;;Cahaignes;franor.d000927;
franord27;FRA-NOR;D10;-27;;;franor.d001027;
franord27;FRA-NOR;D11;-27;;;franor.d001127;
franord27;FRA-NOR;D12;-27;;;franor.d001227;
franord27;FRA-NOR;D13;-27;;;franor.d001327;
franord27;FRA-NOR;D14;-27;;;franor.d001427;
franord27;FRA-NOR;D14B;-27;;;franor.d0014b27;
franord27;FRA-NOR;D14E;-27;;;franor.d0014e27;
franord27;FRA-NOR;D15;-27;;;franor.d001527;
franord27;FRA-NOR;D15B;-27;Bou;Bouchevilliers;franor.d0015b27bou;
franord27;FRA-NOR;D15B;-27;;Gisors;franor.d0015b27;
franord27;FRA-NOR;D16;-27;;;franor.d001627;
franord27;FRA-NOR;D17;-27;;;franor.d001727;
franord27;FRA-NOR;D18;-27;;;franor.d001827;
franord27;FRA-NOR;D18E;-27;;;franor.d0018e27;
franord27;FRA-NOR;D19;-27;;;franor.d001927;
franord27;FRA-NOR;D19E;-27;;;franor.d0019e27;
franord27;FRA-NOR;D20;-27;;;franor.d002027;
franord27;FRA-NOR;D21;-27;;;franor.d002127;
franord27;FRA-NOR;D22;-27;Beu;Beuzeville;franor.d002227beu;
franord27;FRA-NOR;D22;-27;;Thiberville;franor.d002227;
franord27;FRA-NOR;D22;-27;Pie;Saint-Pierre-du-Mesnil;franor.d002227pie;
franord27;FRA-NOR;D23;-27;;;franor.d002327;
franord27;FRA-NOR;D23A;-27;;;franor.d0023a27;
franord27;FRA-NOR;D23E;-27;Fon;Fontaine-la-Soret;franor.d0023e27fon;
franord27;FRA-NOR;D23E;-27;;Tillières-sur-Avre;franor.d0023e27;
franord27;FRA-NOR;D24;-27;;Serquigny;franor.d002427;
franord27;FRA-NOR;D24;-27;Ces;Cesseville;franor.d002427ces;
franord27;FRA-NOR;D25;-27;;;franor.d002527;
franord27;FRA-NOR;D26;-27;Giv;Giverville;franor.d002627giv;
franord27;FRA-NOR;D26;-27;;La Haye-du-Theil;franor.d002627;
franord27;FRA-NOR;D27;-27;;;franor.d002727;
franord27;FRA-NOR;D28;-27;;;franor.d002827;
franord27;FRA-NOR;D29;-27;;;franor.d002927;
franord27;FRA-NOR;D62;-27;;;franor.d006227;
franord27;FRA-NOR;D93;-27;;;franor.d009327;
franord27;FRA-NOR;D113;-27;;;franor.d011327;
