system;route;banner;name;roots
frapacd04;D1;-04;Bayons;frapac.d000104
frapacd04;D1;-04;Saint-Martin-lès-Seyne;frapac.d000104mar
frapacd04;D2;-04;Villars-Colmars;frapac.d000204vil
frapacd04;D2;-04;Saint-André-les-Alpes;frapac.d000204
frapacd04;D3;-04;;frapac.d000304
frapacd04;D4;-04;Venterol;frapac.d000404ven
frapacd04;D4;-04;Malijai;frapac.d000404
frapacd04;D4;-04;Sisteron;frapac.d000404sis
frapacd04;D4A;-04;;frapac.d0004a04
frapacd04;D4B;-04;;frapac.d0004b04
frapacd04;D5;-04;;frapac.d000504
frapacd04;D6;-04;;frapac.d000604
frapacd04;D6A;-04;;frapac.d0006a04
frapacd04;D7;-04;Pontis;frapac.d000704pon
frapacd04;D7;-04;La Bréole;frapac.d000704
frapacd04;D7;-04;Auzet;frapac.d000704auz
frapacd04;D8;-04;;frapac.d000804
frapacd04;D9;-04;;frapac.d000904
frapacd04;D10;-04;;frapac.d001004
frapacd04;D11;-04;;frapac.d001104
frapacd04;D12;-04;Forcalquier;frapac.d001204
frapacd04;D12;-04;Malijai;frapac.d001204mal
frapacd04;D12A;-04;;frapac.d0012a04
frapacd04;D13;-04;;frapac.d001304
frapacd04;D14;-04;;frapac.d001404
frapacd04;D15;-04;;frapac.d001504
frapacd04;D16;-04;;frapac.d001604
frapacd04;D17;-04;Mallemoisson;frapac.d001704
frapacd04;D17;-04;Rougon;frapac.d001704rou
frapacd04;D18;-04;Simiane-la-Rotonde;frapac.d001804
frapacd04;D18;-04;Revest-des-Brousses;frapac.d001804rev
frapacd04;D18A;-04;;frapac.d0018a04
frapacd04;D19;-04;Digne-les-Bains;frapac.d001904dig
frapacd04;D19;-04;Clumanc;frapac.d001904
frapacd04;D20;-04;;frapac.d002004
frapacd04;D21;-04;Senez;frapac.d002104sen
frapacd04;D21;-04;Blieux;frapac.d002104
frapacd04;D22;-04;;frapac.d002204
frapacd04;D23;-04;;frapac.d002304
frapacd04;D23A;-04;;frapac.d0023a04
frapacd04;D24;-04;;frapac.d002404
frapacd04;D25;-04;;frapac.d002504
frapacd04;D27;-04;;frapac.d002704
frapacd04;D29;-04;;frapac.d002904
frapacd04;D30;-04;;frapac.d003004
frapacd04;D31;-04;;frapac.d003104
frapacd04;D32;-04;;frapac.d003204
frapacd04;D33;-04;;frapac.d003304
frapacd04;D34;-04;;frapac.d003404
frapacd04;D51;-04;;frapac.d005104
frapacd04;D52;-04;;frapac.d005204
frapacd04;D53;-04;;frapac.d005304
frapacd04;D56;-04;;frapac.d005604
frapacd04;D82;-04;;frapac.d008204
frapacd04;D900;-04;;frapac.d090004
frapacd04;D900A;-04;;frapac.d0900a04
frapacd04;D900B;-04;;frapac.d0900b04
frapacd04;D900C;-04;;frapac.d0900c04
frapacd04;D902;-04;;frapac.d090204
frapacd04;D904;-04;;frapac.d090404
frapacd04;D907;-04;;frapac.d090704
frapacd04;D908;-04;;frapac.d090804
frapacd04;D908A;-04;;frapac.d0908a04
frapacd04;D911;-04;;frapac.d091104
frapacd04;D946;-04;Les Omergues;frapac.d094604ome
frapacd04;D946;-04;Noyers-sur-Jabron;frapac.d094604
frapacd04;D948;-04;;frapac.d094804
frapacd04;D950;-04;;frapac.d095004
frapacd04;D951;-04;Sisteron;frapac.d095104
frapacd04;D951;-04;Mallefougasse-Augès;frapac.d095104mal
frapacd04;D951A;-04;;frapac.d0951a04
frapacd04;D952;-04;;frapac.d095204
frapacd04;D953;-04;;frapac.d095304
frapacd04;D954;-04;;frapac.d095404
frapacd04;D955;-04;Saint-André-les-Alpes;frapac.d095504
frapacd04;D955;-04;Rougon;frapac.d095504rou
frapacd04;D956;-04;;frapac.d095604
frapacd04;D957;-04;;frapac.d095704
frapacd04;D2211;-04;;frapac.d221104
frapacd04;D4075;-04;;frapac.d407504
frapacd04;D4085;-04;Sisteron;frapac.d408504sis
frapacd04;D4085;-04;Castellane;frapac.d408504
frapacd04;D4096;-04;;frapac.d409604
frapacd04;D4100;-04;;frapac.d410004
frapacd04;D4202;-04;;frapac.d420204
