system;region;route;banner;abbreviation;city;fileNameRoot;altRouteNames
frapacd13;FRA-PAC;D8N;-13;;;frapac.d0008n13;
frapacd13;FRA-PAC;D35;-13;;;frapac.d003513;
frapacd13;FRA-PAC;D35B;-13;;;frapac.d0035b13;
frapacd13;FRA-PAC;D36;-13;;;frapac.d003613;
frapacd13;FRA-PAC;D36B;-13;;;frapac.d0036b13;
frapacd13;FRA-PAC;D36C;-13;;;frapac.d0036c13;
frapacd13;FRA-PAC;D36D;-13;;;frapac.d0036d13;
frapacd13;FRA-PAC;D268;-13;;;frapac.d026813;
frapacd13;FRA-PAC;D570;-13;;;frapac.d057013;
frapacd13;FRA-PAC;D572N;-13;;;frapac.d0572n13;
