system;region;route;banner;abbreviation;city;fileNameRoot;altRouteNames
frapdld72;FRA-PDL;D1;-72;;;frapdl.d000172;
frapdld72;FRA-PDL;D2;-72;;;frapdl.d000272;
frapdld72;FRA-PDL;D3;-72;;;frapdl.d000372;
frapdld72;FRA-PDL;D4;-72;;;frapdl.d000472;
frapdld72;FRA-PDL;D5;-72;;;frapdl.d000572;
frapdld72;FRA-PDL;D6;-72;;;frapdl.d000672;
frapdld72;FRA-PDL;D6B;-72;;;frapdl.d0006b72;
frapdld72;FRA-PDL;D7;-72;;Saint-Aubin-des-Coudrais;frapdl.d000772;
frapdld72;FRA-PDL;D7;-72;Cou;Courgenard;frapdl.d000772cou;
frapdld72;FRA-PDL;D7B;-72;;;frapdl.d0007b72;
frapdld72;FRA-PDL;D8;-72;;;frapdl.d000872;
frapdld72;FRA-PDL;D9;-72;;La Chartre-sur-le-Loir;frapdl.d000972;
frapdld72;FRA-PDL;D9;-72;Bea;Beaumont-sur-Dême;frapdl.d000972bea;
frapdld72;FRA-PDL;D10;-72;;Nogent-sur-Loir;frapdl.d001072;
frapdld72;FRA-PDL;D10;-72;Che;Chenu;frapdl.d001072che;
frapdld72;FRA-PDL;D11;-72;;;frapdl.d001172;
frapdld72;FRA-PDL;D12;-72;;;frapdl.d001272;
frapdld72;FRA-PDL;D13;-72;;;frapdl.d001372;
frapdld72;FRA-PDL;D13B;-72;;;frapdl.d0013b72;
frapdld72;FRA-PDL;D14;-72;;;frapdl.d001472;
frapdld72;FRA-PDL;D15;-72;;;frapdl.d001572;
frapdld72;FRA-PDL;D16;-72;;;frapdl.d001672;
frapdld72;FRA-PDL;D17;-72;;;frapdl.d001772;
frapdld72;FRA-PDL;D18;-72;;;frapdl.d001872;
frapdld72;FRA-PDL;D19;-72;;;frapdl.d001972;
frapdld72;FRA-PDL;D20;-72;;;frapdl.d002072;
frapdld72;FRA-PDL;D20B;-72;;;frapdl.d0020b72;
frapdld72;FRA-PDL;D20T;-72;;;frapdl.d0020t72;
frapdld72;FRA-PDL;D21;-72;;Conlie;frapdl.d002172;
frapdld72;FRA-PDL;D21;-72;Mar;Mareil-en-Champagne;frapdl.d002172mar;
frapdld72;FRA-PDL;D21B;-72;;;frapdl.d0021b72;
frapdld72;FRA-PDL;D22;-72;;;frapdl.d002272;
frapdld72;FRA-PDL;D23;-72;;;frapdl.d002372;
frapdld72;FRA-PDL;D24;-72;;Sablé-sur-Sarthe;frapdl.d002472;
frapdld72;FRA-PDL;D24;-72;Cha;La Chapelle-d'Aligné;frapdl.d002472cha;
frapdld72;FRA-PDL;D25;-72;;;frapdl.d002572;
frapdld72;FRA-PDL;D26;-72;;;frapdl.d002672;
frapdld72;FRA-PDL;D27;-72;;;frapdl.d002772;
frapdld72;FRA-PDL;D27B;-72;;;frapdl.d0027b72;
frapdld72;FRA-PDL;D28;-72;;;frapdl.d002872;
frapdld72;FRA-PDL;D29;-72;;;frapdl.d002972;
frapdld72;FRA-PDL;D29B;-72;;;frapdl.d0029b72;
frapdld72;FRA-PDL;D30;-72;;;frapdl.d003072;
frapdld72;FRA-PDL;D31;-72;;;frapdl.d003172;
frapdld72;FRA-PDL;D32;-72;;;frapdl.d003272;
frapdld72;FRA-PDL;D33;-72;;;frapdl.d003372;
frapdld72;FRA-PDL;D34;-72;;;frapdl.d003472;
frapdld72;FRA-PDL;D35;-72;;;frapdl.d003572;
frapdld72;FRA-PDL;D36;-72;;Préval;frapdl.d003672;
frapdld72;FRA-PDL;D36;-72;Ech;Saint-Jean-des-Échelles;frapdl.d003672ech;
frapdld72;FRA-PDL;D36;-72;Mel;Melleray;frapdl.d003672mel;
frapdld72;FRA-PDL;D37;-72;;;frapdl.d003772;
frapdld72;FRA-PDL;D38;-72;;;frapdl.d003872;
frapdld72;FRA-PDL;D38B;-72;;;frapdl.d0038b72;
frapdld72;FRA-PDL;D38T;-72;;;frapdl.d0038t72;
frapdld72;FRA-PDL;D39;-72;;;frapdl.d003972;
frapdld72;FRA-PDL;D40;-72;;;frapdl.d004072;
frapdld72;FRA-PDL;D41;-72;;;frapdl.d004172;
frapdld72;FRA-PDL;D42;-72;;;frapdl.d004272;
frapdld72;FRA-PDL;D43;-72;;;frapdl.d004372;
frapdld72;FRA-PDL;D43B;-72;;;frapdl.d0043b72;
frapdld72;FRA-PDL;D44;-72;;;frapdl.d004472;
frapdld72;FRA-PDL;D44B;-72;;;frapdl.d0044b72;
frapdld72;FRA-PDL;D45;-72;;;frapdl.d004572;
frapdld72;FRA-PDL;D45B;-72;;;frapdl.d0045b72;
frapdld72;FRA-PDL;D46;-72;;;frapdl.d004672;
frapdld72;FRA-PDL;D47;-72;;;frapdl.d004772;
frapdld72;FRA-PDL;D48;-72;;;frapdl.d004872;
frapdld72;FRA-PDL;D49;-72;;;frapdl.d004972;
frapdld72;FRA-PDL;D50;-72;;;frapdl.d005072;
frapdld72;FRA-PDL;D50B;-72;;;frapdl.d0050b72;
frapdld72;FRA-PDL;D51;-72;;;frapdl.d005172;
frapdld72;FRA-PDL;D51B;-72;;;frapdl.d0051b72;
frapdld72;FRA-PDL;D52;-72;Tho;Thorigné-sur-Dué;frapdl.d005272tho;
frapdld72;FRA-PDL;D52;-72;;Parigné-l'Évêque;frapdl.d005272;
frapdld72;FRA-PDL;D52B;-72;;;frapdl.d0052b72;
frapdld72;FRA-PDL;D52T;-72;;;frapdl.d0052t72;
frapdld72;FRA-PDL;D53;-72;;;frapdl.d005372;
frapdld72;FRA-PDL;D54;-72;;;frapdl.d005472;
frapdld72;FRA-PDL;D54B;-72;;;frapdl.d0054b72;
frapdld72;FRA-PDL;D55;-72;;Rouessé-Fontaine;frapdl.d005572;
frapdld72;FRA-PDL;D55;-72;Viv;Vivoin;frapdl.d005572viv;
frapdld72;FRA-PDL;D55B;-72;;;frapdl.d0055b72;
frapdld72;FRA-PDL;D55P;-72;;;frapdl.d0055p72;
frapdld72;FRA-PDL;D56;-72;;;frapdl.d005672;
frapdld72;FRA-PDL;D56B;-72;;;frapdl.d0056b72;
frapdld72;FRA-PDL;D57;-72;;;frapdl.d005772;
frapdld72;FRA-PDL;D57B;-72;;;frapdl.d0057b72;
frapdld72;FRA-PDL;D58;-72;;;frapdl.d005872;
frapdld72;FRA-PDL;D58B;-72;;;frapdl.d0058b72;
frapdld72;FRA-PDL;D59;-72;;;frapdl.d005972;
frapdld72;FRA-PDL;D59B;-72;;;frapdl.d0059b72;
frapdld72;FRA-PDL;D60;-72;;Nogent-le-Bernard;frapdl.d006072;
frapdld72;FRA-PDL;D60;-72;Cel;Saint-Célerin;frapdl.d006072cel;
frapdld72;FRA-PDL;D60A;-72;;;frapdl.d0060a72;
frapdld72;FRA-PDL;D60B;-72;;;frapdl.d0060b72;
frapdld72;FRA-PDL;D61;-72;;;frapdl.d006172;
frapdld72;FRA-PDL;D61B;-72;;;frapdl.d0061b72;
frapdld72;FRA-PDL;D62;-72;;;frapdl.d006272;
frapdld72;FRA-PDL;D63;-72;;;frapdl.d006372;
frapdld72;FRA-PDL;D63B;-72;;;frapdl.d0063b72;
frapdld72;FRA-PDL;D63BP;-72;;;frapdl.d0063bp72;
frapdld72;FRA-PDL;D64;-72;;;frapdl.d006472;
frapdld72;FRA-PDL;D64B;-72;;;frapdl.d0064b72;
frapdld72;FRA-PDL;D64BC;-72;;;frapdl.d0064bc72;
frapdld72;FRA-PDL;D65;-72;;;frapdl.d006572;
frapdld72;FRA-PDL;D66;-72;;Montreuil-le-Henri;frapdl.d006672;
frapdld72;FRA-PDL;D66;-72;Bes;Bessé-sur-Braye;frapdl.d006672bes;
frapdld72;FRA-PDL;D67;-72;;;frapdl.d006772;
frapdld72;FRA-PDL;D68;-72;;;frapdl.d006872;
frapdld72;FRA-PDL;D68B;-72;;;frapdl.d0068b72;
frapdld72;FRA-PDL;D69;-72;Auv;Auvers-sous-Montfaucon;frapdl.d006972auv;
frapdld72;FRA-PDL;D69;-72;;Pirmil;frapdl.d006972;
frapdld72;FRA-PDL;D70;-72;;;frapdl.d007072;
frapdld72;FRA-PDL;D71;-72;;;frapdl.d007172;
frapdld72;FRA-PDL;D72;-72;;;frapdl.d007272;
frapdld72;FRA-PDL;D72P;-72;;;frapdl.d0072p72;
frapdld72;FRA-PDL;D73;-72;;;frapdl.d007372;
frapdld72;FRA-PDL;D73B;-72;;;frapdl.d0073b72;
frapdld72;FRA-PDL;D74;-72;;;frapdl.d007472;
frapdld72;FRA-PDL;D74B;-72;;;frapdl.d0074b72;
frapdld72;FRA-PDL;D75;-72;;;frapdl.d007572;
frapdld72;FRA-PDL;D75P;-72;;;frapdl.d0075p72;
frapdld72;FRA-PDL;D76;-72;;;frapdl.d007672;
frapdld72;FRA-PDL;D76B;-72;;;frapdl.d0076b72;
frapdld72;FRA-PDL;D77;-72;;;frapdl.d007772;
frapdld72;FRA-PDL;D77B;-72;;;frapdl.d0077b72;
frapdld72;FRA-PDL;D78;-72;;;frapdl.d007872;
frapdld72;FRA-PDL;D78B;-72;;;frapdl.d0078b72;
frapdld72;FRA-PDL;D79;-72;;;frapdl.d007972;
frapdld72;FRA-PDL;D80;-72;;;frapdl.d008072;
frapdld72;FRA-PDL;D80P;-72;;;frapdl.d0080p72;
frapdld72;FRA-PDL;D81;-72;;;frapdl.d008172;
frapdld72;FRA-PDL;D82;-72;;;frapdl.d008272;
frapdld72;FRA-PDL;D83;-72;;;frapdl.d008372;
frapdld72;FRA-PDL;D83B;-72;;;frapdl.d0083b72;
frapdld72;FRA-PDL;D84;-72;;;frapdl.d008472;
frapdld72;FRA-PDL;D85;-72;;;frapdl.d008572;
frapdld72;FRA-PDL;D85B;-72;;;frapdl.d0085b72;
frapdld72;FRA-PDL;D86;-72;;;frapdl.d008672;
frapdld72;FRA-PDL;D87;-72;;;frapdl.d008772;
