system;route;banner;name;roots
frapdlm44;M9;-44;;frapdl.m000944
frapdlm44;M11;-44;Bouaye;frapdl.m001144
frapdlm44;M11;-44;Les Sorinières;frapdl.m001144sor
frapdlm44;M17;-44;;frapdl.m001744
frapdlm44;M26;-44;;frapdl.m002644
frapdlm44;M31;-44;;frapdl.m003144
frapdlm44;M37;-44;;frapdl.m003744
frapdlm44;M37A;-44;;frapdl.m0037a44
frapdlm44;M39;-44;La Chapelle-sur-Erdre-North;frapdl.m003944
frapdlm44;M39;-44;La Chapelle-sur-Erdre-South;frapdl.m003944chs
frapdlm44;M39A;-44;;frapdl.m0039a44
frapdlm44;M42;-44;;frapdl.m004244
frapdlm44;M49;-44;;frapdl.m004944
frapdlm44;M57;-44;;frapdl.m005744
frapdlm44;M57A;-44;;frapdl.m0057a44
frapdlm44;M58;-44;Le Pellerin;frapdl.m005844pel
frapdlm44;M58;-44;Vertou;frapdl.m005844
frapdlm44;M59;-44;;frapdl.m005944
frapdlm44;M64;-44;;frapdl.m006444
frapdlm44;M65;-44;;frapdl.m006544
frapdlm44;M68;-44;;frapdl.m006844
frapdlm44;M69;-44;La Chapelle-sur-Erdre-North;frapdl.m006944chn
frapdlm44;M69;-44;La Chapelle-sur-Erdre-South;frapdl.m006944
frapdlm44;M75;-44;La Chapelle-sur-Erdre;frapdl.m007544cha
frapdlm44;M75;-44;Saint-Herblain;frapdl.m007544
frapdlm44;M76;-44;;frapdl.m007644
frapdlm44;M80;-44;;frapdl.m008044
frapdlm44;M81;-44;;frapdl.m008144
frapdlm44;M85;-44;;frapdl.m008544
frapdlm44;M89;-44;;frapdl.m008944
frapdlm44;M91;-44;;frapdl.m009144
frapdlm44;M101;-44;;frapdl.m010144
frapdlm44;M105;-44;;frapdl.m010544
frapdlm44;M107;-44;;frapdl.m010744
frapdlm44;M115;-44;;frapdl.m011544
frapdlm44;M119;-44;;frapdl.m011944
frapdlm44;M137;-44;;frapdl.m013744
frapdlm44;M149;-44;;frapdl.m014944
frapdlm44;M178;-44;;frapdl.m017844
frapdlm44;M178A;-44;;frapdl.m0178a44
frapdlm44;M209;-44;;frapdl.m020944
frapdlm44;M215;-44;;frapdl.m021544
frapdlm44;M264;-44;;frapdl.m026444
frapdlm44;M337;-44;;frapdl.m033744
frapdlm44;M358;-44;;frapdl.m035844
frapdlm44;M359;-44;;frapdl.m035944
frapdlm44;M617;-44;;frapdl.m061744
frapdlm44;M723;-44;;frapdl.m072344
frapdlm44;M751;-44;;frapdl.m075144
frapdlm44;M751A;-44;;frapdl.m0751a44
frapdlm44;M823;-44;;frapdl.m082344
frapdlm44;M965;-44;;frapdl.m096544
