systemName;region;route;banner;abbrev;city;root;altRouteNames
frosl;FRO;EldLeid;;;Elduvíkarleið;fro.eldleid;
frosl;FRO;FunLeid;;;Funningsleið;fro.funleid;
frosl;FRO;GamVidVeg;;;Gamli Viðareiðsvegurin;fro.gamvidveg;
frosl;FRO;GasLeid;;;Gásadalsleið;fro.gasleid;
frosl;FRO;GjaLeid;;;Gjáarleið;fro.gjaleid;
frosl;FRO;MulaLeid;;;Múlaleið;fro.mulaleid;
frosl;FRO;OygLeid;;;Oyggjarvegurin;fro.oygveg;
frosl;FRO;OynLeid;;;Oyndarfjarðaleið;fro.oynleid;
frosl;FRO;OynLeid;;Oyn;Oyndarfjarðaleið (Oyndarfjørður);fro.oynleidoyn;
frosl;FRO;RuntAgn;;;Runt Agnið;fro.runtagn;
frosl;FRO;RuntAgn;;Aed;Runt Agnið (Æðuvík);fro.runtagnaed;
frosl;FRO;SakLeid;;;Saksunarleið;fro.sakleid;
frosl;FRO;TjoLeid;;;Tjørnunvíkarleið;fro.tjoleid;
frosl;FRO;UnEid;;;Um Eiðisskarð;fro.umeid;
frosl;FRO;UmHes;;;Um Hestin;fro.umhes;
frosl;FRO;UmHov;;;Um Hovsegg;fro.umhov;
