System;Region;Route;Banner;Abbrev;City;Root;AltRouteNames
gbna1;ENG;A1;;Lon;London;eng.a001lon;
gbna1;ENG;A1;;StN;St Neots;eng.a001stn;
gbna1;ENG;A1;;;Newark;eng.a001;
gbna1;ENG;A1;;Wen;Wentbridge;eng.a001wen;
gbna1;ENG;A1;;SCo;Scotch Corner;eng.a001sco;
gbna1;ENG;A1;;New;Newcastle;eng.a001new;
gbna1;SCT;A1;;;;sct.a001;
gbna1;ENG;A10;;;;eng.a010;
gbna1;ENG;A10;;GtA;Great Amwell;eng.a010gta;
gbna1;ENG;A11;;Lon;London;eng.a011lon;
gbna1;ENG;A11;;;Norwich;eng.a011;
gbna1;ENG;A12;;;;eng.a012;
gbna1;ENG;A13;;;;eng.a013;
gbna1;ENG;A14;;;;eng.a014;
gbna1;ENG;A14;;Hun;Huntingdon;eng.a014hun;
gbna1;ENG;A15;;;;eng.a015;
gbna1;ENG;A15;;Pet;Peterborough;eng.a015pet;
gbna1;ENG;A16;;;;eng.a016;
gbna1;ENG;A17;;;;eng.a017;
gbna1;ENG;A18;;;;eng.a018;
gbna1;ENG;A19;;;;eng.a019;
gbna1;ENG;A100;;;;eng.a100;
gbna1;ENG;A101;;;;eng.a101;
gbna1;ENG;A102;;;;eng.a102;
gbna1;ENG;A103;;;;eng.a103;
gbna1;ENG;A104;;;;eng.a104;
gbna1;ENG;A105;;;;eng.a105;
gbna1;ENG;A106;;;;eng.a106;
gbna1;ENG;A107;;;;eng.a107;
gbna1;ENG;A109;;;;eng.a109;
gbna1;ENG;A110;;;;eng.a110;
gbna1;ENG;A111;;;;eng.a111;
gbna1;ENG;A112;;;;eng.a112;
gbna1;ENG;A113;;;;eng.a113;
gbna1;ENG;A114;;;;eng.a114;
gbna1;ENG;A116;;;;eng.a116;
gbna1;ENG;A117;;;;eng.a117;
gbna1;ENG;A118;;;;eng.a118;
gbna1;ENG;A119;;;;eng.a119;
gbna1;ENG;A120;;;;eng.a120;
gbna1;ENG;A121;;;;eng.a121;
gbna1;ENG;A123;;;;eng.a123;
gbna1;ENG;A124;;;;eng.a124;
gbna1;ENG;A125;;;;eng.a125;
gbna1;ENG;A126;;;;eng.a126;
gbna1;ENG;A127;;;;eng.a127;
gbna1;ENG;A128;;;;eng.a128;
gbna1;ENG;A129;;;;eng.a129;
gbna1;ENG;A130;;;;eng.a130;
gbna1;ENG;A131;;;;eng.a131;
gbna1;ENG;A132;;;;eng.a132;
gbna1;ENG;A133;;;;eng.a133;
gbna1;ENG;A134;;;;eng.a134;
gbna1;ENG;A135;;;;eng.a135;
gbna1;ENG;A136;;;;eng.a136;
gbna1;ENG;A137;;;;eng.a137;
gbna1;ENG;A138;;;;eng.a138;
gbna1;ENG;A139;;;;eng.a139;
gbna1;ENG;A140;;;;eng.a140;
gbna1;ENG;A141;;;;eng.a141;
gbna1;ENG;A142;;;;eng.a142;
gbna1;ENG;A143;;;;eng.a143;
gbna1;ENG;A144;;;;eng.a144;
gbna1;ENG;A145;;;;eng.a145;
gbna1;ENG;A146;;;;eng.a146;
gbna1;ENG;A147;;;;eng.a147;
gbna1;ENG;A148;;;;eng.a148;
gbna1;ENG;A149;;;;eng.a149;
gbna1;ENG;A151;;;;eng.a151;
gbna1;ENG;A152;;;;eng.a152;
gbna1;ENG;A153;;;;eng.a153;
gbna1;ENG;A154;;;;eng.a154;
gbna1;ENG;A155;;;;eng.a155;
gbna1;ENG;A156;;;;eng.a156;
gbna1;ENG;A157;;;;eng.a157;
gbna1;ENG;A158;;;;eng.a158;
gbna1;ENG;A159;;;;eng.a159;
gbna1;ENG;A160;;;;eng.a160;
gbna1;ENG;A161;;;;eng.a161;
gbna1;ENG;A162;;;;eng.a162;
gbna1;ENG;A163;;;;eng.a163;
gbna1;ENG;A164;;;;eng.a164;
gbna1;ENG;A165;;;;eng.a165;
gbna1;ENG;A166;;;;eng.a166;
gbna1;ENG;A167;;;;eng.a167;
gbna1;ENG;A167;;Nun;Nuns Moor;eng.a167nun;
gbna1;ENG;A167;;Bla;Blakelaw;eng.a167bla;
gbna1;ENG;A168;;;;eng.a168;
gbna1;ENG;A169;;;;eng.a169;
gbna1;ENG;A170;;;;eng.a170;
gbna1;ENG;A171;;;;eng.a171;
gbna1;ENG;A172;;;;eng.a172;
gbna1;ENG;A173;;;;eng.a173;
gbna1;ENG;A174;;;;eng.a174;
gbna1;ENG;A176;;;;eng.a176;
gbna1;ENG;A177;;;;eng.a177;
gbna1;ENG;A178;;;;eng.a178;
gbna1;ENG;A179;;;;eng.a179;
gbna1;ENG;A180;;;;eng.a180;
