System;Route;Banner;City;Root
gbna8;A8;;Edinburgh;sct.a008edi
gbna8;A8;;Glasgow;sct.a008
gbna8;A80;;;sct.a080
gbna8;A81;;;sct.a081
gbna8;A82;;;sct.a082
gbna8;A83;;;sct.a083
gbna8;A84;;;sct.a084
gbna8;A85;;;sct.a085
gbna8;A86;;;sct.a086
gbna8;A87;;;sct.a087
gbna8;A88;;;sct.a088
gbna8;A89;;;sct.a089
gbna8;A800;;;sct.a800
gbna8;A801;;;sct.a801
gbna8;A803;;;sct.a803
gbna8;A804;;;sct.a804
gbna8;A806;;;sct.a806
gbna8;A807;;;sct.a807
gbna8;A808;;;sct.a808
gbna8;A809;;;sct.a809
gbna8;A810;;;sct.a810
gbna8;A811;;;sct.a811
gbna8;A812;;;sct.a812
gbna8;A813;;;sct.a813
gbna8;A814;;;sct.a814
gbna8;A815;;;sct.a815
gbna8;A816;;;sct.a816
gbna8;A817;;;sct.a817
gbna8;A818;;;sct.a818
gbna8;A819;;;sct.a819
gbna8;A820;;;sct.a820
gbna8;A821;;;sct.a821
gbna8;A822;;;sct.a822
gbna8;A823;;;sct.a823
gbna8;A824;;;sct.a824
gbna8;A826;;;sct.a826
gbna8;A827;;;sct.a827
gbna8;A828;;;sct.a828
gbna8;A830;;;sct.a830
gbna8;A831;;;sct.a831
gbna8;A832;;;sct.a832
gbna8;A833;;;sct.a833
gbna8;A834;;;sct.a834
gbna8;A835;;;sct.a835
gbna8;A836;;;sct.a836
gbna8;A837;;;sct.a837
gbna8;A838;;;sct.a838
gbna8;A839;;;sct.a839
gbna8;A841;;;sct.a841
gbna8;A844;;;sct.a844
gbna8;A846;;Bowmore;sct.a846bow
gbna8;A846;;Craighouse;sct.a846
gbna8;A847;;;sct.a847
gbna8;A848;;;sct.a848
gbna8;A849;;;sct.a849
gbna8;A850;;;sct.a850
gbna8;A851;;;sct.a851
gbna8;A855;;;sct.a855
gbna8;A857;;;sct.a857
gbna8;A858;;;sct.a858
gbna8;A859;;;sct.a859
gbna8;A861;;(Main);sct.a861
gbna8;A861;;Corran Ferry;sct.a861cor
gbna8;A862;;;sct.a862
gbna8;A863;;;sct.a863
gbna8;A865;;;sct.a865
gbna8;A866;;;sct.a866
gbna8;A867;;;sct.a867
gbna8;A868;;;sct.a868
gbna8;A872;;;sct.a872
gbna8;A873;;;sct.a873
gbna8;A875;;;sct.a875
gbna8;A876;;;sct.a876
gbna8;A877;;;sct.a877
gbna8;A878;;;sct.a878
gbna8;A879;;;sct.a879
gbna8;A880;;;sct.a880
gbna8;A882;;;sct.a882
gbna8;A883;;;sct.a883
gbna8;A884;;Lochaline;sct.a884
gbna8;A884;;Fishnish Ferry;sct.a884fis
gbna8;A885;;;sct.a885
gbna8;A886;;Strachur;sct.a886
gbna8;A886;;Port Bannatyne;sct.a886por
gbna8;A887;;;sct.a887
gbna8;A888;;;sct.a888
gbna8;A889;;;sct.a889
gbna8;A890;;;sct.a890
gbna8;A891;;;sct.a891
gbna8;A893;;;sct.a893
gbna8;A894;;;sct.a894
gbna8;A896;;;sct.a896
gbna8;A897;;;sct.a897
gbna8;A898;;;sct.a898
gbna8;A899;;;sct.a899
gbna8;A8003;;;sct.a8003
gbna8;A8004;;;sct.a8004
gbna8;A8010;;;sct.a8010
gbna8;A8011;;;sct.a8011
gbna8;A8014;;;sct.a8014
gbna8;A8015;;;sct.a8015
