System;Route;Banner;City;Root
gbna;A2;;;eng.a002
gbna;A3;;;eng.a003
gbna;A4;;;eng.a004
gbna;A5;;London;eng.a005lon
gbna;A5;;;eng.a005,wls.a005
gbna;A7;;;sct.a007,eng.a007
gbna;A20;;;eng.a020
gbna;A21;;;eng.a021
gbna;A22;;;eng.a022
gbna;A23;;;eng.a023
gbna;A24;;;eng.a024
gbna;A25;;;eng.a025
gbna;A26;;Maidstone;eng.a026mai
gbna;A26;;Uckfield;eng.a026
gbna;A27;;;eng.a027
gbna;A28;;;eng.a028
gbna;A29;;;eng.a029
gbna;A30;;;eng.a030
gbna;A31;;Alton;eng.a031alt
gbna;A31;;Ringwood;eng.a031
gbna;A32;;;eng.a032
gbna;A33;;;eng.a033
gbna;A34;;Oxford;eng.a034
gbna;A34;;Birmingham;eng.a034bir
gbna;A35;;(Main);eng.a035
gbna;A35;;Bassett;eng.a035bas
gbna;A36;;(Main);eng.a036
gbna;A36;;Ower;eng.a036owe
gbna;A37;;;eng.a037
gbna;A38;;Plymouth;eng.a038
gbna;A38;;Worcester;eng.a038wor
gbna;A38;;Derby;eng.a038der
gbna;A39;;(Main);eng.a039
gbna;A39;;Bridgwater;eng.a039bri
gbna;A40;;London;eng.a040lon
gbna;A40;;(Main);eng.a040,wls.a040
gbna;A40;;Haverfordwest;wls.a040hav
gbna;A41;;London;eng.a041lon
gbna;A41;;Birmingham;eng.a041
gbna;A42;;;eng.a042
gbna;A43;;;eng.a043
gbna;A44;;(Main);eng.a044,wls.a044
gbna;A44;;Whittington;eng.a044whi
gbna;A45;;;eng.a045
gbna;A46;;Stroud;eng.a046str
gbna;A46;;Leicester;eng.a046
gbna;A47;;Birmingham;eng.a047bir
gbna;A47;;Peterborough;eng.a047
gbna;A48;;;eng.a048,wls.a048
gbna;A49;;;eng.a049
gbna;A50;;Derby;eng.a050
gbna;A50;;Warrington;eng.a050war
gbna;A51;;;eng.a051
gbna;A52;;;eng.a052
gbna;A53;;;eng.a053
gbna;A54;;;eng.a054
gbna;A55;;;wls.a055,eng.a055
gbna;A56;;;eng.a056
gbna;A57;;Liverpool;eng.a057liv
gbna;A57;;Sheffield;eng.a057
gbna;A58;;Bolton;eng.a058
gbna;A58;;Wetherby;eng.a058wet
gbna;A59;;;eng.a059
gbna;A70;;;sct.a070
gbna;A71;;;sct.a071
gbna;A72;;;sct.a072
gbna;A73;;;sct.a073
gbna;A74;;;sct.a074
gbna;A75;;;sct.a075
gbna;A76;;;sct.a076
gbna;A77;;;sct.a077
gbna;A78;;;sct.a078
gbna;A79;;;sct.a079
gbna;A200;;;eng.a200
gbna;A201;;;eng.a201
gbna;A202;;;eng.a202
gbna;A203;;;eng.a203
gbna;A204;;;eng.a204
gbna;A205;;;eng.a205
gbna;A206;;;eng.a206
gbna;A207;;;eng.a207
gbna;A208;;;eng.a208
gbna;A209;;;eng.a209
gbna;A210;;;eng.a210
gbna;A211;;;eng.a211
gbna;A212;;(Main);eng.a212
gbna;A212;;Croydon;eng.a212cro
gbna;A213;;;eng.a213
gbna;A214;;;eng.a214
gbna;A215;;;eng.a215
gbna;A216;;;eng.a216
gbna;A217;;;eng.a217
gbna;A218;;;eng.a218
gbna;A219;;;eng.a219
gbna;A220;;;eng.a220
gbna;A221;;;eng.a221
gbna;A222;;(Main);eng.a222
gbna;A222;;Croydon;eng.a222cro
gbna;A223;;Bexley;eng.a223
gbna;A223;;Orpington;eng.a223orp
gbna;A224;;;eng.a224
gbna;A225;;(Main);eng.a225
gbna;A225;;Dartford;eng.a225dar
gbna;A226;;;eng.a226
gbna;A227;;;eng.a227
gbna;A228;;;eng.a228
gbna;A229;;;eng.a229
gbna;A230;;;eng.a230
gbna;A231;;;eng.a231
gbna;A232;;;eng.a232
gbna;A233;;;eng.a233
gbna;A234;;;eng.a234
gbna;A235;;Thorton Heath;eng.a235tho
gbna;A235;;Purley;eng.a235
gbna;A236;;;eng.a236
gbna;A237;;;eng.a237
gbna;A238;;;eng.a238
gbna;A239;;;eng.a239
gbna;A240;;;eng.a240
gbna;A242;;;eng.a242
gbna;A243;;;eng.a243
gbna;A244;;;eng.a244
gbna;A245;;;eng.a245
gbna;A246;;;eng.a246
gbna;A247;;;eng.a247
gbna;A248;;;eng.a248
gbna;A249;;;eng.a249
gbna;A250;;;eng.a250
gbna;A251;;;eng.a251
gbna;A252;;;eng.a252
gbna;A253;;;eng.a253
gbna;A254;;;eng.a254
gbna;A255;;;eng.a255
gbna;A256;;;eng.a256
gbna;A257;;;eng.a257
gbna;A258;;;eng.a258
gbna;A259;;;eng.a259
gbna;A260;;;eng.a260
gbna;A261;;;eng.a261
gbna;A262;;;eng.a262
gbna;A264;;;eng.a264
gbna;A265;;;eng.a265
gbna;A267;;;eng.a267
gbna;A268;;;eng.a268
gbna;A269;;;eng.a269
gbna;A270;;;eng.a270
gbna;A271;;;eng.a271
gbna;A272;;;eng.a272
gbna;A273;;;eng.a273
gbna;A274;;;eng.a274
gbna;A275;;;eng.a275
gbna;A277;;;eng.a277
gbna;A278;;;eng.a278
gbna;A280;;;eng.a280
gbna;A281;;;eng.a281
gbna;A282;;;eng.a282
gbna;A283;;;eng.a283
gbna;A284;;;eng.a284
gbna;A285;;;eng.a285
gbna;A286;;;eng.a286
gbna;A287;;;eng.a287
gbna;A288;;;eng.a288
gbna;A289;;;eng.a289
gbna;A290;;;eng.a290
gbna;A291;;;eng.a291
gbna;A292;;;eng.a292
gbna;A293;;;eng.a293
gbna;A295;;;eng.a295
gbna;A296;;;eng.a296
gbna;A297;;;eng.a297
gbna;A298;;;eng.a298
gbna;A299;;;eng.a299
gbna;A300;;;eng.a300
gbna;A301;;;eng.a301
gbna;A302;;;eng.a302
gbna;A303;;;eng.a303
gbna;A304;;;eng.a304
gbna;A305;;;eng.a305
gbna;A306;;;eng.a306
gbna;A307;;;eng.a307
gbna;A308;;;eng.a308
gbna;A309;;Thames Ditton;eng.a309
gbna;A309;;Teddington;eng.a309ted
gbna;A310;;;eng.a310
gbna;A311;;;eng.a311
gbna;A312;;;eng.a312
gbna;A313;;;eng.a313
gbna;A314;;;eng.a314
gbna;A315;;;eng.a315
gbna;A316;;;eng.a316
gbna;A317;;;eng.a317
gbna;A318;;;eng.a318
gbna;A319;;;eng.a319
gbna;A320;;;eng.a320
gbna;A321;;;eng.a321
gbna;A322;;;eng.a322
gbna;A323;;;eng.a323
gbna;A324;;;eng.a324
gbna;A325;;;eng.a325
gbna;A326;;(Main);eng.a326
gbna;A326;;Hounsdown;eng.a326hou
gbna;A327;;;eng.a327
gbna;A328;;;eng.a328
gbna;A329;;(Main);eng.a329
gbna;A329;;Reading;eng.a329rea
gbna;A330;;;eng.a330
gbna;A331;;;eng.a331
gbna;A332;;;eng.a332
gbna;A333;;;eng.a333
gbna;A334;;;eng.a334
gbna;A335;;(Main);eng.a335
gbna;A335;;Chandlers Ford;eng.a335cha
gbna;A336;;;eng.a336
gbna;A337;;;eng.a337
gbna;A338;;;eng.a338
gbna;A339;;;eng.a339
gbna;A340;;;eng.a340
gbna;A341;;;eng.a341
gbna;A342;;;eng.a342
gbna;A343;;;eng.a343
gbna;A345;;(Main);eng.a345
gbna;A345;;Upavon;eng.a345upa
gbna;A346;;;eng.a346
gbna;A347;;;eng.a347
gbna;A348;;;eng.a348
gbna;A349;;(Main);eng.a349
gbna;A349;;Poole;eng.a349poo
gbna;A350;;;eng.a350
gbna;A351;;;eng.a351
gbna;A352;;;eng.a352
gbna;A353;;;eng.a353
gbna;A354;;;eng.a354
gbna;A355;;;eng.a355
gbna;A356;;;eng.a356
gbna;A357;;;eng.a357
gbna;A358;;;eng.a358
gbna;A359;;;eng.a359
gbna;A360;;;eng.a360
gbna;A361;;Tiverton;eng.a361
gbna;A361;;Shepton Mallet;eng.a361she
gbna;A361;;Banbury;eng.a361ban
gbna;A362;;;eng.a362
gbna;A363;;;eng.a363
gbna;A365;;;eng.a365
gbna;A366;;;eng.a366
gbna;A367;;;eng.a367
gbna;A368;;;eng.a368
gbna;A369;;;eng.a369
gbna;A370;;;eng.a370
gbna;A371;;;eng.a371
gbna;A372;;;eng.a372
gbna;A373;;;eng.a373
gbna;A374;;Plymouth;eng.a374
gbna;A374;;Torpoint;eng.a374tor
gbna;A375;;;eng.a375
gbna;A376;;;eng.a376
gbna;A377;;;eng.a377
gbna;A378;;;eng.a378
gbna;A379;;Exeter;eng.a379
gbna;A379;;Plymouth;eng.a379ply
gbna;A380;;;eng.a380
gbna;A381;;(Main);eng.a381
gbna;A381;;Kingsbridge;eng.a381kin
gbna;A382;;;eng.a382
gbna;A383;;;eng.a383
gbna;A384;;;eng.a384
gbna;A385;;;eng.a385
gbna;A386;;;eng.a386
gbna;A387;;;eng.a387
gbna;A388;;(Main);eng.a388
gbna;A388;;Launceston;eng.a388lau
gbna;A389;;(Main);eng.a389
gbna;A389;;Bodmin;eng.a389bod
gbna;A390;;;eng.a390
gbna;A391;;;eng.a391
gbna;A392;;;eng.a392
gbna;A393;;;eng.a393
gbna;A394;;;eng.a394
gbna;A395;;;eng.a395
gbna;A396;;;eng.a396
gbna;A397;;;eng.a397
gbna;A399;;;eng.a399
gbna;A400;;;eng.a400
gbna;A401;;;eng.a401
gbna;A402;;;eng.a402
gbna;A403;;;eng.a403
gbna;A404;;;eng.a404
gbna;A405;;;eng.a405
