System;Region;Route;Banner;Abbrev;City;Root;AltRouteNames
gbnam;ENG;A1M;;Ste;Stevenage;eng.a001mste;
gbnam;ENG;A1M;;Pet;Peterborough;eng.a001mpet;
gbnam;ENG;A1M;;Don;Doncaster;eng.a001mdon;
gbnam;ENG;A1M;;;Wetherby;eng.a001m;A1MFer
gbnam;ENG;A1M;;Dur;Durham;eng.a001mdur;
gbnam;ENG;A3M;;;;eng.a003m;A3MWat
gbnam;ENG;A38M;;;;eng.a038m;A38MBir
gbnam;WLS;A48M;;;;wls.a048m;A48MCar
gbnam;ENG;A57M;;;;eng.a057m;A57MMan
gbnam;ENG;A58M;;;;eng.a058m;A58MLee
gbnam;ENG;A64M;;;;eng.a064m;A64MLee
gbnam;ENG;A66M;;;;eng.a066m;A66MDar
gbnam;SCT;A74M;;;;sct.a074m;
gbnam;ENG;A74M;;;;eng.a074m;
gbnam;ENG;A167M;;;;eng.a167m;A167MNew
gbnam;ENG;A194M;;;;eng.a194m;A194MGat
gbnam;ENG;A308M;;;;eng.a308m;A308MMai
gbnam;ENG;A329M;;;;eng.a329m;A329MWin
gbnam;ENG;A404M;;;;eng.a404m;A404MMai
gbnam;ENG;A601M;;;;eng.a601m;A601MCar
gbnam;ENG;A627M;;;(Main);eng.a627m;A627MOld
gbnam;ENG;A627M;;Sla;Slattocks Link;eng.a627msla;
gbnam;SCT;A823M;;;;sct.a823m;A823MDun
