systemName;route;banner;groupName;roots
gbnam;A1;M;Herts N-S Motorway;eng.a001mste
gbnam;A1;M;Alconbury - Peterborough Motorway;eng.a001mpet
gbnam;A1;M;Doncaster Bypass;eng.a001mdon
gbnam;A1;M;Darrington - Birtley Motorway;eng.a001m
gbnam;A3;M;;eng.a003m
gbnam;A8;M;;sct.a008m
gbnam;A38;M;;eng.a038m
gbnam;A48;M;;wls.a048m
gbnam;A57;M;;eng.a057m
gbnam;A58;M;;eng.a058m
gbnam;A64;M;;eng.a064m
gbnam;A66;M;;eng.a066m
gbnam;A74;M;;sct.a074m,eng.a074m
gbnam;A167;M;;eng.a167m
gbnam;A194;M;;eng.a194m
gbnam;A308;M;;eng.a308m
gbnam;A329;M;;eng.a329m
gbnam;A404;M;;eng.a404m
gbnam;A601;M;;eng.a601m
gbnam;A627;M;Rochdale - Oldham Motorway;eng.a627m
gbnam;A627;M;Slattocks Link;eng.a627msla
gbnam;A823;M;;sct.a823m
