System;Region;Route;Banner;Abbrev;City;Root;AltRouteNames
gbrtr;SCT;AngCoaTR;;;Angus Coastal Tourist Route;sct.angcoatr;
gbrtr;SCT;ArgCoaTR;;;Argyll Coastal Tourist Route;sct.argcoatr;
gbrtr;NIR;BannValSR;;;Bann Valley Scenic Route;nir.bannvalsr;
gbrtr;SCT;BorHisTR;;;Borders Historic Tourist Route;sct.borhistr;
gbrtr;NIR;CauCR;;;Causeway Coastal Route;nir.caucr;
gbrtr;ENG;CidRt;;;(Herefordshire) Cider Route;eng.cidrt;
gbrtr;SCT;ClyValTR;;;Clyde Valley Tourist Route;sct.clyvaltr;
gbrtr;SCT;CoaTrl;;;(East Lothian) Coastal Trail;sct.coatrl;
gbrtr;SCT;DeeTR;;;Deeside Tourist Route;sct.deetr;
gbrtr;ENG;EKCT;;;East Kent Country Tour;eng.ekct;
gbrtr;NIR;ESprSR;;;The East Sperrins Scenic Driving Route;nir.esprsr;
gbrtr;SCT;FifeTR;;;Fife Coastal Tourist route;sct.fifcoatr;
gbrtr;WLS;FLT;;;Flintshire Leisure Tour;wls.flt;
gbrtr;SCT;ForValTR;;;Forth Valley Tourist Route;sct.forvaltr;
gbrtr;SCT;GalTR;;;Galloway Tourist Route;sct.galtr;
gbrtr;NIR;GlenAnnSR;;;Glenann Scenic Route;nir.glenannsr;
gbrtr;NIR;GleGlenSR;;;Glenarm Glen Scenic Route;nir.gleglensr;
gbrtr;NIR;GlenBalSR;;;Glenballyemon Scenic Route;nir.glenbalsr;
gbrtr;NIR;GlenCloySR;;;Glencloy Scenic Route;nir.glencloysr;
gbrtr;NIR;GlenDunSR;;;Glendun Scenic Route;nir.glendunsr;
gbrtr;NIR;GlenSheSR;;;Glenshesk Scenic Route;nir.glenshesr;
gbrtr;ENG;HKCT;;;Heart of Kent Country Tour;eng.hkct;
gbrtr;SCT;HigTR;;;Highland Tourist Route;sct.higtr;
gbrtr;NIR;HighMouSL;;;High Mournes Scenic Loop;nir.highmousl;
gbrtr;ENG;HWCT;;;High Weald Country Tour;eng.hwct;
gbrtr;SCT;HilTrl;;;(East Lothian) Hillfoots Trail;sct.hiltrl;
gbrtr;SCT;MorFirTR;;;Moray Firth Tourist Route;sct.morfirtr;
gbrtr;NIR;MouCR;;Bel;Mourne Coastal Route (Belfast);nir.moucrbel;
gbrtr;NIR;MouCR;;;Mourne Coastal Route (Newcastle);nir.moucr;
gbrtr;SCT;NWHigTR;;;North & West Highlands Tourist Route;sct.nwhigtr;
gbrtr;SCT;PerTR;;;Perthshire Tourist route;sct.pertr;
gbrtr;NIR;RoeValSR;;;Roe Valley Scenic Route;nir.roevalsr;
gbrtr;NIR;RooSL;;;Roosley Scenic Loop;nir.roosl;
gbrtr;ENG;RMRCT;;;Romney Marsh & Rye Country Tour;eng.rmrct;
gbrtr;NIR;StPatTR;;Ban;St Patrick's Trail (Bangor);nir.stpattrban;
gbrtr;NIR;StPatTR;;;St Patrick's Trail (Newry);nir.stpattr;
gbrtr;SCT;SalTrl;;;(East Lothian) Saltire Trail;sct.saltrl;
gbrtr;NIR;SliCroSL;;;Slieve Croob Scenic Loop;nir.slicrosl;
gbrtr;NIR;SSprSR;;;The South Sperrins Scenic Driving Route;nir.ssprsr;
gbrtr;ENG;HolRd;;;Telford's Llwybr hanesyddol (Holyhead Road);eng.holrd;
gbrtr;WLS;HolRd;;;Telford's Llwybr hanesyddol (Holyhead Road);wls.holrd;
gbrtr;NIR;TorrHeadSR;;;Torr Head Scenic Route;nir.torrheadsr;
gbrtr;SCT;TroTrl;;;Trossachs Trail;sct.trotrl;
gbrtr;IMN;TTCir;;;TT Circuit;imn.ttcir;
gbrtr;SCT;WesRossCT;;;Wester Ross Coastal Trail;sct.wesrossct;
gbrtr;NIR;WhiSL;;;Whitewater Scenic Loop;nir.whisl;
