systemName;route;banner;groupName;roots
gbrtr;A1120TR;;A1120 Tourist Route;eng.a1120tr
gbrtr;AngCoaTR;;Angus Coastal Tourist Route;sct.angcoatr
gbrtr;ArgCoaTR;;Argyll Coastal Tourist Route;sct.argcoatr
gbrtr;AriCoaRt;;Arisaig Coastal Route;sct.aricoart
gbrtr;AssCoaRt;;Assynt Coastal Route;sct.asscoart
gbrtr;BalSL;;Ballyquintin Scenic Loop;nir.balsl
gbrtr;BannValSR;;Bann Valley Scenic Route;nir.bannvalsr
gbrtr;BerCoaRt;;Berwickshire Coastal Route;sct.bercoart
gbrtr;BinSR;;Binevenagh Scenic Route;nir.binsr
gbrtr;BorHisTR;;Borders Historic Tourist Route;sct.borhistr,eng.borhistr
gbrtr;BroBaySR;;Browns Bay Scenic Route;nir.brobaysr
gbrtr;CauCR;;Causeway Coastal Route;nir.caucr
gbrtr;CSprSR;;The Central Sperrins Scenic Driving Route;nir.cspesr
gbrtr;CidRt;;Cider Route;eng.cidrt
gbrtr;ClySLTrl;;Clyde Sea Lochs Trail;sct.clysltrl
gbrtr;ClyValTR;;Clyde Valley Tourist Route;sct.clyvaltr
gbrtr;CoaTrl;;(East Lothian) Coastal Trail;sct.coatrl
gbrtr;DeeTR;;Deeside Tourist Route;sct.deetr
gbrtr;DorEmboCR;;Dornoch and Embo Scenic Coastal Route;sct.dorembocr
gbrtr;DorFirTR;;Dornoch Firth Tourist Route;sct.dorfirtr
gbrtr;DudTT;;Dudley Tourist Trail;eng.dudtt
gbrtr;EKCT;;East Kent Country Tour;eng.ekct
gbrtr;ESprSR;;The East Sperrins Scenic Driving Route;nir.espesr
gbrtr;FifeTR;;Fife Coastal Tourist Route;sct.fifcoatr
gbrtr;FLT;;Flintshire Leisure Tour;wls.flt
gbrtr;ForDeanSR;;Forest of Dean Scenic Drive;eng.fordeansd
gbrtr;ForValTR;;Forth Valley Tourist Route;sct.forvaltr
gbrtr;GalTR;;Galloway Tourist Route;sct.galtr
gbrtr;GlenAnnSR;;Glenaan Scenic Route;nir.glenaansr
gbrtr;GleGlenSR;;Glenarm Glen Scenic Route;nir.gleglensr
gbrtr;GlenBalSR;;Glenballyemon Scenic Route;nir.glenbalsr
gbrtr;GlenCloySR;;Glencloy Scenic Route;nir.glencloysr
gbrtr;GlenDunSR;;Glendun Scenic Route;nir.glendunsr
gbrtr;GlenSheSR;;Glenshesk Scenic Route;nir.glenshesr
gbrtr;GlenTaiSR;;Glentaisie Scenic Route‎;nir.glentaisr
gbrtr;GtOrmeSR;;Great Orme Head Scenic Drive;wls.gtormesd
gbrtr;HKCT;;Heart of Kent Country Tour;eng.hkct
gbrtr;HigTR;;Highland Tourist Route;sct.higtr
gbrtr;HighMouSL;;High Mournes Scenic Loop;nir.highmousl
gbrtr;HWCT;;High Weald Country Tour;eng.hwct
gbrtr;HilTrl;;(East Lothian) Hillfoots Trail;sct.hiltrl
gbrtr;JurCoaRd;;Jurassic Coast Road;eng.jurcoard
gbrtr;KieForDr;;Kielder Forest Drive;eng.kiefordr
gbrtr;KinTrl;;Kintyre Trail;sct.kintrl
gbrtr;LanEndTR;;Land's End Tourist Route;eng.lanendtr
gbrtr;LouNavFD;;Lough Navar Forest Drive;nir.lounavfd
gbrtr;LowFurCR;;Low Furness Coastal Route;eng.lowfurcr
gbrtr;MLT;;Maelor Driving Tour;wls.mlt,eng.mlt,wls.mltove
gbrtr;MarSL;;Marlbank Scenic Loop;nir.marsl
gbrtr;MorFirTR;;Moray Firth Tourist route;sct.morfirtr
gbrtr;MouCR;;Mourne Coastal Route (Belfast);nir.moucrbel
gbrtr;MouCR;;Mourne Coastal Route (Newcastle);nir.moucr
gbrtr;NWHigTR;;North & West Highlands Tourist Route;sct.nwhigtr
gbrtr;NSprSR;;The North Sperrins Scenic Driving Route;nir.nspesr
gbrtr;NorCR;;Northumberland Coastal Route;eng.norcr
gbrtr;PerTR;;Perthshire Tourist route;sct.pertr
gbrtr;RoeValSR;;Roe Valley Scenic Route;nir.roevalsr
gbrtr;RooSL;;Roosley Scenic Loop;nir.roosl
gbrtr;RMRCT;;Romney Marsh & Rye Country Tour;eng.rmrct
gbrtr;StPatTR;;St Patrick's Trail (Bangor);nir.stpattrban
gbrtr;StPatTR;;St Patrick's Trail (Newry);nir.stpattr
gbrtr;SalTrl;;(East Lothian) Saltire Trail;sct.saltrl
gbrtr;SliCroSL;;Slieve Croob Scenic Loop;nir.slicrosl
gbrtr;SliGulFD;;Slieve Gullion Forest Drive;nir.sligulfd
gbrtr;SSprSR;;The South Sperrins Scenic Driving Route;nir.sspesr
gbrtr;HolRd;;Telford's Llwybr hanesyddol (Holyhead Road);eng.holrd,wls.holrd
gbrtr;TemeValLD;;Teme Valley Leisure Drive;eng.temevalld
gbrtr;TorrHeadSR;;Torr Head Scenic Route;nir.torrheadsr
gbrtr;TroTrl;;Trossachs Trail;sct.trotrl
gbrtr;TTCir;;TT Circuit;imn.ttcir
gbrtr;UttTR;;Uttlesford Tourist Route;eng.utttr
gbrtr;WesRossCT;;Wester Ross Coastal Trail;sct.wesrossct
gbrtr;WhiSL;;Whitewater Scenic Loop;nir.whisl
