systemName;region;route;banner;abbrev;city;root;altRouteNames
gtmrn;GTM;RN1;;;;gtm.rn01;
gtmrn;GTM;RN1A;;;;gtm.rn01a;
gtmrn;GTM;RN1B;;;;gtm.rn01b;
gtmrn;GTM;RN2;;;;gtm.rn02;
gtmrn;GTM;RN5;;;;gtm.rn05;
gtmrn;GTM;RN7E;;;;gtm.rn07e;
gtmrn;GTM;RN7W;;;Uspantán;gtm.rn07w;
gtmrn;GTM;RN7W;;Ixt;San Ildefonso Ixtahuacán;gtm.rn07wixt;
gtmrn;GTM;RN8;;;;gtm.rn08;
gtmrn;GTM;RN9N;;;;gtm.rn09n;
gtmrn;GTM;RN9S;;Que;Quetzaltenango;gtm.rn09sque;
gtmrn;GTM;RN9S;;;Retalhuleu;gtm.rn09s;
gtmrn;GTM;RN10;;;;gtm.rn10;
gtmrn;GTM;RN11;;;;gtm.rn11;
gtmrn;GTM;RN12N;;;;gtm.rn12n;
gtmrn;GTM;RN12S;;;;gtm.rn12s;
gtmrn;GTM;RN13;;;;gtm.rn13;
gtmrn;GTM;RN14;;;;gtm.rn14;
gtmrn;GTM;RN14A;;;;gtm.rn14a;
gtmrn;GTM;RN15;;Tec;Tecpán;gtm.rn15tec;
gtmrn;GTM;RN15;;;Santa Cruz del Quiché;gtm.rn15;
gtmrn;GTM;RN16;;;;gtm.rn16;
gtmrn;GTM;RN17;;;;gtm.rn17;
gtmrn;GTM;RN18;;;;gtm.rn18;
gtmrn;GTM;RN19;;;;gtm.rn19;
gtmrn;GTM;RN19A;;;;gtm.rn19a;
gtmrn;GTM;RN20;;;;gtm.rn20;
gtmrn;GTM;RN21;;;;gtm.rn21;
gtmrn;GTM;RN23;;;;gtm.rn23;
gtmrn;GTM;RN24;;;;gtm.rn24;
gtmrn;GTM;RNCITO;;;;gtm.rncito;
gtmrn;GTM;RNFTN;;;;gtm.rnftn;
