systemName;region;route;banner;abbrev;city;root
indka;IND-KA;KA1;;;;indka.ka001;
indka;IND-KA;KA2;;;;indka.ka002;
indka;IND-KA;KA3;;;;indka.ka003;
indka;IND-KA;KA4;;;;indka.ka004;
indka;IND-KA;KA5;;;;indka.ka005;
indka;IND-KA;KA6;;;;indka.ka006;
indka;IND-KA;KA7;;;;indka.ka007;
indka;IND-KA;KA8;;;;indka.ka008;
indka;IND-KA;KA9;;;;indka.ka009;
indka;IND-MH;KA10;;;;indmh.ka010;
indka;IND-KA;KA10;;;;indka.ka010;
indka;IND-TG;KA10;;;;indtg.ka010;
indka;IND-KA;KA10;;;;indka.ka010;
indka;IND-KA;KA11;;;;indka.ka011;
indka;IND-KA;KA13;;;;indka.ka013;
indka;IND-KA;KA14;;;;indka.ka014;
indka;IND-KA;KA15;;;;indka.ka015;
indka;IND-KA;KA16;;;Yadgiri;indka.ka016;
indka;IND-TG;KA16;;kan;Kanukurthy;indtg.ka016kan;
indka;IND-KA;KA16;;kal;Kalaburagi District A;indka.ka016kal;
indka;IND-TG;KA16;;nar;Narayanpet District;indtg.ka016nar;
indka;IND-KA;KA16;;kab;Kalaburagi District B;indka.ka016kab;
indka;IND-TG;KA16;;vit;Vitalapura;indtg.ka016vit;
indka;IND-KA;KA16;;kad;Kalaburagi District C;indka.ka016kad;
indka;IND-TG;KA16;;ant;Antaram;indtg.ka016ant;
indka;IND-KA;KA16;;med;Medaka;indka.ka016med;
indka;IND-KA;KA17;;;;indka.ka017;
indka;IND-KA;KA18;;;;indka.ka018;
indka;IND-KA;KA19;;;;indka.ka019;
indka;IND-KA;KA20;;;;indka.ka020;
indka;IND-KA;KA21;;;;indka.ka021;
indka;IND-KA;KA22;;;;indka.ka022;
indka;IND-KA;KA23;;;;indka.ka023;
indka;IND-KA;KA24;;;;indka.ka024;
indka;IND-KA;KA25;;;;indka.ka025;
indka;IND-KA;KA26;;;;indka.ka026;
indka;IND-KA;KA27;;;;indka.ka027;
indka;IND-KA;KA28;;;;indka.ka028;
indka;IND-KA;KA29;;;;indka.ka029;
indka;IND-KA;KA30;;;;indka.ka030;
indka;IND-KA;KA31;;;;indka.ka031;
indka;IND-KA;KA32;;;;indka.ka032;
indka;IND-KA;KA33;;;;indka.ka033;
indka;IND-KA;KA34;;bid;Bidar;indka.ka034bid;
indka;IND-MH;KA34;;;;indmh.ka034;
indka;IND-KA;KA34;;;;indka.ka034;
indka;IND-KA;KA35;;;;indka.ka035;
indka;IND-KA;KA36;;;;indka.ka036;
indka;IND-KA;KA37;;;;indka.ka037;
indka;IND-KA;KA38;;;;indka.ka038;
indka;IND-KA;KA39;;;;indka.ka039;
indka;IND-KA;KA40;;;;indka.ka040;
indka;IND-KA;KA41;;;;indka.ka041;
indka;IND-KA;KA42;;;;indka.ka042;
indka;IND-KA;KA43;;;;indka.ka043;
indka;IND-KA;KA44;;;;indka.ka044;
indka;IND-KA;KA45;;;;indka.ka045;
indka;IND-KA;KA46;;;;indka.ka046;
indka;IND-KA;KA47;;;;indka.ka047;
indka;IND-KA;KA48;;;;indka.ka048;
indka;IND-KA;KA49;;;;indka.ka049;
indka;IND-KA;KA50;;;;indka.ka050;
indka;IND-KA;KA51;;;;indka.ka051;
indka;IND-KA;KA52;;;;indka.ka052;
indka;IND-KA;KA53;;;;indka.ka053;
indka;IND-KA;KA54;;;;indka.ka054;
indka;IND-KA;KA55;;;;indka.ka055;
indka;IND-KA;KA56;;;;indka.ka056;
indka;IND-KA;KA57;;;;indka.ka057;
indka;IND-KA;KA58;;;;indka.ka058;
indka;IND-KA;KA59;;;;indka.ka059;
indka;IND-KA;KA60;;;;indka.ka060;
indka;IND-KA;KA61;;;;indka.ka061;
indka;IND-KA;KA62;;;;indka.ka062;
indka;IND-KA;KA63;;;;indka.ka063;
indka;IND-KA;KA64;;;;indka.ka064;
indka;IND-KA;KA65;;;;indka.ka065;
indka;IND-KA;KA66;;;;indka.ka066;
indka;IND-KA;KA67;;;;indka.ka067;
indka;IND-KA;KA68;;;;indka.ka068;
indka;IND-KA;KA69;;;;indka.ka069;
indka;IND-KA;KA70;;;;indka.ka070;
indka;IND-KA;KA71;;;;indka.ka071;
indka;IND-KA;KA71E;;;;indka.ka071e;
indka;IND-KA;KA72;;;;indka.ka072;
indka;IND-KA;KA73;;;;indka.ka073;
indka;IND-KA;KA74;;;;indka.ka074;
indka;IND-KA;KA75;;;;indka.ka075;
indka;IND-KA;KA76;;;;indka.ka076;
indka;IND-KA;KA77;;;;indka.ka077;
indka;IND-KA;KA78;;;;indka.ka078;
indka;IND-KA;KA79;;;;indka.ka079;
indka;IND-KA;KA80;;;;indka.ka080;
indka;IND-KA;KA81;;;;indka.ka081;
indka;IND-KA;KA82;;;;indka.ka082;
indka;IND-KA;KA83;;;;indka.ka083;
indka;IND-KA;KA84;;;;indka.ka084;
indka;IND-KA;KA84;;var;Varuna Hosktoe Suththur;indka.ka084var;
indka;IND-KA;KA84;;kup;Kupparavalli;indka.ka084kup;
indka;IND-KA;KA85;;;;indka.ka085;
indka;IND-KA;KA86;;;;indka.ka086;
indka;IND-KA;KA87;;;;indka.ka087;
indka;IND-KA;KA88;;;;indka.ka088;
indka;IND-KA;KA89;;;;indka.ka089;
indka;IND-KA;KA90;;;;indka.ka090;
indka;IND-KA;KA91;;;;indka.ka091;
indka;IND-KA;KA92;;;;indka.ka092;
indka;IND-KA;KA93;;;;indka.ka093;
indka;IND-KA;KA94;;;;indka.ka094;
indka;IND-KA;KA95;;;;indka.ka095;
indka;IND-KA;KA96;;;;indka.ka096;
indka;IND-KA;KA97;;;;indka.ka097;
indka;IND-KA;KA98;;;;indka.ka098;
indka;IND-KA;KA99;;;;indka.ka099;
indka;IND-KA;KA100;;;;indka.ka100;
indka;IND-KA;KA101;;;;indka.ka101;
indka;IND-KA;KA102;;;;indka.ka102;
indka;IND-KA;KA103;;;;indka.ka103;
indka;IND-KA;KA104;;;;indka.ka104;
indka;IND-KA;KA105;;;;indka.ka105;
indka;IND-KA;KA106;;;;indka.ka106;
indka;IND-KA;KA107;;;;indka.ka107;
indka;IND-KA;KA108;;;;indka.ka108;
indka;IND-KA;KA109;;;;indka.ka109;
indka;IND-KA;KA110;;;;indka.ka110;
indka;IND-KA;KA111;;;;indka.ka111;
indka;IND-KA;KA112;;;;indka.ka112;
indka;IND-KA;KA112A;;;;indka.ka112a;
indka;IND-KA;KA113;;;;indka.ka113;
indka;IND-KA;KA114;;;;indka.ka114;
indka;IND-KA;KA115;;;;indka.ka115;
indka;IND-KA;KA116;;;;indka.ka116;
indka;IND-KA;KA117;;;;indka.ka117;
indka;IND-KA;KA118;;;;indka.ka118;
indka;IND-KA;KA119;;;;indka.ka119;
indka;IND-KA;KA120;;;;indka.ka120;
indka;IND-KA;KA121;;;;indka.ka121;
indka;IND-MH;KA122;;;;indmh.ka122;
indka;IND-KA;KA122;;;;indka.ka122;
indka;IND-KA;KA123;;;;indka.ka123;
indka;IND-KA;KA124;;khu;Khajuri;indka.ka124khu;
indka;IND-MH;KA124;;kas;Kasai;indmh.ka124kha;
indka;IND-KA;KA124;;kha;Khandala;indka.ka124kha;
indka;IND-MH;KA124;;kes;Kesargavalga;indmh.ka124kes;
indka;IND-KA;KA124;;kam;Kamanahalli;indka.ka124kam;
indka;IND-MH;KA124;;bho;Bhosga;indmh.ka124bho;
indka;IND-KA;KA124;;mad;Madana Hipparaga;indka.ka124mad;
indka;IND-MH;KA124;;dud;Dudhani;indmh.ka124dud;
indka;IND-KA;KA124;;;Afzalpur;indka.ka124;
indka;IND-KA;KA125;;;;indka.ka125;
indka;IND-KA;KA126;;;;indka.ka126;
indka;IND-MH;KA126;;;;indtg.ka126;
indka;IND-KA;KA127;;;;indka.ka127;
indka;IND-KA;KA128;;;;indka.ka128;
indka;IND-KA;KA129;;;;indka.ka129;
indka;IND-KA;KA130;;;;indka.ka130;
indka;IND-KA;KA131;;;;indka.ka131;
indka;IND-KA;KA132;;;;indka.ka132;
indka;IND-KA;KA133;;;;indka.ka133;
indka;IND-KA;KA134;;;;indka.ka134;
indka;IND-KA;KA135;;;;indka.ka135;
indka;IND-KA;KA136;;;;indka.ka136;
indka;IND-KA;KA137;;;;indka.ka138;
indka;IND-KA;KA139;;;;indka.ka139;
indka;IND-KA;KA140;;;;indka.ka140;
indka;IND-KA;KA141;;;;indka.ka141;
indka;IND-KA;KA142;;;;indka.ka142;
indka;IND-KA;KA143;;;;indka.ka143;
indka;IND-KA;KA144;;;;indka.ka144;
indka;IND-KA;KA145;;;;indka.ka145;
indka;IND-KA;KA146;;;;indka.ka146;
indka;IND-KA;KA148;;;;indka.ka148;
