systemName;route;banner;groupName;roots
indka;KA1;;;indka.ka001
indka;KA2;;;indka.ka002
indka;KA3;;;indka.ka003
indka;KA4;;;indka.ka004
indka;KA5;;;indka.ka005
indka;KA6;;;indka.ka006
indka;KA7;;;indka.ka007
indka;KA8;;;indka.ka008
indka;KA9;;;indka.ka009
indka;KA10;;;indmh.ka010,indka.ka010,indtg.ka010
indka;KA10;;;indka.ka010
indka;KA11;;;indka.ka011
indka;KA13;;;indka.ka013
indka;KA14;;;indka.ka014
indka;KA15;;;indka.ka015
indka;KA16;;;indka.ka016,indtg.ka016kan,indka.ka016kal,indtg.ka016nar,indka.ka016kab,indtg.ka016vit,indka.ka016kad,indtg.ka016ant,indka.ka016med
indka;KA17;;;indka.ka017
indka;KA18;;;indka.ka018
indka;KA19;;;indka.ka019
indka;KA20;;;indka.ka020
indka;KA21;;;indka.ka021
indka;KA22;;;indka.ka022
indka;KA23;;;indka.ka023
indka;KA24;;;indka.ka024
indka;KA25;;;indka.ka025
indka;KA26;;;indka.ka026
indka;KA27;;;indka.ka027
indka;KA28;;;indka.ka028
indka;KA29;;;indka.ka029
indka;KA30;;;indka.ka030
indka;KA31;;;indka.ka031
indka;KA32;;;indka.ka032
indka;KA33;;;indka.ka033
indka;KA34;;;indka.ka034bid,indmh.ka034,indka.ka034
indka;KA35;;;indka.ka035
indka;KA36;;;indka.ka036
indka;KA37;;;indka.ka037
indka;KA38;;;indka.ka038
indka;KA39;;;indka.ka039
indka;KA40;;;indka.ka040
indka;KA41;;;indka.ka041
indka;KA42;;;indka.ka042
indka;KA43;;;indka.ka043
indka;KA44;;;indka.ka044
indka;KA45;;;indka.ka045
indka;KA46;;;indka.ka046
indka;KA47;;;indka.ka047
indka;KA48;;;indka.ka048
indka;KA49;;;indka.ka049
indka;KA50;;;indka.ka050
indka;KA51;;;indka.ka051
indka;KA52;;;indka.ka052
indka;KA53;;;indka.ka053
indka;KA54;;;indka.ka054
indka;KA55;;;indka.ka055
indka;KA56;;;indka.ka056
indka;KA57;;;indka.ka057
indka;KA58;;;indka.ka058
indka;KA59;;;indka.ka059
indka;KA60;;;indka.ka060
indka;KA61;;;indka.ka061
indka;KA62;;;indka.ka062
indka;KA63;;;indka.ka063
indka;KA64;;;indka.ka064
indka;KA65;;;indka.ka065
indka;KA66;;;indka.ka066
indka;KA67;;;indka.ka067
indka;KA68;;;indka.ka068
indka;KA69;;;indka.ka069
indka;KA70;;;indka.ka070
indka;KA71;;;indka.ka071
indka;KA71E;;;indka.ka071e
indka;KA72;;;indka.ka072
indka;KA73;;;indka.ka073
indka;KA74;;;indka.ka074
indka;KA75;;;indka.ka075
indka;KA76;;;indka.ka076
indka;KA77;;;indka.ka077
indka;KA78;;;indka.ka078
indka;KA79;;;indka.ka079
indka;KA80;;;indka.ka080
indka;KA81;;;indka.ka081
indka;KA82;;;indka.ka082
indka;KA83;;;indka.ka083
indka;KA84;;;indka.ka084
indka;KA84;;;indka.ka084var
indka;KA84;;;indka.ka084kup
indka;KA85;;;indka.ka085
indka;KA86;;;indka.ka086
indka;KA87;;;indka.ka087
indka;KA88;;;indka.ka088
indka;KA89;;;indka.ka089
indka;KA90;;;indka.ka090
indka;KA91;;;indka.ka091
indka;KA92;;;indka.ka092
indka;KA93;;;indka.ka093
indka;KA94;;;indka.ka094
indka;KA95;;;indka.ka095
indka;KA96;;;indka.ka096
indka;KA97;;;indka.ka097
indka;KA98;;;indka.ka098
indka;KA99;;;indka.ka099
indka;KA100;;;indka.ka100
indka;KA101;;;indka.ka101
indka;KA102;;;indka.ka102
indka;KA103;;;indka.ka103
indka;KA104;;;indka.ka104
indka;KA105;;;indka.ka105
indka;KA106;;;indka.ka106
indka;KA107;;;indka.ka107
indka;KA108;;;indka.ka108
indka;KA109;;;indka.ka109
indka;KA110;;;indka.ka110
indka;KA111;;;indka.ka111
indka;KA112;;;indka.ka112
indka;KA112A;;;indka.ka112a
indka;KA113;;;indka.ka113
indka;KA114;;;indka.ka114
indka;KA115;;;indka.ka115
indka;KA116;;;indka.ka116
indka;KA117;;;indka.ka117
indka;KA118;;;indka.ka118
indka;KA119;;;indka.ka119
indka;KA120;;;indka.ka120
indka;KA121;;;indka.ka121
indka;KA122;;;indmh.ka122,indka.ka122
indka;KA123;;;indka.ka123
indka;KA124;;;indka.ka124khu,indmh.ka124kas,indka.ka124kha,indmh.ka124kes,indka.ka124kam,indmh.ka124bho,indka.ka124mad,indmh.ka124dud,indka.ka124
indka;KA125;;;indka.ka125
indka;KA126;;;indka.ka126,indtg.ka126
indka;KA127;;;indka.ka127
indka;KA128;;;indka.ka128
indka;KA129;;;indka.ka129
indka;KA130;;;indka.ka130
indka;KA131;;;indka.ka131
indka;KA132;;;indka.ka132
indka;KA133;;;indka.ka133
indka;KA134;;;indka.ka134
indka;KA135;;;indka.ka135
indka;KA136;;;indka.ka136
indka;KA137;;;indka.ka138
indka;KA139;;;indka.ka139
indka;KA140;;;indka.ka140
indka;KA141;;;indka.ka141
indka;KA142;;;indka.ka142
indka;KA143;;;indka.ka143
indka;KA144;;;indka.ka144
indka;KA145;;;indka.ka145
indka;KA146;;;indka.ka146
indka;KA148;;;indka.ka148
indka;KA149;;;indka.ka149
indka;KA155;;;indka.ka155
indka;KA162;;;indka.ka162
indka;KA188;;;indka.ka188
