System;Region;Route;Banner;Abbrev;City;Root;AltRouteNames
irlr2;IRL;R200;;;;irl.r200;
irlr2;IRL;R201;;;;irl.r201;
irlr2;IRL;R202;;;;irl.r202;
irlr2;IRL;R203;;;;irl.r203;
irlr2;IRL;R204;;;;irl.r204;
irlr2;IRL;R205;;;;irl.r205;
irlr2;IRL;R206;;;(main);irl.r206;
irlr2;IRL;R206;;Bla;Blacklion (spur);irl.r206bla;
irlr2;IRL;R207;;;;irl.r207;
irlr2;IRL;R208;;;;irl.r208;
irlr2;IRL;R209;;;;irl.r209;
irlr2;IRL;R210;;;;irl.r210;
irlr2;IRL;R211;;;;irl.r211;
irlr2;IRL;R212;;;;irl.r212;
irlr2;IRL;R213;;;;irl.r213;
irlr2;IRL;R214;;;;irl.r214;
irlr2;IRL;R229;;;;irl.r229;
irlr2;IRL;R230;;;;irl.r230;
irlr2;IRL;R231;;;;irl.r231;
irlr2;IRL;R232;;;;irl.r232;
irlr2;IRL;R233;;;;irl.r233;
irlr2;IRL;R234;;;;irl.r234;
irlr2;IRL;R235;;;;irl.r235;
irlr2;IRL;R236;;;;irl.r236;
irlr2;IRL;R237;;;;irl.r237;
irlr2;IRL;R238;;;;irl.r238;
irlr2;IRL;R239;;;;irl.r239;
irlr2;IRL;R240;;;;irl.r240;
irlr2;IRL;R241;;;;irl.r241;
irlr2;IRL;R242;;;;irl.r242;
irlr2;IRL;R243;;;;irl.r243;
irlr2;IRL;R244;;;;irl.r244;
irlr2;IRL;R245;;;;irl.r245;
irlr2;IRL;R246;;;;irl.r246;
irlr2;IRL;R247;;;;irl.r247;
irlr2;IRL;R248;;;;irl.r248;
irlr2;IRL;R249;;;;irl.r249;
irlr2;IRL;R250;;;;irl.r250;
irlr2;IRL;R251;;;;irl.r251;
irlr2;IRL;R252;;;;irl.r252;
irlr2;IRL;R253;;;;irl.r253;
irlr2;IRL;R254;;;;irl.r254;
irlr2;IRL;R255;;;;irl.r255;
irlr2;IRL;R256;;;;irl.r256;
irlr2;IRL;R257;;;;irl.r257;
irlr2;IRL;R258;;;;irl.r258;
irlr2;IRL;R259;;;;irl.r259;
irlr2;IRL;R260;;;;irl.r260;
irlr2;IRL;R261;;;;irl.r261;
irlr2;IRL;R262;;;;irl.r262;
irlr2;IRL;R263;;;;irl.r263;
irlr2;IRL;R264;;;;irl.r264;
irlr2;IRL;R265;;;;irl.r265;
irlr2;IRL;R266;;;;irl.r266;
irlr2;IRL;R267;;;;irl.r267;
irlr2;IRL;R268;;;;irl.r268;
irlr2;IRL;R277;;;;irl.r277;
irlr2;IRL;R278;;;;irl.r278;
irlr2;IRL;R279;;;;irl.r279;
irlr2;IRL;R280;;;;irl.r280;
irlr2;IRL;R281;;;;irl.r281;
irlr2;IRL;R282;;;;irl.r282;
irlr2;IRL;R283;;;;irl.r283;
irlr2;IRL;R284;;;;irl.r284;
irlr2;IRL;R285;;;;irl.r285;
irlr2;IRL;R286;;;;irl.r286;
irlr2;IRL;R287;;;;irl.r287;
irlr2;IRL;R288;;;;irl.r288;
irlr2;IRL;R289;;;;irl.r289;
irlr2;IRL;R290;;;;irl.r290;
irlr2;IRL;R291;;;;irl.r291;
irlr2;IRL;R292;;;;irl.r292;
irlr2;IRL;R293;;;;irl.r293;
irlr2;IRL;R294;;;;irl.r294;
irlr2;IRL;R295;;;;irl.r295;
irlr2;IRL;R296;;;;irl.r296;
irlr2;IRL;R297;;;;irl.r297;
irlr2;IRL;R298;;;;irl.r298;
irlr2;IRL;R299;;;;irl.r299;
