systemName;region;route;banner;abbrev;city;root;altRouteNames
irltr;IRL;AtlDr;;;Atlantic Drive;irl.atldr;
irltr;IRL;BanDr;;;Bannow Drive;irl.bandr;
irltr;IRL;BarDr;;;Barrow Drive;irl.bardr;
irltr;IRL;BeaMil;;;Bealach Mileata;irl.beamil;
irltr;IRL;CoaRd;;;Coast Road;irl.coard;
irltr;IRL;ConPass;;;Connor Pass;irl.conpass;
irltr;IRL;HeaPass;;;Healy Pass;irl.heapass;
irltr;IRL;LakeDr;;;Lake Drive;irl.lakedr;
irltr;IRL;LConnDr;;;Loch Conn Drive;irl.lconndr;
irltr;IRL;LEskeDr;;;Loch Eske Drive;irl.leskedr;
irltr;IRL;LMaskDr;;;Loch Mask Drive;irl.lmaskdr;
irltr;IRL;LMelDr;;;Loch Melvin Drive;irl.lmeldr;
irltr;IRL;LoopHeadDr;;;Loop Head Drive;irl.loopheaddr;
irltr;IRL;MizHeadDr;;;Mizen Head Drive;irl.mizheaddr;
irltr;IRL;MtLeiDr;;;Mount Leinster Heritage Drive;irl.mtleidr;
irltr;IRL;ParDr;;;Parnell Drive;irl.pardr;
irltr;IRL;RingBea;;;Ring of Beara;irl.ringbea;
irltr;IRL;RingHook;;;Ring of Hook;irl.ringhook;
irltr;IRL;RingKer;;;Ring of Kerry;irl.ringker;
irltr;IRL;SheHeadDr;;;Sheep's Head Drive;irl.sheheaddr;
irltr;IRL;SleaHeadDr;;;Slea Head Drive;irl.sleaheaddr;
irltr;IRL;SkeRing;;;Skellig Ring;irl.skering;
irltr;IRL;SkyRd;;;Sky Road;irl.skyrd;
irltr;IRL;SECoaDr;;;South East Coastal Drive (Dungarvan);irl.secoadr;
irltr;IRL;SECoaDr;;Wel;South East Coastal Drive (Wellingtonbridge);irl.secoadrwel;
irltr;IRL;ValRing;;;Valentia Ring;irl.valring;
irltr;IRL;BoyVlyDr;;;Boyne Valley Drive;irl.boyvlydr;
irltr;IRL;BraDr;;;Braveheart Drive;irl.bradr;
irltr;IRL;IE100;;;Inis Eoghain 100;irl.ie100;
irltr;IRL;MicColDr;;;Michael Collins Drive;irl.miccoldr;
