systemName;region;route;banner;abbrev;city;root;altRouteNames
irlwaw;IRL;WAW;;;Wild Atlantic Way (Galway);irl.waw;
irlwaw;IRL;WAW;;Tra;Wild Atlantic Way (Tralee);irl.wawtra;
irlwaw;IRL;WAW;;Kin;Wild Atlantic Way (Kinnagoe Bay branch);irl.wawkin;
irlwaw;IRL;WAW;;Cul;Wild Atlantic Way (Caratra Beach branch);irl.wawcul;
irlwaw;IRL;WAW;;Mal;Wild Atlantic Way (Malin Head branch);irl.wawmal;
irlwaw;IRL;WAW;;BlB;Wild Atlantic Way (Ballyliffin Beach branch);irl.wawblb;
irlwaw;IRL;WAW;;FtD;Wild Atlantic Way (Fort Dunree branch);irl.wawftd;
irlwaw;IRL;WAW;;Lis;Wild Atlantic Way (Lisfannon Beach branch);irl.wawlis;
irlwaw;IRL;WAW;;IIs;Wild Atlantic Way (Inch Island branch);irl.wawiis;
irlwaw;IRL;WAW;;Fan;Wild Atlantic Way (Fanad Head branch);irl.wawfan;
irlwaw;IRL;WAW;;Rin;Wild Atlantic Way (Ringboy branch);irl.wawrin;
irlwaw;IRL;WAW;;Rog;Wild Atlantic Way (Rosguil branch);irl.wawrog;
irlwaw;IRL;WAW;;Mar;Wild Atlantic Way (Marble Hill branch);irl.wawmar;
irlwaw;IRL;WAW;;Hor;Wild Atlantic Way (Horn Head branch);irl.wawhor;
irlwaw;IRL;WAW;;Mag;Wild Atlantic Way (Magheraroarty branch);irl.wawmag;
irlwaw;IRL;WAW;;BbP;Wild Atlantic Way (Bunbeg Pier branch);irl.wawbfp;
irlwaw;IRL;WAW;;CfB;Wild Atlantic Way (Carrickfinn Beach branch);irl.wawcfb;
irlwaw;IRL;WAW;;Bur;Wild Atlantic Way (Burtonport branch);irl.wawbur;
irlwaw;IRL;WAW;;Nar;Wild Atlantic Way (Narin Strand branch);irl.wawnar;
irlwaw;IRL;WAW;;MaB;Wild Atlantic Way (Malin Beg branch);irl.wawmab;
irlwaw;IRL;WAW;;Sli;Wild Atlantic Way (Slieve League branch);irl.wawsli;
irlwaw;IRL;WAW;;Fin;Wild Atlantic Way (Fintra Beach branch);irl.wawfin;
irlwaw;IRL;WAW;;Mou;Wild Atlantic Way (Mountcharles Pier branch);irl.wawmou;
irlwaw;IRL;WAW;;Mur;Wild Atlantic Way (Murvagh Beach branch);irl.wawmur;
irlwaw;IRL;WAW;;Tul;Wild Atlantic Way (Tullan Strand branch);irl.wawtul;
irlwaw;IRL;WAW;;Mul;Wild Atlantic Way (Mullaghmore branch);irl.wawmul;
irlwaw;IRL;WAW;;Ste;Wild Atlantic Way (Streedagh branch);irl.wawste;
